Formula,ANZA-BTM,BLAN-BTM,CFS2-BTM,CLBJ-BTM,DELA-BTM,MOAB-BTM,ONAQ-BTM,PPRH-BTM,SOAP-BTM,TEAK-BTM
C10H13O7S1N1,0,0,0,0,0,0,0,0,0,0
C10H13O8N1,0,0,0,1,0,0,0,0,0,0
C10H13O9N1,0,0,0,1,0,0,0,0,0,0
C10H14O10,0,0,0,0,0,0,0,0,0,0
C10H14O10S2N2,0,0,0,0,0,0,0,0,0,0
C10H14O11S2N2,0,0,0,0,0,0,0,0,0,0
C10H14O3N2,0,0,0,0,0,0,0,0,0,0
C10H14O3S1,0,0,0,0,0,0,0,0,0,0
C10H14O4N2,0,0,0,1,0,0,0,0,0,0
C10H14O4S1,0,0,0,0,0,0,0,0,0,0
C10H14O5N2,1,0,0,1,1,0,0,0,0,0
C10H14O6N2,0,0,0,1,0,1,0,0,0,0
C10H14O6S1,0,0,0,1,0,0,0,0,0,0
C10H14O7N2,0,0,0,0,0,0,0,0,0,0
C10H14O7S1,0,0,0,1,0,0,0,0,0,0
C10H14O8S1,0,0,0,0,0,0,0,0,0,0
C10H14O9,1,0,0,1,0,0,0,0,0,0
C10H15O10N1,1,0,0,1,0,0,0,0,0,0
C10H15O10N2P1,0,0,0,0,0,0,0,0,0,0
C10H15O11N1,0,0,0,0,0,0,0,0,0,0
C10H15O3N2P1,0,0,0,0,0,0,0,0,0,0
C10H15O4N1,1,0,0,1,0,0,0,0,0,0
C10H15O4N3,0,0,0,0,0,0,0,0,0,0
C10H15O4S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H15O5N1,1,0,0,1,0,1,0,0,0,0
C10H15O5N3,0,0,0,0,0,0,0,0,0,0
C10H15O5S1N1,0,0,0,0,0,0,0,0,0,0
C10H15O5S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H15O6N1,0,0,0,0,0,0,0,0,0,0
C10H15O6N3,0,0,0,0,0,0,0,0,0,0
C10H15O6S1N1,0,0,0,0,0,0,0,0,0,0
C10H15O6S1P1,0,0,0,0,0,0,0,0,0,0
C10H15O6S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H15O7N1,0,0,0,0,0,0,0,0,0,0
C10H15O7S1N1,0,0,0,0,0,0,0,0,0,0
C10H15O7S1P1,0,0,0,0,0,0,0,0,0,0
C10H15O8P1,0,0,0,0,0,0,0,0,0,0
C10H15O8S1P1,0,0,0,0,0,0,0,0,0,0
C10H15O9P1,0,0,0,0,0,0,0,0,0,0
C10H15O9S1P1,0,0,0,0,0,0,0,0,0,0
C10H16O10,0,0,0,0,0,0,0,0,0,0
C10H16O10S2N2,0,0,0,0,0,0,0,0,0,0
C10H16O11S2N2,0,0,0,0,0,0,0,0,0,0
C10H16O3N2,0,0,0,0,0,0,0,0,0,0
C10H16O3S2N3P1,0,0,0,0,0,0,0,0,0,0
C10H16O4N2,0,0,0,0,0,0,0,0,0,0
C10H16O4S1,0,0,0,0,0,1,0,0,0,0
C10H16O4S2N3P1,0,0,0,0,0,0,0,0,0,0
C10H16O5N2,0,0,0,1,1,0,0,0,0,0
C10H16O5S1,0,0,0,1,0,0,1,0,0,1
C10H16O6N2,0,0,0,1,0,0,0,0,0,0
C10H16O6S1,0,0,0,1,0,1,1,0,0,0
C10H16O6S2N2,0,0,0,0,0,0,0,0,0,0
C10H16O7S1,0,0,0,1,0,1,0,0,0,0
C10H16O8,1,0,0,1,0,0,0,0,0,0
C10H16O8N1P1,0,0,0,0,0,0,0,0,0,0
C10H16O8N2,0,0,0,0,0,0,0,0,0,0
C10H16O8S1,0,0,0,1,0,0,0,0,0,0
C10H16O9,0,0,0,0,0,0,0,0,0,0
C10H16O9S2N2,0,0,0,0,0,0,0,0,0,0
C10H17O10P1,0,0,0,0,0,0,0,0,0,0
C10H17O11P1,0,0,0,0,0,0,0,0,0,0
C10H17O2S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H17O3N2P1,0,0,0,0,0,0,0,0,0,0
C10H17O3S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H17O4N1,1,0,0,1,0,0,0,0,0,0
C10H17O4S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H17O5N3,0,0,0,0,0,0,0,0,0,0
C10H17O5S1N1,0,0,0,0,0,0,0,0,0,0
C10H17O5S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H17O6N1,1,0,0,1,0,0,0,0,0,0
C10H17O6S1P1,0,0,0,0,0,0,0,0,0,0
C10H17O6S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H17O7N1,0,0,0,0,0,0,0,0,0,0
C10H17O7P1,0,0,0,0,0,0,0,0,0,0
C10H17O7S1N1,0,0,0,0,0,0,0,0,0,0
C10H17O7S1P1,0,0,0,0,0,0,0,0,0,0
C10H17O8S1P1,0,0,0,0,0,0,0,0,0,0
C10H17O9N2P1,0,0,0,0,0,0,0,0,0,0
C10H17O9P1,0,0,0,0,0,0,0,0,0,0
C10H17O9S1P1,0,0,0,0,0,0,0,0,0,0
C10H18O10N1P1,0,0,0,0,0,0,0,0,0,0
C10H18O10S2N2,0,0,0,0,0,0,0,0,0,0
C10H18O11S2N2,0,0,0,0,0,0,0,0,0,0
C10H18O3N2,0,0,0,0,0,0,0,0,0,0
C10H18O3S1N2,0,0,0,0,0,0,0,0,0,0
C10H18O3S2N1P1,0,0,0,0,0,0,0,0,0,0
C10H18O3S2N3P1,0,0,0,0,0,0,0,0,0,0
C10H18O4N2,0,0,0,0,0,0,0,0,0,0
C10H18O4S1,0,0,0,0,0,0,0,0,0,0
C10H18O5N2,1,0,0,1,0,0,1,0,0,0
C10H18O5S1,0,0,0,1,0,1,1,0,0,1
C10H18O5S1N2,0,0,0,0,0,0,0,0,0,0
C10H18O5S2N3P1,0,0,0,0,0,0,0,0,0,0
C10H18O6N2,0,0,0,0,0,0,0,0,0,0
C10H18O6S1,1,0,0,1,0,1,1,0,0,0
C10H18O7S1,0,0,0,1,0,0,0,0,0,0
C10H18O8,0,0,0,0,0,0,0,0,0,0
C10H18O8S1,0,0,0,0,0,0,0,0,0,0
C10H18O8S2N2,0,0,0,0,0,0,0,0,0,0
C10H18O9N1P1,0,0,0,0,0,0,0,0,0,0
C10H18O9S2N2,0,0,0,0,0,0,0,0,0,0
C10H19O10P1,0,0,0,0,0,0,0,0,0,0
C10H19O11N1,0,0,0,0,0,0,0,0,0,0
C10H19O11P1,0,0,0,0,0,0,0,0,0,0
C10H19O2S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H19O3S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H19O4N1,1,0,0,1,0,0,0,0,0,0
C10H19O4N3,0,0,0,0,1,0,0,0,0,0
C10H19O4S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H19O5N1,0,0,0,0,0,0,0,0,0,0
C10H19O5S1N2P1,0,0,0,0,0,0,0,0,0,0
C10H19O5S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H19O6N2P1,0,0,0,0,0,0,0,0,0,0
C10H19O6P1,0,0,0,0,0,0,0,0,0,0
C10H19O6S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H19O7N1,0,0,0,0,0,0,0,0,0,0
C10H19O7S1P1,0,0,0,0,0,0,0,0,0,0
C10H19O7S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H19O8P1,0,0,0,0,0,0,0,0,0,0
C10H19O8S1N1,0,0,0,0,0,0,0,0,0,0
C10H19O8S1P1,0,0,0,0,0,0,0,0,0,0
C10H19O9P1,0,0,0,0,0,0,0,0,0,0
C10H19O9S1P1,0,0,0,0,0,0,0,0,0,0
C10H20O10S2N2,0,0,0,0,0,0,0,0,0,0
C10H20O11S2N2,0,0,0,1,0,0,0,0,0,0
C10H20O11S2N3P1,0,0,0,0,0,0,0,0,0,0
C10H20O2S2N1P1,0,0,0,1,1,0,1,0,0,1
C10H20O3N2,0,0,0,0,0,0,0,0,0,0
C10H20O3S1N2,0,0,0,0,0,0,0,0,0,0
C10H20O3S2N2,0,0,0,0,0,0,0,0,0,0
C10H20O4N2,0,0,0,0,1,0,0,0,0,1
C10H20O4S1,0,0,0,0,0,0,0,0,0,0
C10H20O4S2N3P1,0,0,0,0,0,0,0,0,0,0
C10H20O6S1,1,0,0,1,0,0,1,0,0,0
C10H20O7S1,0,0,0,1,0,0,0,0,0,0
C10H20O8N1P1,0,0,0,0,0,0,0,0,0,0
C10H20O9N1P1,0,0,0,0,0,0,0,0,0,0
C10H20O9S2N2,0,0,0,0,0,0,0,0,0,0
C10H21O1S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H21O10N1,0,0,0,0,0,0,0,0,0,0
C10H21O10P1,0,0,0,0,0,0,0,0,0,0
C10H21O11N1,0,0,0,0,0,0,0,0,0,0
C10H21O11P1,0,0,0,0,0,0,0,0,1,0
C10H21O11S2P1,0,0,0,0,0,0,0,0,0,0
C10H21O2S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H21O3S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H21O4S1N1,0,0,0,0,0,0,0,0,0,0
C10H21O4S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H21O5S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H21O6N1,0,0,0,0,0,0,0,0,0,0
C10H21O6P1,0,0,0,0,0,0,0,0,0,0
C10H21O6S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H21O7N1,0,0,0,0,0,0,0,0,0,0
C10H21O7N2P1,0,0,0,0,0,0,0,0,0,0
C10H21O7S1P1,0,0,0,0,0,0,0,0,0,0
C10H21O7S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H21O8P1,0,0,0,0,0,0,0,0,0,0
C10H21O8S1N1,0,0,0,0,0,0,0,0,0,0
C10H21O9P1,0,0,0,0,0,0,0,0,0,0
C10H22O10S2N2,0,1,0,0,0,0,0,0,0,0
C10H22O10S2N3P1,0,0,0,0,0,0,0,0,0,0
C10H22O11S2N2,0,0,0,0,0,0,0,0,0,0
C10H22O11S2N3P1,0,0,0,0,0,0,0,0,0,0
C10H22O4S1,0,0,0,0,0,0,0,0,0,0
C10H22O5S1,0,0,0,0,0,0,0,0,0,0
C10H22O6N2,0,0,0,0,0,0,0,0,0,0
C10H22O6S1,0,0,0,0,0,0,0,0,0,0
C10H22O7N1P1,0,0,0,0,0,0,0,0,0,0
C10H22O7N2,0,0,0,0,0,0,0,0,0,0
C10H22O8N1P1,0,0,0,1,0,0,0,0,0,0
C10H22O9S2N2,0,0,0,0,0,0,0,0,0,0
C10H23O1S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O10P1,0,0,0,0,0,0,0,0,0,0
C10H23O10S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O10S2P1,0,0,0,0,0,0,0,0,0,0
C10H23O11P1,0,0,0,1,0,0,0,0,1,0
C10H23O11S1N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O11S1N3,0,0,0,0,0,0,0,0,0,0
C10H23O11S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O11S2P1,0,0,0,0,0,0,0,0,0,0
C10H23O2S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O3S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O4S1N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O4S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O5S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O6N1,0,0,0,0,0,0,0,0,0,0
C10H23O6N3,0,0,0,0,1,0,0,0,0,1
C10H23O6S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O6S2N3,0,0,0,0,0,0,0,0,0,0
C10H23O7S1N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O9P1,0,0,0,0,0,0,0,0,0,0
C10H23O9S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H23O9S2P1,0,0,0,0,0,0,1,0,0,0
C10H24O10S2N2,0,0,0,0,0,0,0,0,0,0
C10H24O11S2N2,0,0,0,0,0,0,0,0,0,0
C10H24O11S2N3P1,0,0,0,0,0,0,0,0,0,0
C10H24O3S2N2,0,0,0,0,0,0,0,0,0,0
C10H24O7N2,0,0,0,0,0,0,0,0,0,0
C10H25O1S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H25O10S1N2P1,0,0,0,0,0,0,0,0,0,0
C10H25O10S2N2P1,0,0,0,1,0,0,0,0,0,0
C10H25O11S2N2P1,0,0,0,1,0,0,0,0,0,0
C10H25O2S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H25O3S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H25O4S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H25O5S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H25O7S1N2P1,0,0,0,0,0,0,0,0,0,0
C10H25O7S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H25O8S1N2P1,0,0,0,0,0,0,0,0,0,0
C10H25O8S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H25O9S1N2P1,0,0,0,0,0,0,0,0,0,0
C10H25O9S2N2P1,0,0,0,0,0,0,0,0,0,0
C10H26O11S2N3P1,0,0,0,0,0,0,0,0,0,0
C10H4O4N2,0,0,0,0,0,0,0,0,0,0
C10H4O4S1N2,0,0,0,0,0,0,0,0,0,0
C10H4O5,0,0,0,1,0,0,0,0,0,0
C10H4O5N2,0,0,0,0,0,0,0,0,0,0
C10H4O5S1N2,0,0,0,0,0,0,0,0,0,0
C10H4O6,0,0,0,1,0,0,0,0,0,0
C10H4O6N2,0,0,0,0,0,0,0,0,0,0
C10H4O6S1N2,0,0,0,0,0,0,0,0,0,0
C10H4O7,1,0,0,1,0,0,0,0,1,0
C10H4O7N2,0,0,0,0,0,0,0,0,0,0
C10H4O7S1,0,0,0,0,0,0,0,0,0,0
C10H4O8,0,0,0,1,0,0,0,0,0,0
C10H4O8N2,0,0,0,0,0,0,0,0,0,0
C10H4O8S1,0,0,0,0,0,0,0,0,0,0
C10H4O9,0,0,0,0,0,0,0,0,0,0
C10H4O9N2,0,0,0,0,0,0,0,0,0,0
C10H5O3N3,0,0,0,0,0,0,0,0,0,0
C10H5O4N1,0,0,0,0,0,0,0,0,0,0
C10H5O4N3,0,0,0,0,0,0,0,0,0,0
C10H5O4S1N3,0,0,0,0,0,0,0,0,0,0
C10H5O5N1,0,0,0,0,0,0,0,0,0,0
C10H5O5N3,0,0,0,0,0,0,0,0,0,0
C10H5O5S1N1,0,0,0,0,0,0,0,0,0,0
C10H5O5S1N3,0,0,0,0,0,0,0,0,0,0
C10H5O6N1,1,0,0,1,0,0,0,0,0,0
C10H5O6N3,0,0,0,0,0,0,0,0,0,0
C10H5O6S1N1,0,0,0,0,0,0,0,0,0,0
C10H5O6S2N1,0,0,0,0,0,0,0,0,0,0
C10H5O7N1,1,0,0,1,0,0,0,0,0,0
C10H5O7N3,0,0,0,0,0,0,0,0,0,0
C10H5O7S1N1,0,0,0,0,0,0,0,0,0,0
C10H5O7S1N3,0,0,0,0,0,0,0,0,0,0
C10H5O8N1,0,0,0,0,0,0,0,0,0,0
C10H5O8N3,0,0,0,0,0,0,0,0,0,0
C10H5O8S1N1,0,0,0,0,0,0,0,0,0,0
C10H5O9N1,0,0,0,0,0,0,0,0,0,0
C10H5O9N3,0,0,0,0,0,0,0,0,0,0
C10H6O10,0,0,0,0,0,0,0,0,0,0
C10H6O3N2,0,0,0,0,0,0,0,0,0,0
C10H6O4N2,0,0,0,0,0,0,0,0,0,0
C10H6O4S1,0,0,0,0,0,0,0,0,0,0
C10H6O4S1N2,0,0,0,0,0,0,0,0,0,0
C10H6O5,1,0,1,1,0,1,0,0,1,1
C10H6O5N2,0,0,0,0,0,0,0,0,0,0
C10H6O5S1,0,0,0,0,0,0,0,0,0,0
C10H6O5S1N2,0,0,0,0,0,0,0,0,0,0
C10H6O6N2,1,0,0,1,0,0,0,0,0,0
C10H6O6S1,0,0,0,0,0,0,0,0,0,0
C10H6O6S1N2,0,0,0,0,0,0,0,0,0,0
C10H6O7,1,0,1,1,0,1,0,0,1,1
C10H6O7N2,1,0,0,0,0,0,0,0,0,0
C10H6O7S1,0,0,0,0,0,0,0,0,0,0
C10H6O7S1N2,0,0,0,0,0,0,0,0,0,0
C10H6O8,1,0,1,1,0,1,0,0,1,0
C10H6O8N2,0,0,0,0,0,0,0,0,0,0
C10H6O8S1,0,0,0,0,0,0,0,0,0,0
C10H6O8S1N2,0,0,0,0,0,0,0,0,0,0
C10H6O9,1,0,1,1,0,1,0,0,0,0
C10H6O9N2,0,0,0,0,0,0,0,0,0,0
C10H6O9S1,0,0,0,0,0,0,0,0,0,0
C10H6O9S1N2,0,0,0,0,0,0,0,0,0,0
C10H7O10N1,0,0,0,0,0,0,0,0,0,0
C10H7O10P1,0,0,0,0,0,0,0,0,0,0
C10H7O2N3,0,0,0,0,0,0,0,0,0,0
C10H7O3N3,0,0,0,0,0,0,0,0,0,0
C10H7O3S1N1,0,0,0,0,0,0,0,0,0,0
C10H7O4N1,1,0,0,1,0,1,0,0,0,0
C10H7O4N3,0,0,0,0,0,0,0,0,0,0
C10H7O4S1N1,0,0,0,0,0,0,0,0,0,0
C10H7O4S1N3,0,0,0,0,0,0,0,0,0,0
C10H7O5N1,1,0,0,1,0,0,0,0,0,0
C10H7O5N3,0,0,0,0,0,0,0,0,0,0
C10H7O5S1N1,0,0,0,0,0,0,0,0,0,0
C10H7O5S1N3,0,0,0,0,0,0,0,0,0,0
C10H7O6N1,1,0,0,1,0,1,0,0,0,0
C10H7O6N3,0,0,0,0,0,0,0,0,0,0
C10H7O6S1N1,0,0,0,0,0,0,0,0,0,0
C10H7O6S1N3,0,0,0,0,0,0,0,0,0,0
C10H7O6S2N1,0,0,0,0,0,0,0,0,0,0
C10H7O7N1,1,0,0,1,0,0,0,0,0,0
C10H7O7N3,0,0,0,0,0,0,0,0,0,0
C10H7O7S1N1,0,0,0,0,0,0,0,0,0,0
C10H7O7S2N1,0,0,0,0,0,0,0,0,0,0
C10H7O8N1,1,0,0,1,0,0,0,0,0,0
C10H7O8N3,0,0,0,0,0,0,0,0,0,0
C10H7O8S1N1,0,0,0,0,0,0,0,0,0,0
C10H7O8S2N1,0,0,0,0,0,0,0,0,0,0
C10H7O9N1,0,0,0,0,0,0,0,0,0,0
C10H7O9S1N1,0,0,0,0,0,0,0,0,0,0
C10H8O10,1,0,0,1,0,0,0,0,0,0
C10H8O10S1,0,0,0,0,0,0,0,0,0,0
C10H8O11,0,0,0,0,0,0,0,0,0,0
C10H8O3N2,0,0,0,0,0,0,0,0,0,0
C10H8O3S1N2,0,0,0,0,0,0,0,0,0,0
C10H8O4N2,1,0,0,0,0,0,0,0,0,0
C10H8O4S1,0,0,0,0,0,0,0,0,0,0
C10H8O4S1N2,0,0,0,0,0,0,0,0,0,0
C10H8O5N2,0,0,0,0,0,0,0,0,0,0
C10H8O5S1,0,0,0,0,0,0,0,0,0,0
C10H8O5S1N2,0,0,0,0,0,0,0,0,0,0
C10H8O5S2N2,0,0,0,0,0,0,0,0,0,0
C10H8O6N2,0,0,0,0,0,0,0,0,0,0
C10H8O6S1,0,0,0,0,0,0,0,0,0,0
C10H8O6S1N2,0,0,0,0,0,0,0,0,0,0
C10H8O7N2,0,0,0,0,0,0,0,0,0,0
C10H8O7S1,0,0,0,0,0,0,0,0,0,0
C10H8O7S1N2,0,0,0,0,0,0,0,0,0,0
C10H8O8,1,0,0,1,0,1,0,0,1,0
C10H8O8N2,0,0,0,0,0,0,0,0,0,0
C10H8O8S1,0,0,0,0,0,0,0,0,0,0
C10H8O8S1N2,0,0,0,0,0,0,0,0,0,0
C10H8O9,1,0,0,1,0,0,0,0,0,0
C10H8O9N2,0,0,0,0,0,0,0,0,0,0
C10H8O9S1,0,0,0,0,0,0,0,0,0,0
C10H9O2N3,0,0,0,0,0,0,0,0,0,0
C10H9O3N3,0,0,0,0,0,0,0,0,0,0
C10H9O3S1N1,0,0,0,0,0,0,0,0,0,0
C10H9O4N1,1,0,0,1,0,0,0,0,0,0
C10H9O4N3,0,0,0,0,0,0,0,0,0,0
C10H9O4S1N1,0,0,0,0,0,0,0,0,0,0
C10H9O4S1N3,0,0,0,0,0,0,0,0,0,0
C10H9O5N1,1,0,0,1,0,1,0,0,0,0
C10H9O5N3,0,0,0,0,0,0,0,0,0,0
C10H9O5S1N1,0,0,0,0,0,0,0,0,0,0
C10H9O5S1N3,0,0,0,0,0,0,0,0,0,0
C10H9O6N1,1,0,0,1,0,1,0,0,0,0
C10H9O6N3,0,0,0,0,0,0,0,0,0,0
C10H9O6S1N1,0,0,0,0,0,0,0,0,0,0
C10H9O6S1N3,0,0,0,0,0,0,0,0,0,0
C10H9O7N1,1,0,0,1,0,0,0,0,0,0
C10H9O7N3,0,0,0,0,0,0,0,0,0,0
C10H9O7S1N1,0,0,0,0,0,0,0,0,0,0
C10H9O8N1,1,0,0,1,0,0,0,0,0,0
C10H9O8N3,0,0,0,0,0,0,0,0,0,0
C10H9O8S1N1,0,0,0,0,0,0,0,0,0,0
C10H9O9N1,0,0,0,0,0,0,0,0,0,0
C10H9O9P1,0,0,0,0,0,0,0,0,0,0
C10H9O9S1N1,0,0,0,0,0,0,0,0,0,0
C11H10O10,0,0,0,1,0,0,0,0,0,0
C11H10O10N2,0,0,0,0,0,0,0,0,0,0
C11H10O10S1,0,0,0,0,0,0,0,0,0,0
C11H10O11,0,0,0,0,0,0,0,0,0,0
C11H10O12,0,0,0,0,0,0,0,0,0,0
C11H10O2N2,0,0,0,0,0,0,0,0,0,0
C11H10O3N2,0,0,0,0,0,0,0,0,0,0
C11H10O4N2,0,0,0,0,0,0,0,0,0,0
C11H10O4S1,0,0,0,0,0,0,0,0,0,0
C11H10O4S1N2,0,0,0,0,0,0,0,0,0,0
C11H10O5N2,1,0,0,0,0,0,0,0,0,0
C11H10O5S1,0,0,0,0,0,0,0,0,0,0
C11H10O5S1N2,0,0,0,0,0,0,0,0,0,0
C11H10O6N2,1,0,0,1,0,0,0,0,0,0
C11H10O6S1,0,0,0,0,0,0,0,0,0,0
C11H10O6S1N2,0,0,0,0,0,0,0,0,0,0
C11H10O7N2,1,0,0,1,0,0,0,0,0,0
C11H10O7S1,0,0,0,0,0,0,0,0,0,0
C11H10O7S1N2,0,0,0,0,0,0,0,0,0,0
C11H10O8,1,0,1,1,0,1,0,0,1,1
C11H10O8N2,0,0,0,0,0,0,0,0,0,0
C11H10O8S1,0,0,0,0,0,0,0,0,0,0
C11H10O8S1N2,0,0,0,0,0,0,0,0,0,0
C11H10O9,1,0,0,1,0,1,0,0,1,0
C11H10O9N2,0,0,0,0,0,0,0,0,0,0
C11H10O9S1,0,0,0,0,0,0,0,0,0,0
C11H11O10N1,0,0,0,0,0,0,0,0,0,0
C11H11O3N1,1,0,0,1,0,0,0,0,0,0
C11H11O3N3,0,0,0,0,0,0,0,0,0,0
C11H11O4N1,1,0,0,1,0,0,0,0,0,0
C11H11O4N3,0,0,0,0,0,0,0,0,0,0
C11H11O4S1N1,0,0,0,0,0,0,0,0,0,0
C11H11O5N1,1,0,0,1,0,1,0,0,0,0
C11H11O5N3,0,0,0,0,0,0,0,0,0,0
C11H11O5S1N1,0,0,0,0,0,0,0,0,0,0
C11H11O5S1N3,0,0,0,0,0,0,0,0,0,0
C11H11O6N1,1,0,0,1,0,1,0,0,0,0
C11H11O6N3,0,0,0,0,0,0,0,0,0,0
C11H11O6S1N1,1,0,0,1,0,0,0,0,0,0
