year,concrete_tt,aggregate_tt,brick_tt,asphalt_tt,metal_tt,other_material_tt,waste_tt
1930,0.0072650805,0.025280172,0.014819597,0.0001259305391,0.0027220154373,0.0052137105781,0.0126787771474
1931,0.007537903,0.025668438,0.014962552,0.0001536165781,0.0027714653982,0.0052679083125,0.0132311879154
1932,0.007716928,0.0260678815,0.015099114,0.0001845573281,0.0027976474233,0.0053218742422,0.0137924905635
1933,0.007884944,0.0264682845,0.015238895,0.0002189445,0.0028310162075,0.0053772998828,0.0143651578371
1934,0.0081190265,0.026893589,0.015378061,0.0002574464844,0.0028791757485,0.0054333054297,0.0149545925119
1935,0.008395672,0.0273143505,0.015513433,0.0003004241875,0.0029369500894,0.0054892532031,0.0155582897702
1936,0.008648405,0.0277909855,0.015650601,0.0003483502188,0.0030110818691,0.0055467121641,0.0161810852884
1937,0.009031855,0.028306307,0.015787567,0.0004018765,0.0031071913281,0.0056046481094,0.0168223082513
1938,0.009428211,0.028839684,0.015924393,0.000461543875,0.0031764821563,0.0056631540469,0.0174764237195
1939,0.009865069,0.029379649,0.016056871,0.00052835975,0.0032646303979,0.0057223299063,0.0181507254726
1940,0.010210195,0.0299906775,0.016191831,0.0006025751875,0.0033536051914,0.0057811681875,0.0188460865496
1941,0.010595046,0.030627669,0.01631539,0.000685214,0.003449947582,0.0058405701094,0.0195581306908
1942,0.010926094,0.0312589855,0.016440506,0.00077733525,0.0035527872773,0.0058998983594,0.0202912128859
1943,0.011185257,0.0319327225,0.016565261,0.000879675875,0.0036540862266,0.005958938,0.0210418815727
1944,0.011329788,0.032675476,0.016687278,0.0009935254375,0.0037387996611,0.0060193841406,0.0218076467978
1945,0.011434655,0.0334367485,0.016804702,0.001119341375,0.0038006055068,0.0060793015938,0.0225824529216
1946,0.011691276,0.034252842,0.016914022,0.001258966625,0.0038574310186,0.0061382059688,0.0233716844484
1947,0.012034363,0.035177249,0.01702317,0.0014133855,0.0039315887695,0.0061982700469,0.0241824530068
1948,0.012477607,0.0361613465,0.017135624,0.0015843725,0.0040222814453,0.006258340625,0.0250133231139
1949,0.012999066,0.0372313605,0.017250012,0.0017738475,0.0041151339863,0.0063182709219,0.0258664450049
1950,0.013633692,0.0384384085,0.01735987,0.00199380575,0.0042205509922,0.0063793972863,0.0267447333172
1951,0.014359705,0.039759796,0.017477156,0.00222658575,0.0043468918535,0.0064462765488,0.0276558961786
1952,0.015153667,0.0411852125,0.01759981,0.00248264675,0.0044774895781,0.006517815085,0.0285975640895
1953,0.016046944,0.042647941,0.017721398,0.002754026,0.0046287721016,0.0065930113145,0.0295703195173
1954,0.017036058,0.0442382645,0.01784276,0.00304047875,0.0048122145586,0.0066726129023,0.0305835786216
1955,0.018153718,0.04587151,0.0179721,0.00334310825,0.0049798744766,0.0067556335723,0.0316260485918
1956,0.01937053,0.04766354,0.01810792,0.00368399225,0.0051624758457,0.0068421684727,0.0327113443846
1957,0.020638394,0.049550932,0.018251008,0.004050972,0.0053645730625,0.006932955418,0.0338407590581
1958,0.021985796,0.051559804,0.018397202,0.004432234,0.0055502552383,0.0070278273672,0.0350095374364
1959,0.023512742,0.053670207,0.018544296,0.004835529,0.0057547484492,0.0071277070781,0.0362284403036
1960,0.025166254,0.0559203865,0.018698592,0.005267884,0.0060029195859,0.0072316387285,0.0374993659499
1961,0.026898434,0.0583427955,0.018871434,0.005732298,0.0062414692461,0.0073400893516,0.0388168732735
1962,0.028765424,0.060896873,0.019066088,0.0062245885,0.0064838152539,0.0074542193672,0.0401888047604
1963,0.030728622,0.063628386,0.019285566,0.0067547345,0.0067347372188,0.007581281957,0.0416203101836
1964,0.032909732,0.066571034,0.019526524,0.0073313785,0.0070166314375,0.0077315563984,0.043110650836
1965,0.035164736,0.069684317,0.01978877,0.007953647,0.0073183228984,0.0079055207734,0.0446681645109
1966,0.037577084,0.0731257785,0.020081542,0.008631227,0.0076279404609,0.0080921183516,0.0462940066974
1967,0.040054768,0.0765231295,0.020408526,0.009323842,0.0079092941797,0.0082750895547,0.0479786926786
1968,0.042710204,0.080205675,0.02075352,0.010079747,0.0082365010391,0.0084776853516,0.0497444834827
1969,0.045499684,0.083974165,0.021133628,0.01085836,0.0085904362109,0.0086905406797,0.0516005906985
1970,0.048433432,0.0882411265,0.021532452,0.011740556,0.0089619420391,0.0089096775313,0.053543840732
1971,0.051425476,0.092491024,0.021991066,0.012619948,0.0093300111875,0.009134700625,0.0555597841011
1972,0.054831064,0.0973087335,0.022522,0.013649696,0.0097185786016,0.0093739795313,0.0576590396345
1973,0.058452816,0.102158921,0.023054578,0.014701983,0.0101464791953,0.009636170875,0.0598581383614
1974,0.062005608,0.107208101,0.023607314,0.01580566,0.01057850825,0.0098711202813,0.0621453667855
1975,0.065484088,0.111941143,0.024216508,0.016854806,0.010979236875,0.0100506266563,0.0645205984722
1976,0.06910592,0.116417395,0.024942274,0.017799366,0.0113981993516,0.01028737225,0.0669975541782
1977,0.0730734,0.120845354,0.025633348,0.018714162,0.0118124167656,0.0105308320313,0.0695653909948
1978,0.077329832,0.1253710535,0.026329268,0.019688372,0.0122454181094,0.0107809504063,0.0722379425692
1979,0.081660432,0.130062456,0.026992726,0.020738448,0.0126967385469,0.01103882275,0.0750242959452
1980,0.085959624,0.134645071,0.027715842,0.021769638,0.0131350707969,0.0112818204688,0.0779044079482
1981,0.090223568,0.138786075,0.028427438,0.022679144,0.0135559696094,0.0115053790313,0.0808801919583
1982,0.094409632,0.142633063,0.029308596,0.023494184,0.0139350931094,0.0117109516563,0.0839542150118
1983,0.09869696,0.146350722,0.03025352,0.024280978,0.0143141344688,0.0119449799063,0.0871223254961
1984,0.103088728,0.150184476,0.031375764,0.025116774,0.014726035875,0.012197600375,0.090401478338
1985,0.1075126,0.15403047,0.032532792,0.025948352,0.0151427620469,0.012447306,0.0937819755889
1986,0.112177328,0.158031345,0.0336922,0.026822314,0.0155558032344,0.0127136430625,0.0972707275186
1987,0.117089968,0.162180054,0.034961088,0.027702314,0.0159784208594,0.012997202375,0.100871557053
1988,0.122353496,0.16669843,0.036428724,0.02860907,0.0164272691719,0.0132888516875,0.104593937666
1989,0.127000624,0.171257293,0.037896364,0.02953799,0.0168808845313,0.01358138325,0.108445736655
1990,0.13156524,0.175764007,0.039496416,0.030396834,0.0173194666875,0.013854473875,0.112418761683
1991,0.137008288,0.180733824,0.040799452,0.031428174,0.0177331752813,0.0140902511875,0.116505226969
1992,0.141922,0.186041262,0.042257232,0.032480128,0.018139294625,0.0142949108125,0.120705248919
1993,0.14787272,0.191544355,0.043882644,0.033529572,0.0185413832969,0.0144971833125,0.125032503664
1994,0.15426616,0.19721223,0.04559474,0.034556556,0.0189499869063,0.0147143435,0.129513418883
1995,0.161026304,0.203379696,0.048246176,0.035570464,0.0193770110625,0.014934107375,0.134172239824
1996,0.167998064,0.209369423,0.050750392,0.036559676,0.0197976761719,0.015139722875,0.138981546919
1997,0.175224064,0.215571601,0.053033448,0.037621344,0.0202404061094,0.0153891685,0.143958741402
1998,0.182222576,0.222333786,0.055667212,0.038773456,0.0206762798906,0.0155894670625,0.149096291578
1999,0.189475456,0.229171976,0.0582472,0.03992302,0.0211117727188,0.015825758,0.154401846033
2000,0.197019584,0.236019308,0.060762088,0.041122332,0.0215792210313,0.0160708449375,0.159876533547
2001,0.205032864,0.24258715,0.06297212,0.042264056,0.0220490725938,0.0162878490625,0.165509753033
2002,0.2135456,0.249059608,0.064813476,0.043391984,0.0225433694063,0.0165350381875,0.171345056509
2003,0.223074816,0.25581158,0.06674626,0.044541684,0.023090995625,0.016819027625,0.177367195508
2004,0.233573696,0.262899446,0.068383576,0.045869828,0.0236875875938,0.0171422981875,0.18360615947
2005,0.24487856,0.270138684,0.069999672,0.047243352,0.0243547971875,0.017474169625,0.190057148363
2006,0.2578104,0.277674196,0.071596904,0.048668036,0.0250888024063,0.0178353975,0.19676008859
2007,0.271779008,0.285247022,0.073150088,0.050076592,0.025906002625,0.018212223375,0.20375089544
2008,0.285774784,0.292571656,0.074642536,0.051408448,0.02671692925,0.018540885875,0.211006084074
2009,0.300906784,0.299732044,0.076158296,0.052635808,0.0274918522813,0.01878293575,0.218551171406
2010,0.317293504,0.30711692,0.077653696,0.053846096,0.0283715253125,0.019105665375,0.226416316612
2011,0.335819904,0.314733,0.079071216,0.055000676,0.0293218374375,0.0194565185,0.234627085633
2012,0.355099392,0.322282984,0.080495424,0.056080316,0.0302829587813,0.019834271125,0.243201242723
2013,0.375763072,0.329753296,0.081841112,0.057102308,0.0313216098125,0.02023370575,0.252147034448
2014,0.396740672,0.337346544,0.083148992,0.058075136,0.0323452635,0.020681710375,0.261476355274
2015,0.41719780958,0.344459810989,0.084431744,0.059013,0.0333461074688,0.02116330875,0.271153673786
