cell_id	sample_id	stage	sequencing_batch	theiler_stage	evaluation_split
cell_00089	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00090	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00091	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00092	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00093	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00094	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00095	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00096	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00097	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00098	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00099	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00100	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00101	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00102	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00103	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00104	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00105	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00106	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00107	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00108	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00109	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00110	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00111	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00112	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00113	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00114	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00115	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00116	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00117	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00118	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00119	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00120	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00121	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00122	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00123	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00124	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00125	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00126	sample_a117caa3aa08				holdout
cell_00127	sample_a117caa3aa08				holdout
cell_00128	sample_a117caa3aa08				holdout
cell_00129	sample_a117caa3aa08				holdout
cell_00130	sample_a117caa3aa08				holdout
cell_00131	sample_a117caa3aa08				holdout
cell_00132	sample_a117caa3aa08				holdout
cell_00133	sample_a117caa3aa08				holdout
cell_00134	sample_a117caa3aa08				holdout
cell_00135	sample_a117caa3aa08				holdout
cell_00136	sample_a117caa3aa08				holdout
cell_00137	sample_a117caa3aa08				holdout
cell_00138	sample_a117caa3aa08				holdout
cell_00139	sample_a117caa3aa08				holdout
cell_00140	sample_a117caa3aa08				holdout
cell_00141	sample_a117caa3aa08				holdout
cell_00142	sample_a117caa3aa08				holdout
cell_00143	sample_a117caa3aa08				holdout
cell_00144	sample_a117caa3aa08				holdout
cell_00145	sample_a117caa3aa08				holdout
cell_00146	sample_a117caa3aa08				holdout
cell_00147	sample_a117caa3aa08				holdout
cell_00148	sample_a117caa3aa08				holdout
cell_00149	sample_a117caa3aa08				holdout
cell_00150	sample_a117caa3aa08				holdout
cell_00151	sample_a117caa3aa08				holdout
cell_00152	sample_a117caa3aa08				holdout
cell_00153	sample_a117caa3aa08				holdout
cell_00154	sample_a117caa3aa08				holdout
cell_00155	sample_a117caa3aa08				holdout
cell_00156	sample_a117caa3aa08				holdout
cell_00157	sample_a117caa3aa08				holdout
cell_00158	sample_a117caa3aa08				holdout
cell_00159	sample_a117caa3aa08				holdout
cell_00160	sample_a117caa3aa08				holdout
cell_00161	sample_a117caa3aa08				holdout
cell_00162	sample_a117caa3aa08				holdout
cell_00163	sample_a117caa3aa08				holdout
cell_00164	sample_21faac7e2cf7				holdout
cell_00165	sample_21faac7e2cf7				holdout
cell_00166	sample_21faac7e2cf7				holdout
cell_00167	sample_21faac7e2cf7				holdout
cell_00168	sample_21faac7e2cf7				holdout
cell_00169	sample_21faac7e2cf7				holdout
cell_00170	sample_21faac7e2cf7				holdout
cell_00171	sample_21faac7e2cf7				holdout
cell_00172	sample_21faac7e2cf7				holdout
cell_00173	sample_21faac7e2cf7				holdout
cell_00174	sample_21faac7e2cf7				holdout
cell_00175	sample_21faac7e2cf7				holdout
cell_00176	sample_21faac7e2cf7				holdout
cell_00177	sample_21faac7e2cf7				holdout
cell_00178	sample_21faac7e2cf7				holdout
cell_00179	sample_21faac7e2cf7				holdout
cell_00180	sample_21faac7e2cf7				holdout
cell_00181	sample_21faac7e2cf7				holdout
cell_00182	sample_21faac7e2cf7				holdout
cell_00183	sample_21faac7e2cf7				holdout
cell_00184	sample_21faac7e2cf7				holdout
cell_00185	sample_21faac7e2cf7				holdout
cell_00186	sample_21faac7e2cf7				holdout
cell_00187	sample_21faac7e2cf7				holdout
cell_00188	sample_21faac7e2cf7				holdout
cell_00189	sample_21faac7e2cf7				holdout
cell_00190	sample_21faac7e2cf7				holdout
cell_00191	sample_21faac7e2cf7				holdout
cell_00192	sample_21faac7e2cf7				holdout
cell_00193	sample_21faac7e2cf7				holdout
cell_00194	sample_21faac7e2cf7				holdout
cell_00195	sample_21faac7e2cf7				holdout
cell_00196	sample_21faac7e2cf7				holdout
cell_00197	sample_21faac7e2cf7				holdout
cell_00198	sample_21faac7e2cf7				holdout
cell_00199	sample_21faac7e2cf7				holdout
cell_00200	sample_21faac7e2cf7				holdout
cell_00201	sample_21faac7e2cf7				holdout
cell_00202	sample_21faac7e2cf7				holdout
cell_00203	sample_21faac7e2cf7				holdout
cell_00204	sample_21faac7e2cf7				holdout
cell_00205	sample_21faac7e2cf7				holdout
cell_00206	sample_21faac7e2cf7				holdout
cell_00207	sample_21faac7e2cf7				holdout
cell_00208	sample_21faac7e2cf7				holdout
cell_00209	sample_21faac7e2cf7				holdout
cell_00210	sample_21faac7e2cf7				holdout
cell_00211	sample_21faac7e2cf7				holdout
cell_00212	sample_21faac7e2cf7				holdout
cell_00213	sample_21faac7e2cf7				holdout
cell_00214	sample_21faac7e2cf7				holdout
cell_00215	sample_21faac7e2cf7				holdout
cell_00216	sample_21faac7e2cf7				holdout
cell_00217	sample_21faac7e2cf7				holdout
cell_00218	sample_21faac7e2cf7				holdout
cell_00219	sample_21faac7e2cf7				holdout
cell_00220	sample_21faac7e2cf7				holdout
cell_00221	sample_21faac7e2cf7				holdout
cell_00222	sample_21faac7e2cf7				holdout
cell_00223	sample_21faac7e2cf7				holdout
cell_00224	sample_21faac7e2cf7				holdout
cell_00225	sample_21faac7e2cf7				holdout
cell_00226	sample_21faac7e2cf7				holdout
cell_00227	sample_21faac7e2cf7				holdout
cell_00228	sample_21faac7e2cf7				holdout
cell_00229	sample_21faac7e2cf7				holdout
cell_00230	sample_21faac7e2cf7				holdout
cell_00231	sample_21faac7e2cf7				holdout
cell_00232	sample_21faac7e2cf7				holdout
cell_00233	sample_21faac7e2cf7				holdout
cell_00234	sample_21faac7e2cf7				holdout
cell_00235	sample_21faac7e2cf7				holdout
cell_00236	sample_21faac7e2cf7				holdout
cell_00237	sample_21faac7e2cf7				holdout
cell_00238	sample_21faac7e2cf7				holdout
cell_00239	sample_21faac7e2cf7				holdout
cell_00240	sample_21faac7e2cf7				holdout
cell_00241	sample_21faac7e2cf7				holdout
cell_00242	sample_21faac7e2cf7				holdout
cell_00243	sample_21faac7e2cf7				holdout
cell_00244	sample_21faac7e2cf7				holdout
cell_00245	sample_21faac7e2cf7				holdout
cell_00246	sample_21faac7e2cf7				holdout
cell_00247	sample_21faac7e2cf7				holdout
cell_00248	sample_21faac7e2cf7				holdout
cell_00249	sample_21faac7e2cf7				holdout
cell_00250	sample_21faac7e2cf7				holdout
cell_00251	sample_21faac7e2cf7				holdout
cell_00252	sample_21faac7e2cf7				holdout
cell_00253	sample_21faac7e2cf7				holdout
cell_00254	sample_21faac7e2cf7				holdout
cell_00255	sample_21faac7e2cf7				holdout
cell_00256	sample_21faac7e2cf7				holdout
cell_00257	sample_21faac7e2cf7				holdout
cell_00258	sample_21faac7e2cf7				holdout
cell_00259	sample_21faac7e2cf7				holdout
cell_00260	sample_21faac7e2cf7				holdout
cell_00261	sample_21faac7e2cf7				holdout
cell_00262	sample_21faac7e2cf7				holdout
cell_00263	sample_21faac7e2cf7				holdout
cell_00264	sample_21faac7e2cf7				holdout
cell_00265	sample_21faac7e2cf7				holdout
cell_00266	sample_21faac7e2cf7				holdout
cell_00267	sample_21faac7e2cf7				holdout
cell_00268	sample_21faac7e2cf7				holdout
cell_00269	sample_21faac7e2cf7				holdout
cell_00270	sample_21faac7e2cf7				holdout
cell_00271	sample_21faac7e2cf7				holdout
cell_00272	sample_21faac7e2cf7				holdout
cell_00273	sample_21faac7e2cf7				holdout
cell_00274	sample_21faac7e2cf7				holdout
cell_00275	sample_21faac7e2cf7				holdout
cell_00276	sample_21faac7e2cf7				holdout
cell_00277	sample_21faac7e2cf7				holdout
cell_00278	sample_21faac7e2cf7				holdout
cell_00279	sample_21faac7e2cf7				holdout
cell_00280	sample_21faac7e2cf7				holdout
cell_00281	sample_21faac7e2cf7				holdout
cell_00282	sample_21faac7e2cf7				holdout
cell_00283	sample_21faac7e2cf7				holdout
cell_00284	sample_21faac7e2cf7				holdout
cell_00285	sample_21faac7e2cf7				holdout
cell_00286	sample_21faac7e2cf7				holdout
cell_00287	sample_21faac7e2cf7				holdout
cell_00288	sample_21faac7e2cf7				holdout
cell_00289	sample_21faac7e2cf7				holdout
cell_00290	sample_21faac7e2cf7				holdout
cell_00291	sample_21faac7e2cf7				holdout
cell_00292	sample_21faac7e2cf7				holdout
cell_00293	sample_21faac7e2cf7				holdout
cell_00294	sample_21faac7e2cf7				holdout
cell_00295	sample_21faac7e2cf7				holdout
cell_00296	sample_21faac7e2cf7				holdout
cell_00297	sample_21faac7e2cf7				holdout
cell_00298	sample_21faac7e2cf7				holdout
cell_00299	sample_21faac7e2cf7				holdout
cell_00300	sample_21faac7e2cf7				holdout
cell_00301	sample_21faac7e2cf7				holdout
cell_00302	sample_21faac7e2cf7				holdout
cell_00303	sample_21faac7e2cf7				holdout
cell_00304	sample_21faac7e2cf7				holdout
cell_00305	sample_21faac7e2cf7				holdout
cell_00306	sample_21faac7e2cf7				holdout
cell_00307	sample_21faac7e2cf7				holdout
cell_00308	sample_21faac7e2cf7				holdout
cell_00309	sample_21faac7e2cf7				holdout
cell_00310	sample_21faac7e2cf7				holdout
cell_00311	sample_21faac7e2cf7				holdout
cell_00312	sample_21faac7e2cf7				holdout
cell_00313	sample_21faac7e2cf7				holdout
cell_00314	sample_21faac7e2cf7				holdout
cell_00315	sample_21faac7e2cf7				holdout
cell_00316	sample_21faac7e2cf7				holdout
cell_00317	sample_21faac7e2cf7				holdout
cell_00318	sample_21faac7e2cf7				holdout
cell_00319	sample_21faac7e2cf7				holdout
cell_00320	sample_21faac7e2cf7				holdout
cell_00321	sample_21faac7e2cf7				holdout
cell_00322	sample_21faac7e2cf7				holdout
cell_00323	sample_21faac7e2cf7				holdout
cell_00324	sample_21faac7e2cf7				holdout
cell_00325	sample_21faac7e2cf7				holdout
cell_00326	sample_21faac7e2cf7				holdout
cell_00327	sample_21faac7e2cf7				holdout
cell_00328	sample_21faac7e2cf7				holdout
cell_00329	sample_21faac7e2cf7				holdout
cell_00330	sample_21faac7e2cf7				holdout
cell_00331	sample_21faac7e2cf7				holdout
cell_00332	sample_21faac7e2cf7				holdout
cell_00333	sample_21faac7e2cf7				holdout
cell_00334	sample_21faac7e2cf7				holdout
cell_00335	sample_21faac7e2cf7				holdout
cell_00336	sample_21faac7e2cf7				holdout
cell_00337	sample_21faac7e2cf7				holdout
cell_00338	sample_21faac7e2cf7				holdout
cell_00339	sample_21faac7e2cf7				holdout
cell_00340	sample_21faac7e2cf7				holdout
cell_00341	sample_21faac7e2cf7				holdout
cell_00342	sample_21faac7e2cf7				holdout
cell_00343	sample_21faac7e2cf7				holdout
cell_00344	sample_21faac7e2cf7				holdout
cell_00345	sample_21faac7e2cf7				holdout
cell_00346	sample_21faac7e2cf7				holdout
cell_00347	sample_21faac7e2cf7				holdout
cell_00348	sample_21faac7e2cf7				holdout
cell_00349	sample_21faac7e2cf7				holdout
cell_00350	sample_21faac7e2cf7				holdout
cell_00351	sample_21faac7e2cf7				holdout
cell_00352	sample_21faac7e2cf7				holdout
cell_00353	sample_21faac7e2cf7				holdout
cell_00354	sample_21faac7e2cf7				holdout
cell_00355	sample_21faac7e2cf7				holdout
cell_00356	sample_21faac7e2cf7				holdout
cell_00357	sample_21faac7e2cf7				holdout
cell_00358	sample_21faac7e2cf7				holdout
cell_00359	sample_21faac7e2cf7				holdout
cell_00360	sample_21faac7e2cf7				holdout
cell_00361	sample_21faac7e2cf7				holdout
cell_00362	sample_21faac7e2cf7				holdout
cell_00363	sample_21faac7e2cf7				holdout
cell_00364	sample_21faac7e2cf7				holdout
cell_00365	sample_21faac7e2cf7				holdout
cell_00366	sample_21faac7e2cf7				holdout
cell_00367	sample_21faac7e2cf7				holdout
cell_00368	sample_21faac7e2cf7				holdout
cell_00369	sample_dd1efe48915b				holdout
cell_00370	sample_dd1efe48915b				holdout
cell_00371	sample_dd1efe48915b				holdout
cell_00372	sample_dd1efe48915b				holdout
cell_00373	sample_dd1efe48915b				holdout
cell_00374	sample_dd1efe48915b				holdout
cell_00375	sample_dd1efe48915b				holdout
cell_00376	sample_dd1efe48915b				holdout
cell_00377	sample_dd1efe48915b				holdout
cell_00378	sample_dd1efe48915b				holdout
cell_00379	sample_dd1efe48915b				holdout
cell_00380	sample_dd1efe48915b				holdout
cell_00381	sample_dd1efe48915b				holdout
cell_00382	sample_dd1efe48915b				holdout
cell_00383	sample_dd1efe48915b				holdout
cell_00384	sample_dd1efe48915b				holdout
cell_00385	sample_dd1efe48915b				holdout
cell_00386	sample_dd1efe48915b				holdout
cell_00387	sample_dd1efe48915b				holdout
cell_00388	sample_dd1efe48915b				holdout
cell_00389	sample_dd1efe48915b				holdout
cell_00390	sample_dd1efe48915b				holdout
cell_00391	sample_dd1efe48915b				holdout
cell_00392	sample_dd1efe48915b				holdout
cell_00393	sample_dd1efe48915b				holdout
cell_00394	sample_dd1efe48915b				holdout
cell_00395	sample_dd1efe48915b				holdout
cell_00396	sample_dd1efe48915b				holdout
cell_00397	sample_dd1efe48915b				holdout
cell_00398	sample_dd1efe48915b				holdout
cell_00399	sample_dd1efe48915b				holdout
cell_00400	sample_dd1efe48915b				holdout
cell_00401	sample_dd1efe48915b				holdout
cell_00402	sample_dd1efe48915b				holdout
cell_00403	sample_dd1efe48915b				holdout
cell_00404	sample_dd1efe48915b				holdout
cell_00405	sample_dd1efe48915b				holdout
cell_00406	sample_dd1efe48915b				holdout
cell_00407	sample_dd1efe48915b				holdout
cell_00408	sample_dd1efe48915b				holdout
cell_00409	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00410	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00411	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00412	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00413	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00414	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00415	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00416	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00417	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00418	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00419	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00420	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00421	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00422	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00423	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00424	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00425	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00426	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00427	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00428	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00429	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00430	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00431	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00432	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00433	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00434	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00435	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00436	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00437	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00438	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00439	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00440	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00441	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00442	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00443	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00444	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00445	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00446	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00447	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00448	sample_a2650b753994	E7.75	batch_99e77b46b26f	TS11	training
cell_00449	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00450	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00451	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00452	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00453	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00454	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00455	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00456	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00457	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00458	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00459	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00460	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00461	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00462	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00463	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00464	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00465	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00466	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00467	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00468	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00469	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00470	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00471	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00472	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00473	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00474	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00475	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
