accession,assembly_accession,base_count,first_public,set_fasta_ftp
CAADUA010000000,GCA_900752075,1857974,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUA01.fasta.gz
CAADUB010000000,GCA_900752125,1817804,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUB01.fasta.gz
CAADUC010000000,GCA_900752115,1955130,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUC01.fasta.gz
CAADUD010000000,GCA_900752095,1542394,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUD01.fasta.gz
CAADUE010000000,GCA_900752135,959613,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUE01.fasta.gz
CAADUF010000000,GCA_900752155,2422420,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUF01.fasta.gz
CAADUG010000000,GCA_900752105,3736094,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUG01.fasta.gz
CAADUH010000000,GCA_900752145,1729829,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUH01.fasta.gz
CAADUI010000000,GCA_900752225,2505852,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUI01.fasta.gz
CAADUJ010000000,GCA_900752195,2120849,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUJ01.fasta.gz
CAADUK010000000,GCA_900752235,1939528,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUK01.fasta.gz
CAADUL010000000,GCA_900752185,1158838,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUL01.fasta.gz
CAADUM010000000,GCA_900752175,3359263,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUM01.fasta.gz
CAADUN010000000,GCA_900752165,1736042,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUN01.fasta.gz
CAADUO010000000,GCA_900752215,1900302,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUO01.fasta.gz
CAADUP010000000,GCA_900752205,1686076,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUP01.fasta.gz
CAADUQ010000000,GCA_900752245,1913939,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUQ01.fasta.gz
CAADUR010000000,GCA_900752255,1736770,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUR01.fasta.gz
CAADUS010000000,GCA_900752275,1960348,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUS01.fasta.gz
CAADUT010000000,GCA_900752315,1474174,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUT01.fasta.gz
CAADUU010000000,GCA_900752295,1089913,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUU01.fasta.gz
CAADUV010000000,GCA_900752305,1972828,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUV01.fasta.gz
CAADUW010000000,GCA_900752285,2036760,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUW01.fasta.gz
CAADUX010000000,GCA_900752265,3801397,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUX01.fasta.gz
CAADUY010000000,GCA_900752325,3203892,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUY01.fasta.gz
CAADUZ010000000,GCA_900752335,1218369,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADUZ01.fasta.gz
CAADVA010000000,GCA_900752345,1937452,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVA01.fasta.gz
CAADVB010000000,GCA_900752355,2136327,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVB01.fasta.gz
CAADVC010000000,GCA_900752405,2391822,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVC01.fasta.gz
CAADVD010000000,GCA_900752435,2287974,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVD01.fasta.gz
CAADVE010000000,GCA_900752425,1863307,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVE01.fasta.gz
CAADVF010000000,GCA_900752365,1198558,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVF01.fasta.gz
CAADVG010000000,GCA_900752375,1993147,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVG01.fasta.gz
CAADVH010000000,GCA_900752395,1341015,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVH01.fasta.gz
CAADVI010000000,GCA_900752385,982082,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVI01.fasta.gz
CAADVJ010000000,GCA_900752475,1737802,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVJ01.fasta.gz
CAADVK010000000,GCA_900752485,738936,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVK01.fasta.gz
CAADVL010000000,GCA_900752455,1479335,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVL01.fasta.gz
CAADVM010000000,GCA_900752465,1891699,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVM01.fasta.gz
CAADVN010000000,GCA_900752445,2456467,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVN01.fasta.gz
CAADVO010000000,GCA_900752495,2054864,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVO01.fasta.gz
CAADVP010000000,GCA_900752505,2187204,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVP01.fasta.gz
CAADVQ010000000,GCA_900752515,2828522,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVQ01.fasta.gz
CAADVR010000000,GCA_900752555,3214019,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVR01.fasta.gz
CAADVS010000000,GCA_900752545,1978401,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVS01.fasta.gz
CAADVT010000000,GCA_900752565,2009125,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVT01.fasta.gz
CAADVU010000000,GCA_900752525,1712767,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVU01.fasta.gz
CAADVV010000000,GCA_900752535,3018511,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVV01.fasta.gz
CAADVW010000000,GCA_900752575,1737229,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVW01.fasta.gz
CAADVX010000000,GCA_900752585,3004037,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVX01.fasta.gz
CAADVY010000000,GCA_900752595,2247336,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVY01.fasta.gz
CAADVZ010000000,GCA_900752615,2092595,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADVZ01.fasta.gz
CAADWA010000000,GCA_900752635,2276737,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWA01.fasta.gz
CAADWB010000000,GCA_900752605,1625237,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWB01.fasta.gz
CAADWC010000000,GCA_900752625,1872475,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWC01.fasta.gz
CAADWD010000000,GCA_900752655,1791305,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWD01.fasta.gz
CAADWE010000000,GCA_900752645,1742198,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWE01.fasta.gz
CAADWF010000000,GCA_900752685,1302652,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWF01.fasta.gz
CAADWG010000000,GCA_900752675,1246239,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWG01.fasta.gz
CAADWH010000000,GCA_900752765,2193075,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWH01.fasta.gz
CAADWI010000000,GCA_900752715,2954106,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWI01.fasta.gz
CAADWJ010000000,GCA_900752725,2613842,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWJ01.fasta.gz
CAADWK010000000,GCA_900752695,880336,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWK01.fasta.gz
CAADWL010000000,GCA_900752705,4557256,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWL01.fasta.gz
CAADWM010000000,GCA_900752745,1712501,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWM01.fasta.gz
CAADWN010000000,GCA_900752735,1916415,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWN01.fasta.gz
CAADWO010000000,GCA_900752755,2850472,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWO01.fasta.gz
CAADWP010000000,GCA_900752785,2731989,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWP01.fasta.gz
CAADWQ010000000,GCA_900752805,2509019,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWQ01.fasta.gz
CAADWR010000000,GCA_900752775,925098,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWR01.fasta.gz
CAADWS010000000,GCA_900752815,2516799,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWS01.fasta.gz
CAADWT010000000,GCA_900752795,2402826,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWT01.fasta.gz
CAADWU010000000,GCA_900752845,1657268,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWU01.fasta.gz
CAADWV010000000,GCA_900752825,3377145,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWV01.fasta.gz
CAADWW010000000,GCA_900752835,996114,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWW01.fasta.gz
CAADWX010000000,GCA_900752905,1174133,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWX01.fasta.gz
CAADWY010000000,GCA_900752915,1592705,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWY01.fasta.gz
CAADWZ010000000,GCA_900752925,1539628,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADWZ01.fasta.gz
CAADXA010000000,GCA_900752865,1137296,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXA01.fasta.gz
CAADXB010000000,GCA_900752935,4459831,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXB01.fasta.gz
CAADXC010000000,GCA_900752885,2295225,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXC01.fasta.gz
CAADXD010000000,GCA_900752855,1795483,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXD01.fasta.gz
CAADXE010000000,GCA_900752895,4325092,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXE01.fasta.gz
CAADXF010000000,GCA_900752875,1299213,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXF01.fasta.gz
CAADXG010000000,GCA_900752955,1135457,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXG01.fasta.gz
CAADXH010000000,GCA_900752975,1834862,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXH01.fasta.gz
CAADXI010000000,GCA_900752965,2494389,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXI01.fasta.gz
CAADXJ010000000,GCA_900752985,3758253,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXJ01.fasta.gz
CAADXK010000000,GCA_900752995,1418149,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXK01.fasta.gz
CAADXL010000000,GCA_900753005,1500784,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXL01.fasta.gz
CAADXM010000000,GCA_900753015,4427862,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXM01.fasta.gz
CAADXN010000000,GCA_900753075,1843655,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXN01.fasta.gz
CAADXO010000000,GCA_900753045,2465365,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXO01.fasta.gz
CAADXP010000000,GCA_900753025,3066315,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXP01.fasta.gz
CAADXQ010000000,GCA_900753055,3290178,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXQ01.fasta.gz
CAADXR010000000,GCA_900753035,1177300,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXR01.fasta.gz
CAADXS010000000,GCA_900753065,4097349,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXS01.fasta.gz
CAADXT010000000,GCA_900753095,1716917,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXT01.fasta.gz
CAADXU010000000,GCA_900753085,2831136,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXU01.fasta.gz
CAADXV010000000,GCA_900753105,2860396,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXV01.fasta.gz
CAADXW010000000,GCA_900753115,1034312,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXW01.fasta.gz
CAADXX010000000,GCA_900753145,842072,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXX01.fasta.gz
CAADXY010000000,GCA_900753125,2211992,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXY01.fasta.gz
CAADXZ010000000,GCA_900753135,1426335,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADXZ01.fasta.gz
CAADYA010000000,GCA_900753175,944627,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYA01.fasta.gz
CAADYB010000000,GCA_900753205,1404434,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYB01.fasta.gz
CAADYC010000000,GCA_900753165,1282385,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYC01.fasta.gz
CAADYD010000000,GCA_900753185,3191787,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYD01.fasta.gz
CAADYE010000000,GCA_900753195,1577339,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYE01.fasta.gz
CAADYF010000000,GCA_900753155,1927478,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYF01.fasta.gz
CAADYG010000000,GCA_900753225,1539849,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYG01.fasta.gz
CAADYH010000000,GCA_900753215,3800652,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYH01.fasta.gz
CAADYI010000000,GCA_900753235,5111572,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYI01.fasta.gz
CAADYJ010000000,GCA_900753245,1271351,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYJ01.fasta.gz
CAADYK010000000,GCA_900753275,2563564,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYK01.fasta.gz
CAADYL010000000,GCA_900753265,3103134,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYL01.fasta.gz
CAADYM010000000,GCA_900753255,2243229,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYM01.fasta.gz
CAADYN010000000,GCA_900753285,2587037,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYN01.fasta.gz
CAADYO010000000,GCA_900753325,1039027,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYO01.fasta.gz
CAADYP010000000,GCA_900753315,1019301,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYP01.fasta.gz
CAADYQ010000000,GCA_900753295,2184282,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYQ01.fasta.gz
CAADYR010000000,GCA_900753305,3399530,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYR01.fasta.gz
CAADYS010000000,GCA_900753335,2278086,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYS01.fasta.gz
CAADYT010000000,GCA_900753385,1668297,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYT01.fasta.gz
CAADYU010000000,GCA_900753375,5511723,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYU01.fasta.gz
CAADYV010000000,GCA_900753345,1489632,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYV01.fasta.gz
CAADYW010000000,GCA_900753395,1526969,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYW01.fasta.gz
CAADYX010000000,GCA_900753365,2205161,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYX01.fasta.gz
CAADYY010000000,GCA_900753355,1859156,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYY01.fasta.gz
CAADYZ010000000,GCA_900753405,1440385,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADYZ01.fasta.gz
CAADZA010000000,GCA_900753425,2111607,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZA01.fasta.gz
CAADZB010000000,GCA_900753435,2815049,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZB01.fasta.gz
CAADZC010000000,GCA_900753445,2240988,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZC01.fasta.gz
CAADZD010000000,GCA_900753455,1865524,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZD01.fasta.gz
CAADZE010000000,GCA_900753415,2312082,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZE01.fasta.gz
CAADZF010000000,GCA_900753465,3122796,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZF01.fasta.gz
CAADZG010000000,GCA_900753485,2192829,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZG01.fasta.gz
CAADZH010000000,GCA_900753495,2713578,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZH01.fasta.gz
CAADZI010000000,GCA_900753475,1000810,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZI01.fasta.gz
CAADZJ010000000,GCA_900753525,2758405,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZJ01.fasta.gz
CAADZK010000000,GCA_900753515,2160939,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZK01.fasta.gz
CAADZL010000000,GCA_900753555,2167381,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZL01.fasta.gz
CAADZM010000000,GCA_900753535,3549321,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZM01.fasta.gz
CAADZN010000000,GCA_900753505,1623267,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZN01.fasta.gz
CAADZO010000000,GCA_900753545,1695309,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZO01.fasta.gz
CAADZP010000000,GCA_900753575,1403782,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADZP01.fasta.gz
