opaque_genome_id,accession,assembly_accession,source_md5
genome_0040,CAAFNI010000000,GCA_900764215,46826cceb33e98b41b9d3d666f64de87
genome_0041,CAAGQM010000000,GCA_900772125,658751bd4198501970ecbeb490127331
genome_0042,CAAEVD010000000,GCA_900759435,fe742533f0d90165adf6ad719ec6064f
genome_0043,CAAEVV010000000,GCA_900759565,78f31ceb7cf1bedcb46019b85f20918e
genome_0044,CAAEPA010000000,GCA_900757775,e0049c38465b425088ea3ae5f360bd88
genome_0045,CAAEPK010000000,GCA_900757885,af790cb6da9456ef56d4634d7f09d8c8
genome_0046,CAAFEG010000000,GCA_900761805,23ccd752d100811ceb368e417e8f9baf
genome_0047,CAAEVI010000000,GCA_900759455,86f6fc23a55796beaeaf2f7e99408ab1
genome_0048,CAAELB010000000,GCA_900756675,0bbd380da35f3c29bc04e61a10604e24
genome_0049,CAAGPM010000000,GCA_900771815,691096bd5e8e097892fc01d467295c96
genome_0050,CAAENN010000000,GCA_900757375,7780e2042d6c156dd0f406a87abbcfd3
genome_0051,CAAFOJ010000000,GCA_900764545,7b7aa262afe8bdab2f9194ac8a5f9bdf
genome_0052,CAAELN010000000,GCA_900756845,3ddc243b33b3a09c178ad8a554e35e31
genome_0053,CAAEAY010000000,GCA_900753895,70a74ba838839136c14f3cba857d0745
genome_0054,CAAFOQ010000000,GCA_900764585,77a3df2ca0376ea324ffd50c84013cab
genome_0055,CAAHDX010000000,GCA_900770565,eb1ae57bd56738e527e3b7bed862cf47
genome_0056,CAAEKX010000000,GCA_900756605,a27b219e73fb232fcbb9e05390645697
genome_0057,CAAFTZ010000000,GCA_900766055,504c9a61da6b82d9284bee67004f9c1e
genome_0058,CAAESN010000000,GCA_900758675,03bf2da849d1c1a503656be82f1e9eb2
genome_0059,CAAGBZ010000000,GCA_900768215,dc446fefd650ce58abdc3fe60e5a6bfe
genome_0060,CAAFIN010000000,GCA_900762945,2112fb5dbba15cb611b753faf5702ecf
genome_0061,CAAEXQ010000000,GCA_900760025,6987bd6f80f668e4c893bc4d4a9a93a4
genome_0062,CAAFEL010000000,GCA_900761835,d12e1996af8281d4f187a7c39ae1ea23
genome_0063,CAAFCU010000000,GCA_900761425,9efe4d01484431b51e3bc34a85298eaf
genome_0064,CAAEGB010000000,GCA_900755355,45d962eb4a772f77b88b52038fe7f2be
genome_0065,CAADYU010000000,GCA_900753375,3b977eb6be9f825e2cffb3132b4a9bb5
genome_0066,CAAHDU010000000,GCA_900770555,490e73b60f71192302e3d748a674fc05
genome_0067,CAAGBX010000000,GCA_900768175,43a21cd372cbe0f1f28b917d918a428e
genome_0068,CAAGEZ010000000,GCA_900768995,73c0c4e8ffe2689ea3d164d312d6c427
genome_0069,CAAFZB010000000,GCA_900767405,26f6fc4c54fd37bb555c614fba15ff05
genome_0070,CAAEUE010000000,GCA_900759015,d105426a9f8d4b6b958043896553e432
genome_0071,CAAFJW010000000,GCA_900763315,d8ff6e0f82b5610374a442d274c37051
genome_0072,CAAEZG010000000,GCA_900760475,1eb1199e944445ccd5ae698bdee461f1
genome_0073,CAAECB010000000,GCA_900754285,b559f5b33e6fb189f28daeadfe0e5320
genome_0074,CAAGDP010000000,GCA_900768635,e626904c05394944847519d42b4e19d7
genome_0075,CAAEAW010000000,GCA_900753925,382927bfe50d658f400a27715e8fe334
genome_0076,CAAEXF010000000,GCA_900759715,3083297e9619d680b567d724df8cce68
genome_0077,CAAGKL010000000,GCA_900770405,ae59099893bcb6674d0c1c95b2003ba0
genome_0078,CAAFQI010000000,GCA_900765065,190e5a20962c1a03b6d0b93ff623d9f7
genome_0079,CAADYV010000000,GCA_900753345,fa856f757f6a548e83ba2c26e05d2bda
genome_0080,CAAGDW010000000,GCA_900768745,9719b29fa1601c6db54dc836e28e61b1
genome_0081,CAAGQL010000000,GCA_900772115,de5d36945005e14829f1bfd8fa9bd610
genome_0082,CAAEDN010000000,GCA_900754615,b4359039bb1c39a8d4144607a98545a8
genome_0083,CAAFFD010000000,GCA_900762055,df3e7064e7e71590eff24564fbb5d18b
genome_0084,CAAEEM010000000,GCA_900754875,11b84f17f6de58449a4d1c2ce7f1964e
genome_0085,CAAGEB010000000,GCA_900768705,cb705027ce810ec21a42214a9820dc02
genome_0086,CAAGPN010000000,GCA_900771825,350bd289a5cf0c53f2423478dccd5bcf
genome_0087,CAAFXQ010000000,GCA_900767015,72dfa67a7f7e8b54c8a9b14da07a7d80
genome_0088,CAAFRL010000000,GCA_900765445,21e144ad3bec46bd446b08daa5a92982
genome_0089,CAAGFL010000000,GCA_900769135,7806ed15687153ed7094c685dd882e5b
genome_0090,CAADTV010000000,GCA_900752035,8927ad8e4df1fa9ed777a9053bfdfd69
genome_0091,CAAFEZ010000000,GCA_900762025,9b3c8b06435974222c6caa8e04e4d319
genome_0092,CAAEIF010000000,GCA_900755935,1e7a86cf4194810c91dad01e62ba1564
genome_0093,CAAFKO010000000,GCA_900763515,d85f1ce20654c0f8027ce6fd7c0bf2c0
genome_0094,CAADZF010000000,GCA_900753465,5b52aaf6da492ada56ab089b6348dc70
genome_0095,CAAGQY010000000,GCA_900772245,e998d929dd183e36c88e1ab35df2d944
genome_0096,CAAGFM010000000,GCA_900769155,154ab25d3eeb1c46593220c33f5a20d9
genome_0097,CAAEVF010000000,GCA_900759405,2fc6168de190651815141e03a73b0296
genome_0098,CAAFXT010000000,GCA_900767045,c25c646c02c83f9f89e2f9f2480cfcc3
genome_0099,CAAFEM010000000,GCA_900761875,d43c6bd96b1b8c3984d0133e50175464
genome_0100,CAAGDF010000000,GCA_900768525,98a4efe0fe07c88a73a3af50953f5845
genome_0101,CAAGDB010000000,GCA_900768475,b49d63a04eaae49d3e455c823225ef0a
genome_0102,CAAGCW010000000,GCA_900768435,3e59db786fcb051c9d3e6199ab200cc0
genome_0103,CAAFMQ010000000,GCA_900764075,5124ebdbac5fe9a16de8c1a8d3b6c6bf
genome_0104,CAAGAO010000000,GCA_900767835,a44fa6834974d25fc184cdd0aa99b6bf
genome_0105,CAAESY010000000,GCA_900758835,27a585b4b44fee433409b164771c2e03
genome_0106,CAAEUA010000000,GCA_900759145,95d75122ff8187a3bedcf26040727a7c
genome_0107,CAADZW010000000,GCA_900753645,5071ec14b69f6c1e8fbba2cab1d85d48
genome_0108,CAAGCE010000000,GCA_900768245,10875e93b34d40ce53b5f85e6869488b
genome_0109,CAAGLO010000000,GCA_900770815,7cbd7177bd6ab3f73cbff5bce57887ad
genome_0110,CAAGMX010000000,GCA_900771165,40048d68af25a3b9625d0a797c2dfdf8
genome_0111,CAAGBV010000000,GCA_900768145,94d4450812adbe23a84331681c69edc4
genome_0112,CAAGSH010000000,GCA_900772915,00fe3efb360eb09d9c0125507558ce4e
genome_0113,CAAECT010000000,GCA_900754435,4dd1390b867163a07036667ed7dabbd8
genome_0114,CAAESQ010000000,GCA_900758715,8cd4bdfe9fda8904c4315c208306b768
genome_0115,CAAEXO010000000,GCA_900760035,f0017f13212f461ddc0f3def52d92f40
genome_0116,CAAEGO010000000,GCA_900755475,91f953cdd4739c6ce297e6ca41b4250a
genome_0117,CAAEBV010000000,GCA_900754155,7937651a5acaf35bcc23e89ec31ce51e
genome_0118,CAAGEU010000000,GCA_900768945,cf58c66cb77f6282e9abb2bc10adf67b
genome_0119,CAAEII010000000,GCA_900755975,56b01c823b3cf24ed40463ab20667498
genome_0120,CAAFBM010000000,GCA_900761025,8799d6eea2342172543b4538f23a1b68
genome_0121,CAAEJE010000000,GCA_900756195,e439a21978290128a89ca2675d3adc9f
genome_0122,CAADVE010000000,GCA_900752425,2dd1af5be78c160965e481da70743136
genome_0123,CAAFQL010000000,GCA_900765125,151cb0f5e7caa64dfb64f1ff08a9338c
genome_0124,CAAEJY010000000,GCA_900756175,4c2cc265743ac0b0723a7f83f87ca139
genome_0125,CAAFVG010000000,GCA_900766405,f7567e7f4093e0f2dcfa6ed405f9b5ef
genome_0126,CAAFFG010000000,GCA_900762075,fdefdf250ba3bc1fa7e2b03e41f588bc
genome_0127,CAAGHA010000000,GCA_900769555,f46e903d0769f5ab701abac99513c255
genome_0128,CAAFPS010000000,GCA_900764895,596a69f2a7097c8580ff2eb3fcf92951
genome_0129,CAAFQJ010000000,GCA_900765075,7c6850aacbcded574c8d19b01bc3bd59
genome_0130,CAAELS010000000,GCA_900756885,3b5dfc9ebb1b8452d7663eb078e63b93
genome_0131,CAADXU010000000,GCA_900753085,58eb84573afe29cdaf55f5f8b0ea0bb6
genome_0132,CAAEEY010000000,GCA_900755025,e9e1ef625df912b47ebe26477833519a
genome_0133,CAAFWO010000000,GCA_900766735,f359c85995673a207ff47667aab235de
genome_0134,CAAFUY010000000,GCA_900766315,ecad4087d05c8281d99815ade271345c
genome_0135,CAAGPE010000000,GCA_900771785,753b47d4001478b88eabc6d10f2f8cd9
genome_0136,CAAFXV010000000,GCA_900767085,2909317e6a8722ef7f0520c6f72acffc
genome_0137,CAAECL010000000,GCA_900754325,c29ed7dd54a38f76ceb5153071ad9b99
genome_0138,CAAEUZ010000000,GCA_900759385,1aac2458032aab1025805d0747e71cf3
genome_0139,CAAGIX010000000,GCA_900770045,1684a969d94c2129a567d149601a868e
genome_0140,CAAEHA010000000,GCA_900755565,abdf5726de653e07b72b7dbc3d7bc104
genome_0141,CAAFXN010000000,GCA_900766775,0ed591524ad177cdcc5bf1c4848d02aa
genome_0142,CAAFFP010000000,GCA_900762195,aabd6b6323176bc6d74da8dd4f0bd8d3
genome_0143,CAAGCB010000000,GCA_900768185,66eeb1a1a1577e05fa2d347e1d50ddd7
genome_0144,CAAEJL010000000,GCA_900756255,a9b59aaf23479f7590881c88de50a78f
genome_0145,CAAEUI010000000,GCA_900759185,8746c6e7e9f8add8645fa2828c1a759c
genome_0146,CAAFEU010000000,GCA_900761965,14898e55f19212027dc7f4757ddc973e
genome_0147,CAAEDW010000000,GCA_900754725,138c6500cc75805e350cac7b08943898
genome_0148,CAAEZX010000000,GCA_900760685,7a1f87516d8d3275d44c5700ee6863f7
genome_0149,CAAEDT010000000,GCA_900754705,e97e14c2a1ab7d14a744ca6767f01493
genome_0150,CAAGET010000000,GCA_900768955,78e1c55621e7a3f3924d44cf2baab785
genome_0151,CAADWY010000000,GCA_900752915,4d12b2aa92cb9e3c9b2627c442afaa1f
genome_0152,CAAFJZ010000000,GCA_900763345,f549599eefe0aff28dda843d6e386345
genome_0153,CAAECM010000000,GCA_900754335,621690efff8dc6936e636d146b077a87
genome_0154,CAAFUQ010000000,GCA_900766215,6c78b5950d962a9fd51bf20f53b6c1eb
genome_0155,CAAGEW010000000,GCA_900768985,d2af301eee372d0d5addcf776c1f86d8
genome_0156,CAAFLW010000000,GCA_900763855,39040b16a853d6ec656bb53bb1c7b030
genome_0157,CAAECV010000000,GCA_900754425,7c7fed8aa412569bf948cda34ce97c34
genome_0158,CAAENE010000000,GCA_900757255,4b2f249054860d127ba95a3665ef9e3a
genome_0159,CAAFJY010000000,GCA_900763355,cc107cc2fbac5ceb55aca5001f32057e
genome_0160,CAAFFX010000000,GCA_900762235,3fa46223c7c8015647c2dea95381ac6d
genome_0161,CAAGCP010000000,GCA_900768365,9a5e611360bb8374e226be5c2b9706f1
genome_0162,CAAEWB010000000,GCA_900759625,5ee61f25530836661f92353574255f58
genome_0163,CAAFJT010000000,GCA_900763305,71639cebc2813f585ec98c73c5c66d0e
genome_0164,CAAEBA010000000,GCA_900753965,e747b01216efc876a55fc535197a1216
genome_0165,CAAFYG010000000,GCA_900767195,9dec5e02e804279b1288005eff644c2b
genome_0166,CAAFQG010000000,GCA_900765055,e7c6d1f704a736a51f2142226dca6ac8
genome_0167,CAAERA010000000,GCA_900758275,8a302c6988833cb62664c33db6604cc9
genome_0168,CAAFVR010000000,GCA_900766555,7c2d1aa3caccab13760f8d69d4a9cee8
genome_0169,CAADXL010000000,GCA_900753005,e2ff3653c148470f43a196d47728e815
genome_0170,CAAGKJ010000000,GCA_900770375,10ad3fae180680a61f06d60a51de2a8c
genome_0171,CAAFND010000000,GCA_900764205,e68d524dd1d9aa028be213974969ce11
genome_0172,CAAHEK010000000,GCA_900772425,9321567ff4137e7cbe0f61f6dc1aef22
genome_0173,CAAFXK010000000,GCA_900766965,ab0bcf0c903457aa3b3a205373486b58
genome_0174,CAAGBN010000000,GCA_900768075,68faefe12edd15650d6987ad19327eaa
genome_0175,CAAEHD010000000,GCA_900755635,e435e2457bdb1de3f031bc05f4232037
genome_0176,CAAGQZ010000000,GCA_900772255,8fd3b913cd0017454be8297859c9e83f
genome_0177,CAAEIQ010000000,GCA_900756025,c46f59c6470502043fe110fa731106b8
genome_0178,CAAFOI010000000,GCA_900764495,3295acb773f7d7ef24f48ce9d005541f
genome_0179,CAAGLN010000000,GCA_900770735,6d9c489f1edd5e1ad48ea8e606bd72bb
genome_0180,CAAGMA010000000,GCA_900770905,be34b78114c3baf4912772579568b984
genome_0181,CAAERI010000000,GCA_900758365,121abecbeff84a15e3439c48e1812c84
genome_0182,CAAFDI010000000,GCA_900761565,386746b79b5145792b1c4393aa17912a
genome_0183,CAAGHK010000000,GCA_900769625,e4d75999a687d856c0fd6cf3c7fb46cc
genome_0184,CAAFRU010000000,GCA_900765545,055335a159641cd73ba3087516b6b6c7
genome_0185,CAAFUP010000000,GCA_900766225,58b3699b76193e6fecef3f64b4e0eadc
genome_0186,CAAGPK010000000,GCA_900771855,5f94802c38eff44bc19dee7024067dd9
genome_0187,CAAFOM010000000,GCA_900764565,f68ae6760daf8e6e6542412a0a0b9a56
genome_0188,CAAGHE010000000,GCA_900769595,09ac312928d46511f93c08f95c8f51d9
genome_0189,CAAEUC010000000,GCA_900759155,c6053b9eb0959185b18bf6b8c1d84cdb
genome_0190,CAAFOA010000000,GCA_900764415,22a3599533de01b89e72b7539ef82ec6
genome_0191,CAAEWM010000000,GCA_900759735,eadc125d83921d57e81151fdb2581cbc
genome_0192,CAAEEQ010000000,GCA_900754935,cf35d32f5aa6ec2a0fbc876f66c52ba2
genome_0193,CAAGGN010000000,GCA_900769375,8262a6a612e568a6a15bc4907723020c
genome_0194,CAAFTN010000000,GCA_900765935,039c6d8c73f0aa14031e5d4d47f61873
genome_0195,CAAFXZ010000000,GCA_900767105,088cd6dccc03c6a98305c98e36bb5207
genome_0196,CAADUL010000000,GCA_900752185,52ca6ba3e2091152236709a0393b17f1
genome_0197,CAADZV010000000,GCA_900753585,b92d937831f559313ce48fec20d01b22
genome_0198,CAAEEJ010000000,GCA_900754865,70ea6a829821ba66b3709020a936e1fc
genome_0199,CAAEJG010000000,GCA_900756215,0e09ae15d2db2b8f5a1702f1efd03074
genome_0200,CAAEOE010000000,GCA_900757505,58c143e1558e100ef548dc918505f6b8
genome_0201,CAAGND010000000,GCA_900771185,2aa737aca7bff8d7afce7f0a75874ce1
genome_0202,CAAFYN010000000,GCA_900767255,664ecdf276df9f2de782e0ccac6da952
genome_0203,CAAGGR010000000,GCA_900769445,f198ca743592da03f9afbdc6929c06c6
genome_0204,CAAEPO010000000,GCA_900757915,a31af22a79eed51db82ec61b0cae6824
genome_0205,CAAFNP010000000,GCA_900764325,33268ddf43991252999e66d51461772f
genome_0206,CAAFDQ010000000,GCA_900761615,4f9d4e99702c31b91f9fd6900a6e32bb
genome_0207,CAAEGN010000000,GCA_900755485,154c308ae01573a72f10b07fd77d99e7
genome_0208,CAAERF010000000,GCA_900758315,d6e255cba3606d850494fdd28a57c509
genome_0209,CAAFSZ010000000,GCA_900765785,a7e9901f86709cf422792cb2f3c65c59
genome_0210,CAAFVQ010000000,GCA_900766525,21be17837c1cabcfe58d8a2180a62330
genome_0211,CAAGCM010000000,GCA_900768315,0056af11ecb7c6b38c58fd765648b584
genome_0212,CAAFXL010000000,GCA_900767005,c151e14eae921013a0c93799c2af1b14
genome_0213,CAADVA010000000,GCA_900752345,a34e0f41c9f5ee99f1aee9c3b1e3924e
genome_0214,CAAGFX010000000,GCA_900769225,2fed216e697df595d4346f7c0a8d431a
genome_0215,CAAFZK010000000,GCA_900767525,d358431eed3024d90e2494a43277b838
genome_0216,CAAFXU010000000,GCA_900767055,e3d66ed681f764b44a5da22161586348
genome_0217,CAAGGG010000000,GCA_900769355,fadccaa595abb89a7e5a00318937f4ac
genome_0218,CAAEHG010000000,GCA_900755665,fa8cbc05b6fca4059f46963c6aa47049
genome_0219,CAAHEZ010000000,GCA_900772545,e7250d59736c6e9ab75c2a20a92c12a3
genome_0220,CAAFHT010000000,GCA_900762765,e51adafab62aefa16f9c277ad863f822
genome_0221,CAAFRO010000000,GCA_900765485,01bea7a327510d4ea03aa0089b06ecbc
genome_0222,CAAEOF010000000,GCA_900757545,96cb1ff32e49ce29ba3538a831f38261
genome_0223,CAAGFQ010000000,GCA_900769195,45223b660adc81898fecacbd31951d2d
genome_0224,CAAFUI010000000,GCA_900766085,92a9455635c2c6f64771a08d214c7ca1
genome_0225,CAAGEI010000000,GCA_900768775,c9c3a2625b3a29a0b7bb1ee56deacbb4
genome_0226,CAAEHX010000000,GCA_900755845,0d753904ec85e04b0cf1d5bd6c39e956
genome_0227,CAAETG010000000,GCA_900758895,c7c862f3fb2d173686598eb204951301
genome_0228,CAAFZD010000000,GCA_900767435,0555ab8717c2c4269eb72ed02c53b0c0
genome_0229,CAAFWL010000000,GCA_900766725,99a4eab8a09751b0a455d1aaa42c69df
genome_0230,CAAFXH010000000,GCA_900766875,9dae4b87eec484488c4bd10e7c779792
genome_0231,CAAEDE010000000,GCA_900754525,5aab85b5d34a56095cb0cb15ed59406a
genome_0232,CAADWS010000000,GCA_900752815,4c925224ff36b462aa65327443289b89
genome_0233,CAAEYO010000000,GCA_900760325,d77ba8a960a6756c01aa8541f7d4192a
genome_0234,CAAGHX010000000,GCA_900769745,efed793be9f88f88e9095d0f0e8173b0
genome_0235,CAAFEE010000000,GCA_900761785,42129123fe8452bba1a90f5d36e11ae2
genome_0236,CAAEQN010000000,GCA_900758165,c20ae7d46f31fab07342763b48044485
genome_0237,CAAEZI010000000,GCA_900760505,861ad5fb17cd80a7c9aef56b0f8a3d98
genome_0238,CAAGDX010000000,GCA_900768685,09f7abc7778ed14ddf7840d4eb6e9bf3
genome_0239,CAAENZ010000000,GCA_900757475,eddc4473a23c9aff7eff5ad045ff0925
genome_0240,CAAFYJ010000000,GCA_900767205,4263105427954d8b6487d6c14e822618
genome_0241,CAAFRT010000000,GCA_900765285,b41ef4da097138cc43ba408a15a42df8
genome_0242,CAAFCY010000000,GCA_900761475,7c7fec73603354974cacb5a18ff05245
genome_0243,CAAEZA010000000,GCA_900760425,199b08033d4b4d17b7fef1f9b1801e96
genome_0244,CAAFSA010000000,GCA_900765355,e9092b5cadbbf9f7ea05ff6af509860e
genome_0245,CAAFJF010000000,GCA_900763135,d218cb2847a2a69b27287431ee4d7a1a
genome_0246,CAADZN010000000,GCA_900753505,730f0c3646aa599c0390f1049fb2d233
genome_0247,CAAEWT010000000,GCA_900759835,8db036fc13de6222c03559f5b43f8d1f
genome_0248,CAADVV010000000,GCA_900752535,e9ab53bf56fa2cc2105996cbdae679e1
genome_0249,CAAEQJ010000000,GCA_900758095,95204976fc4eb57688fa51cfbe5fcfdb
genome_0250,CAAEFB010000000,GCA_900755055,ee84e125cf46d334a432a9178fcd3716
genome_0251,CAAFWZ010000000,GCA_900766835,f5f8dc0e407d8a2c38e1b9fffc811cd3
genome_0252,CAAEJZ010000000,GCA_900756395,28a4bf286ba173017eceb9ce08d3490e
genome_0253,CAAEOB010000000,GCA_900757515,52297f7665df44fccec43d238ae75d64
genome_0254,CAAEVU010000000,GCA_900759575,006b846a3ef7f6b6824575cf396c3487
genome_0255,CAAFLP010000000,GCA_900763755,1ba854e5f1f753308e82108d3417ecbf
genome_0256,CAAFRX010000000,GCA_900765515,5996b3900266dbe0a20ba0518c7fb475
