Group,IDR_A,IDR_B,mean_Pearson_r
EDKRH(Low)&S(Poor) (n=6),MED15,TIA1,0.725192
EDKRH(Low)&S(Poor) (n=6),MED15,hnRNPA2,-0.055302
EDKRH(Low)&S(Poor) (n=6),MED15,hnRNPA3,0.075747
EDKRH(Low)&S(Poor) (n=6),MED15,hnRNPAB,0.015945
EDKRH(Low)&S(Poor) (n=6),MED15,hnRNPD,-0.026702
EDKRH(Low)&S(Poor) (n=6),TIA1,hnRNPA2,0.21542
EDKRH(Low)&S(Poor) (n=6),TIA1,hnRNPA3,0.202585
EDKRH(Low)&S(Poor) (n=6),TIA1,hnRNPAB,0.058926
EDKRH(Low)&S(Poor) (n=6),hnRNPA2,hnRNPA3,0.780257
EDKRH(Low)&S(Poor) (n=6),hnRNPA2,hnRNPAB,0.657045
EDKRH(Low)&S(Poor) (n=6),hnRNPA2,hnRNPD,0.675932
EDKRH(Low)&S(Poor) (n=6),hnRNPA3,hnRNPAB,0.209196
EDKRH(Low)&S(Poor) (n=6),hnRNPA3,hnRNPD,0.223317
EDKRH(Low)&S(Poor) (n=6),hnRNPAB,hnRNPD,0.4092
