pair,Configuration,Pearson_r
hnRNPA1-DDX4,B (backbone-swapped),0.619252
hnRNPA1-DDX4,B (backbone-swapped),0.88989
hnRNPA1-DDX4,B (backbone-swapped),0.918047
DDX4-hnRNPA3,A (original),0.807473
DDX4-hnRNPA3,A (original),0.554887
DDX4-hnRNPA3,A (original),0.861484
DDX4-hnRNPA3,A (original),0.753765
DDX4-hnRNPA3,A (original),0.815316
DDX4-hnRNPA3,A (original),0.534805
DDX4-hnRNPA3,A (original),0.598488
DDX4-hnRNPA3,B (backbone-swapped),0.617582
DDX4-hnRNPA3,B (backbone-swapped),0.938293
DDX4-hnRNPA3,B (backbone-swapped),0.580898
DDX4-hnRNPA3,B (backbone-swapped),0.852879
DDX4-hnRNPA3,B (backbone-swapped),0.815146
DDX4-hnRNPA3,B (backbone-swapped),0.780358
DDX4-hnRNPA3,B (backbone-swapped),0.862117
DDX4-hnRNPA3,B (backbone-swapped),0.543207
DDX4-hnRNPA3,B (backbone-swapped),0.788131
DDX4-hnRNPA3,B (backbone-swapped),0.571996
DDX4-hnRNPA3,B (backbone-swapped),0.831378
DDX4-hnRNPA3,B (backbone-swapped),0.83955
DDX4-hnRNPA3,B (backbone-swapped),0.625303
DDX4-hnRNPA3,B (backbone-swapped),0.746366
DDX4-hnRNPA3,B (backbone-swapped),0.703911
DDX4-hnRNPA3,B (backbone-swapped),0.706947
DDX4-hnRNPA3,B (backbone-swapped),0.91926
DDX4-hnRNPA3,B (backbone-swapped),0.936575
DDX4-hnRNPA3,B (backbone-swapped),0.73616
DDX4-hnRNPA3,B (backbone-swapped),0.608416
DDX4-hnRNPA3,B (backbone-swapped),0.768623
DDX4-NUP98,A (original),0.841979
DDX4-NUP98,A (original),0.848152
DDX4-NUP98,A (original),0.804691
DDX4-NUP98,A (original),0.819005
DDX4-NUP98,B (backbone-swapped),0.551058
DDX4-NUP98,B (backbone-swapped),0.725925
DDX4-NUP98,B (backbone-swapped),0.879453
DDX4-NUP98,B (backbone-swapped),0.905474
DDX4-NUP98,B (backbone-swapped),0.969014
DDX4-NUP98,B (backbone-swapped),0.938043
DDX4-NUP98,B (backbone-swapped),0.8613
DDX4-NUP98,B (backbone-swapped),0.752638
DDX4-NUP98,B (backbone-swapped),0.946787
DDX4-TAF15(IDR1),A (original),0.528095
DDX4-TAF15(IDR1),A (original),0.873129
DDX4-TAF15(IDR1),A (original),0.882383
DDX4-TAF15(IDR1),A (original),0.666695
DDX4-TAF15(IDR1),A (original),0.882939
DDX4-TAF15(IDR1),A (original),0.955043
DDX4-TAF15(IDR1),A (original),0.802723
DDX4-TAF15(IDR1),B (backbone-swapped),0.970901
DDX4-TAF15(IDR1),B (backbone-swapped),0.957013
DDX4-TAF15(IDR1),B (backbone-swapped),0.768046
DDX4-TAF15(IDR1),B (backbone-swapped),0.64088
DDX4-TAF15(IDR1),B (backbone-swapped),0.961044
DDX4-TAF15(IDR1),B (backbone-swapped),0.91967
DDX4-TAF15(IDR1),B (backbone-swapped),0.90657
DDX4-TAF15(IDR1),B (backbone-swapped),0.935642
DDX4-TAF15(IDR1),B (backbone-swapped),0.895246
DDX4-TAF15(IDR1),B (backbone-swapped),0.968732
DDX4-TAF15(IDR1),B (backbone-swapped),0.892505
DDX4-TAF15(IDR1),B (backbone-swapped),0.965674
DDX4-TAF15(IDR1),B (backbone-swapped),0.951523
DDX4-TAF15(IDR1),B (backbone-swapped),0.966713
DDX4-TAF15(IDR1),B (backbone-swapped),0.960621
DDX4-TAF15(IDR2),A (original),0.820692
DDX4-TAF15(IDR2),A (original),0.724683
DDX4-TAF15(IDR2),A (original),0.739196
DDX4-TAF15(IDR2),A (original),0.67586
DDX4-TAF15(IDR2),A (original),0.889554
DDX4-TAF15(IDR2),B (backbone-swapped),0.897913
DDX4-TAF15(IDR2),B (backbone-swapped),0.948154
DDX4-TAF15(IDR2),B (backbone-swapped),0.945497
DDX4-TAF15(IDR2),B (backbone-swapped),0.98012
DDX4-TAF15(IDR2),B (backbone-swapped),0.975445
DDX4-TAF15(IDR2),B (backbone-swapped),0.967112
DDX4-TAF15(IDR2),B (backbone-swapped),0.963688
DDX4-TAF15(IDR2),B (backbone-swapped),0.980462
DDX4-TAF15(IDR2),B (backbone-swapped),0.938254
DDX4-TAF15(IDR2),B (backbone-swapped),0.962775
DDX4-TAF15(IDR2),B (backbone-swapped),0.911647
DDX4-TAF15(IDR2),B (backbone-swapped),0.957609
DDX4-TAF15(IDR2),B (backbone-swapped),0.922576
DDX4-TAF15(IDR2),B (backbone-swapped),0.942915
DDX4-TAF15(IDR2),B (backbone-swapped),0.938966
DDX4-TAF15(IDR2),B (backbone-swapped),0.964852
DDX4-TAF15(IDR2),B (backbone-swapped),0.945018
hnRNPA1-FUS,A (original),0.732248
hnRNPA1-FUS,A (original),0.804755
hnRNPA1-FUS,A (original),0.800215
hnRNPA1-FUS,A (original),0.844892
hnRNPA1-FUS,A (original),0.855512
hnRNPA1-FUS,A (original),0.627302
hnRNPA1-FUS,B (backbone-swapped),0.794734
hnRNPA1-FUS,B (backbone-swapped),0.945988
hnRNPA1-FUS,B (backbone-swapped),0.799676
hnRNPA1-FUS,B (backbone-swapped),0.88687
hnRNPA1-FUS,B (backbone-swapped),0.670654
hnRNPA1-FUS,B (backbone-swapped),0.822398
hnRNPA1-FUS,B (backbone-swapped),0.912442
hnRNPA1-FUS,B (backbone-swapped),0.725733
hnRNPA1-FUS,B (backbone-swapped),0.772173
hnRNPA1-FUS,B (backbone-swapped),0.868984
hnRNPA1-FUS,B (backbone-swapped),0.8613
hnRNPA1-FUS,B (backbone-swapped),0.565543
hnRNPA1-FUS,B (backbone-swapped),0.8859
hnRNPA1-FUS,B (backbone-swapped),0.926099
hnRNPA1-FUS,B (backbone-swapped),0.765118
hnRNPA1-FUS,B (backbone-swapped),0.854317
hnRNPA1-FUS,B (backbone-swapped),0.94652
hnRNPA1-FUS,B (backbone-swapped),0.846708
hnRNPA1-FUS,B (backbone-swapped),0.745736
hnRNPA1-FUS,B (backbone-swapped),0.834458
hnRNPA1-FUS,B (backbone-swapped),0.983552
hnRNPA1-FUS,B (backbone-swapped),0.908447
hnRNPA1-FUS,B (backbone-swapped),0.913288
hnRNPA1-FUS,B (backbone-swapped),0.811982
hnRNPA1-FUS,B (backbone-swapped),0.886309
hnRNPA1-FUS,B (backbone-swapped),0.900804
hnRNPA1-FUS,B (backbone-swapped),0.528319
hnRNPA1-FUS,B (backbone-swapped),0.900193
hnRNPA1-FUS,B (backbone-swapped),0.941471
hnRNPA1-FUS,B (backbone-swapped),0.89622
hnRNPA1-FUS,B (backbone-swapped),0.87258
hnRNPA1-FUS,B (backbone-swapped),0.817935
hnRNPA1-FUS,B (backbone-swapped),0.728746
hnRNPA1-FUS,B (backbone-swapped),0.682823
hnRNPA1-FUS,B (backbone-swapped),0.789967
hnRNPA1-FUS,B (backbone-swapped),0.800281
TAF15(IDR1)-FUS,A (original),0.74827
TAF15(IDR1)-FUS,A (original),0.698894
TAF15(IDR1)-FUS,A (original),0.844582
TAF15(IDR1)-FUS,A (original),0.84827
TAF15(IDR1)-FUS,A (original),0.789732
TAF15(IDR1)-FUS,B (backbone-swapped),0.737458
TAF15(IDR1)-FUS,B (backbone-swapped),0.803856
TAF15(IDR1)-FUS,B (backbone-swapped),0.810948
TAF15(IDR1)-FUS,B (backbone-swapped),0.899105
TAF15(IDR1)-FUS,B (backbone-swapped),0.772905
TAF15(IDR1)-FUS,B (backbone-swapped),0.924567
TAF15(IDR1)-FUS,B (backbone-swapped),0.7577
TAF15(IDR1)-FUS,B (backbone-swapped),0.679294
TAF15(IDR1)-FUS,B (backbone-swapped),0.853542
TAF15(IDR1)-FUS,B (backbone-swapped),0.931964
TAF15(IDR1)-FUS,B (backbone-swapped),0.937624
TAF15(IDR1)-FUS,B (backbone-swapped),0.94696
TAF15(IDR1)-FUS,B (backbone-swapped),0.877449
TAF15(IDR1)-FUS,B (backbone-swapped),0.804835
TAF15(IDR1)-FUS,B (backbone-swapped),0.922267
TAF15(IDR1)-FUS,B (backbone-swapped),0.961399
TAF15(IDR1)-FUS,B (backbone-swapped),0.699212
TAF15(IDR1)-FUS,B (backbone-swapped),0.773914
TAF15(IDR1)-FUS,B (backbone-swapped),0.899931
TAF15(IDR1)-FUS,B (backbone-swapped),0.962569
TAF15(IDR2)-FUS,A (original),0.786821
TAF15(IDR2)-FUS,A (original),0.834903
TAF15(IDR2)-FUS,A (original),0.789607
TAF15(IDR2)-FUS,A (original),0.818858
TAF15(IDR2)-FUS,A (original),0.648891
TAF15(IDR2)-FUS,A (original),0.857362
TAF15(IDR2)-FUS,A (original),0.784206
TAF15(IDR2)-FUS,B (backbone-swapped),0.880221
TAF15(IDR2)-FUS,B (backbone-swapped),0.750165
TAF15(IDR2)-FUS,B (backbone-swapped),0.626091
TAF15(IDR2)-FUS,B (backbone-swapped),0.896675
TAF15(IDR2)-FUS,B (backbone-swapped),0.830571
TAF15(IDR2)-FUS,B (backbone-swapped),0.695787
TAF15(IDR2)-FUS,B (backbone-swapped),0.841299
TAF15(IDR2)-FUS,B (backbone-swapped),0.791651
TAF15(IDR2)-FUS,B (backbone-swapped),0.886992
TAF15(IDR2)-FUS,B (backbone-swapped),0.80491
TAF15(IDR2)-FUS,B (backbone-swapped),0.880779
TAF15(IDR2)-FUS,B (backbone-swapped),0.911181
TAF15(IDR2)-FUS,B (backbone-swapped),0.778423
TAF15(IDR2)-FUS,B (backbone-swapped),0.918702
TAF15(IDR2)-FUS,B (backbone-swapped),0.88126
TAF15(IDR2)-FUS,B (backbone-swapped),0.862368
hnRNPA1-hnRNPA2,A (original),0.880353
hnRNPA1-hnRNPA2,A (original),0.758783
hnRNPA1-hnRNPA2,A (original),0.919896
hnRNPA1-hnRNPA2,A (original),0.895804
hnRNPA1-hnRNPA2,A (original),0.735866
hnRNPA1-hnRNPA2,A (original),0.805572
hnRNPA1-hnRNPA2,A (original),0.672264
hnRNPA1-hnRNPA2,B (backbone-swapped),0.917969
hnRNPA1-hnRNPA2,B (backbone-swapped),0.910334
hnRNPA1-hnRNPA2,B (backbone-swapped),0.826316
hnRNPA1-hnRNPA2,B (backbone-swapped),0.913168
hnRNPA1-hnRNPA2,B (backbone-swapped),0.82674
hnRNPA1-hnRNPA2,B (backbone-swapped),0.666826
hnRNPA1-hnRNPA2,B (backbone-swapped),0.839205
hnRNPA1-hnRNPA2,B (backbone-swapped),0.711447
hnRNPA1-hnRNPA2,B (backbone-swapped),0.738827
hnRNPA1-hnRNPA2,B (backbone-swapped),0.733202
hnRNPA1-hnRNPA2,B (backbone-swapped),0.836332
hnRNPA1-hnRNPA2,B (backbone-swapped),0.856815
hnRNPA1-hnRNPA2,B (backbone-swapped),0.821497
hnRNPA1-hnRNPA2,B (backbone-swapped),0.848569
hnRNPA1-hnRNPA2,B (backbone-swapped),0.849605
hnRNPA1-hnRNPA2,B (backbone-swapped),0.67765
hnRNPA1-hnRNPA2,B (backbone-swapped),0.71608
hnRNPA1-hnRNPA2,B (backbone-swapped),0.745494
hnRNPA1-hnRNPA2,B (backbone-swapped),0.811303
hnRNPA1-hnRNPA2,B (backbone-swapped),0.720514
hnRNPA1-hnRNPA2,B (backbone-swapped),0.833418
hnRNPA1-hnRNPA2,B (backbone-swapped),0.894223
hnRNPA1-hnRNPA2,B (backbone-swapped),0.752012
hnRNPA1-hnRNPA2,B (backbone-swapped),0.849676
hnRNPA1-hnRNPA2,B (backbone-swapped),0.758877
hnRNPA1-hnRNPA2,B (backbone-swapped),0.907394
hnRNPA1-hnRNPA2,B (backbone-swapped),0.792415
hnRNPA1-hnRNPA2,B (backbone-swapped),0.902154
hnRNPA1-hnRNPA2,B (backbone-swapped),0.93267
hnRNPA1-hnRNPA2,B (backbone-swapped),0.862399
hnRNPA1-hnRNPA2,B (backbone-swapped),0.860126
hnRNPA1-hnRNPA2,B (backbone-swapped),0.94363
hnRNPA1-hnRNPA3,A (original),0.91735
hnRNPA1-hnRNPA3,A (original),0.815538
hnRNPA1-hnRNPA3,A (original),0.864411
hnRNPA1-hnRNPA3,A (original),0.918817
hnRNPA1-hnRNPA3,A (original),0.716538
hnRNPA1-hnRNPA3,B (backbone-swapped),0.547027
hnRNPA1-hnRNPA3,B (backbone-swapped),0.599615
hnRNPA1-hnRNPA3,B (backbone-swapped),0.845385
hnRNPA1-hnRNPA3,B (backbone-swapped),0.821952
hnRNPA1-hnRNPA3,B (backbone-swapped),0.82846
hnRNPA1-hnRNPA3,B (backbone-swapped),0.818332
hnRNPA1-hnRNPA3,B (backbone-swapped),0.913566
hnRNPA1-hnRNPA3,B (backbone-swapped),0.621589
hnRNPA1-hnRNPA3,B (backbone-swapped),0.972688
hnRNPA1-hnRNPA3,B (backbone-swapped),0.953356
hnRNPA1-hnRNPA3,B (backbone-swapped),0.776459
hnRNPA1-hnRNPA3,B (backbone-swapped),0.925397
hnRNPA1-hnRNPA3,B (backbone-swapped),0.508182
hnRNPA1-hnRNPA3,B (backbone-swapped),0.806649
hnRNPA1-hnRNPA3,B (backbone-swapped),0.782839
hnRNPA1-hnRNPA3,B (backbone-swapped),0.807025
hnRNPA1-hnRNPA3,B (backbone-swapped),0.895587
hnRNPA1-hnRNPA3,B (backbone-swapped),0.913102
hnRNPA1-hnRNPA3,B (backbone-swapped),0.729149
hnRNPA1-hnRNPA3,B (backbone-swapped),0.897327
hnRNPA1-hnRNPA3,B (backbone-swapped),0.816536
hnRNPA1-hnRNPA3,B (backbone-swapped),0.789539
hnRNPA1-hnRNPA3,B (backbone-swapped),0.821073
hnRNPA1-hnRNPA3,B (backbone-swapped),0.960271
hnRNPA1-hnRNPA3,B (backbone-swapped),0.708514
hnRNPA1-hnRNPA3,B (backbone-swapped),0.602238
hnRNPA1-hnRNPA3,B (backbone-swapped),0.917793
hnRNPA1-hnRNPA3,B (backbone-swapped),0.86693
hnRNPA1-hnRNPA3,B (backbone-swapped),0.689823
hnRNPA1-NUP98,A (original),0.687115
hnRNPA1-NUP98,A (original),0.84755
hnRNPA1-NUP98,A (original),0.602658
hnRNPA1-NUP98,A (original),0.835084
hnRNPA1-NUP98,A (original),0.71078
hnRNPA1-NUP98,A (original),0.923782
hnRNPA1-NUP98,B (backbone-swapped),0.845661
hnRNPA1-NUP98,B (backbone-swapped),0.73755
hnRNPA1-NUP98,B (backbone-swapped),0.914366
hnRNPA1-NUP98,B (backbone-swapped),0.782368
hnRNPA1-NUP98,B (backbone-swapped),0.748257
hnRNPA1-NUP98,B (backbone-swapped),0.971372
hnRNPA1-NUP98,B (backbone-swapped),0.644322
hnRNPA1-NUP98,B (backbone-swapped),0.637024
hnRNPA1-NUP98,B (backbone-swapped),0.614023
hnRNPA1-TAF15(IDR1),A (original),0.526345
hnRNPA1-TAF15(IDR1),A (original),0.572912
hnRNPA1-TAF15(IDR1),A (original),0.629011
hnRNPA1-TAF15(IDR1),A (original),0.65999
hnRNPA1-TAF15(IDR1),A (original),0.70124
hnRNPA1-TAF15(IDR1),A (original),0.83651
hnRNPA1-TAF15(IDR1),A (original),0.775171
hnRNPA1-TAF15(IDR1),A (original),0.827738
hnRNPA1-TAF15(IDR1),A (original),0.795048
hnRNPA1-TAF15(IDR1),A (original),0.724519
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.944555
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.940944
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.8448
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.706615
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.644546
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.91229
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.868138
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.832305
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.947128
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.787528
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.926819
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.615334
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.946823
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.943281
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.902156
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.418357
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.901126
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.875887
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.777879
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.875933
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.899524
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.893826
hnRNPA1-TAF15(IDR1),B (backbone-swapped),0.848973
hnRNPA1-TAF15(IDR2),A (original),0.822546
hnRNPA1-TAF15(IDR2),A (original),0.781158
hnRNPA1-TAF15(IDR2),A (original),0.555792
hnRNPA1-TAF15(IDR2),A (original),0.708627
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.956092
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.814246
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.865693
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.547746
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.701545
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.797227
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.885744
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.890501
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.766802
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.814267
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.845618
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.709414
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.949568
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.764204
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.902092
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.83583
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.823834
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.766531
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.782931
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.684346
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.772527
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.732154
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.832189
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.779433
hnRNPA1-TAF15(IDR2),B (backbone-swapped),0.944664
hnRNPA1-TIA1,A (original),0.594923
hnRNPA1-TIA1,A (original),0.784959
hnRNPA1-TIA1,A (original),0.912156
hnRNPA1-TIA1,A (original),0.656539
hnRNPA1-TIA1,B (backbone-swapped),0.879124
hnRNPA1-TIA1,B (backbone-swapped),0.758113
hnRNPA1-TIA1,B (backbone-swapped),0.847412
hnRNPA1-TIA1,B (backbone-swapped),0.879829
hnRNPA1-TIA1,B (backbone-swapped),0.970494
hnRNPA1-TIA1,B (backbone-swapped),0.843995
hnRNPA1-TIA1,B (backbone-swapped),0.874533
hnRNPA1-TIA1,B (backbone-swapped),0.789179
hnRNPA1-TIA1,B (backbone-swapped),0.833356
hnRNPA1-TIA1,B (backbone-swapped),0.894746
hnRNPA1-TIA1,B (backbone-swapped),0.984637
hnRNPA1-TIA1,B (backbone-swapped),0.951524
hnRNPA1-TIA1,B (backbone-swapped),0.960657
hnRNPA1-TIA1,B (backbone-swapped),0.800661
hnRNPA1-TIA1,B (backbone-swapped),0.79703
hnRNPA1-TIA1,B (backbone-swapped),0.89478
hnRNPA1-TIA1,B (backbone-swapped),0.914262
hnRNPA1-TIA1,B (backbone-swapped),0.866025
hnRNPA1-TIA1,B (backbone-swapped),0.771108
hnRNPA1-TIA1,B (backbone-swapped),0.946455
hnRNPA1-TIA1,B (backbone-swapped),0.878544
hnRNPA1-TIA1,B (backbone-swapped),0.598665
hnRNPA1-TIA1,B (backbone-swapped),0.924007
hnRNPA1-TIA1,B (backbone-swapped),0.91763
hnRNPA2-hnRNPA3,A (original),0.786524
hnRNPA2-hnRNPA3,A (original),0.831933
hnRNPA2-hnRNPA3,A (original),0.817594
hnRNPA2-hnRNPA3,A (original),0.690376
hnRNPA2-hnRNPA3,A (original),0.774857
hnRNPA2-hnRNPA3,B (backbone-swapped),0.65289
hnRNPA2-hnRNPA3,B (backbone-swapped),0.885756
hnRNPA2-hnRNPA3,B (backbone-swapped),0.841548
hnRNPA2-hnRNPA3,B (backbone-swapped),0.911142
hnRNPA2-hnRNPA3,B (backbone-swapped),0.868171
hnRNPA2-hnRNPA3,B (backbone-swapped),0.932574
hnRNPA2-hnRNPA3,B (backbone-swapped),0.668614
hnRNPA2-hnRNPA3,B (backbone-swapped),0.932963
hnRNPA2-hnRNPA3,B (backbone-swapped),0.939679
hnRNPA2-hnRNPA3,B (backbone-swapped),0.794223
hnRNPA2-hnRNPA3,B (backbone-swapped),0.894916
hnRNPA2-hnRNPA3,B (backbone-swapped),0.869087
hnRNPA2-hnRNPA3,B (backbone-swapped),0.842643
hnRNPA2-hnRNPA3,B (backbone-swapped),0.877324
hnRNPA2-hnRNPA3,B (backbone-swapped),0.91785
hnRNPA2-hnRNPA3,B (backbone-swapped),0.882018
hnRNPA2-hnRNPA3,B (backbone-swapped),0.848304
hnRNPA2-hnRNPA3,B (backbone-swapped),0.943901
hnRNPA2-hnRNPA3,B (backbone-swapped),0.967432
hnRNPA2-hnRNPA3,B (backbone-swapped),0.905657
hnRNPA2-hnRNPA3,B (backbone-swapped),0.805696
hnRNPA2-hnRNPA3,B (backbone-swapped),0.820154
hnRNPA2-hnRNPA3,B (backbone-swapped),0.757632
hnRNPA2-hnRNPA3,B (backbone-swapped),0.958673
hnRNPA2-hnRNPA3,B (backbone-swapped),0.953894
hnRNPA2-TAF15(IDR2),A (original),0.553779
hnRNPA2-TAF15(IDR2),A (original),0.59281
hnRNPA2-TAF15(IDR2),A (original),0.605962
hnRNPA2-TAF15(IDR2),A (original),0.552967
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.978309
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.986408
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.890639
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.856991
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.831986
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.754346
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.628345
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.779136
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.5842
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.847671
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.941611
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.933217
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.845352
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.965506
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.971733
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.787504
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.920422
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.78399
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.831886
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.952094
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.97743
