Group,IDR_A,IDR_B,mean_Pearson_r
Others (n=18),TIA1,hnRNPA3,0.202585
Others (n=18),TIA1,hnRNPH1,0.280934
Others (n=18),hnRNPA1,hnRNPA2,0.809791
Others (n=18),hnRNPA1,hnRNPA3,0.846531
Others (n=18),hnRNPA1,hnRNPDL,0.790625
Others (n=18),hnRNPA1,hnRNPH1,0.5771
Others (n=18),hnRNPA2,hnRNPA3,0.780257
Others (n=18),hnRNPA2,hnRNPDL,0.645674
Others (n=18),hnRNPA2,hnRNPH1,0.211783
Others (n=18),hnRNPA3,hnRNPDL,0.332775
Others (n=18),hnRNPA3,hnRNPH1,0.271987
Others (n=18),hnRNPDL,hnRNPH1,0.0287
NCPR+ vs NCPR- (between-group pairs),BRD9,FUS,-0.004906
NCPR+ vs NCPR- (between-group pairs),BRD9,TAF15(IDR1),-0.073442
NCPR+ vs NCPR- (between-group pairs),FMRP,FUS,0.093774
NCPR+ vs NCPR- (between-group pairs),FMRP,PRCC,0.010845
NCPR+ vs NCPR- (between-group pairs),FMRP,TAF15(IDR1),0.092563
NCPR+ vs NCPR- (between-group pairs),FMRP,hnRNPK,-0.105361
NCPR+ vs NCPR- (between-group pairs),FUS,HES4,-0.058696
NCPR+ vs NCPR- (between-group pairs),FUS,MED1,0.27312
NCPR+ vs NCPR- (between-group pairs),FUS,hnRNPAB,0.089789
NCPR+ vs NCPR- (between-group pairs),FUS,hnRNPD,0.104065
NCPR+ vs NCPR- (between-group pairs),HES4,PRCC,0.157062
NCPR+ vs NCPR- (between-group pairs),HES4,TAF15(IDR1),0.107333
NCPR+ vs NCPR- (between-group pairs),HES4,hnRNPK,-0.17363
NCPR+ vs NCPR- (between-group pairs),MED1,PRCC,0.146537
NCPR+ vs NCPR- (between-group pairs),MED1,TAF15(IDR1),0.095295
NCPR+ vs NCPR- (between-group pairs),MED1,hnRNPK,0.334221
NCPR+ vs NCPR- (between-group pairs),PRCC,hnRNPAB,0.300708
NCPR+ vs NCPR- (between-group pairs),PRCC,hnRNPD,0.211136
NCPR+ vs NCPR- (between-group pairs),TAF15(IDR1),hnRNPAB,0.220958
NCPR+ vs NCPR- (between-group pairs),TAF15(IDR1),hnRNPD,0.411924
NCPR+ vs NCPR- (between-group pairs),hnRNPAB,hnRNPK,0.177201
NCPR+ vs NCPR- (between-group pairs),hnRNPD,hnRNPK,0.071495
