Group,IDR_A,IDR_B,mean_Pearson_r
S(Rich),HES4,RBM14,0.153741
S(Rich),HES4,TAF15(IDR1),0.107333
S(Rich),HES4,TDP43,0.027664
S(Rich),HES4,hnRNPA1,0.056685
S(Rich),HES4,hnRNPH1,0.125302
S(Rich),MED1,MLLT1,0.741265
S(Rich),MED1,NUP98,0.019149
S(Rich),MED1,Pol II,0.720231
S(Rich),MED1,RBM14,0.709957
S(Rich),MED1,TAF15(IDR1),0.095295
S(Rich),MED1,TDP43,0.209218
S(Rich),MED1,hnRNPA1,0.555676
S(Rich),MED1,hnRNPH1,0.000803
S(Rich),MLLT1,NUP98,0.010778
S(Rich),MLLT1,Pol II,0.213003
S(Rich),MLLT1,RBM14,-0.024513
S(Rich),MLLT1,TAF15(IDR1),0.005253
S(Rich),MLLT1,TDP43,0.888892
S(Rich),MLLT1,hnRNPA1,0.151135
S(Rich),MLLT1,hnRNPH1,-0.022231
S(Rich),NUP98,Pol II,0.142911
S(Rich),NUP98,RBM14,0.563837
S(Rich),NUP98,TAF15(IDR1),0.042265
S(Rich),NUP98,TDP43,0.122263
S(Rich),NUP98,hnRNPA1,0.767828
S(Rich),NUP98,hnRNPH1,0.584592
S(Rich),Pol II,RBM14,0.536389
S(Rich),Pol II,TAF15(IDR1),0.592218
S(Rich),Pol II,TDP43,0.150109
S(Rich),Pol II,hnRNPA1,0.638765
S(Rich),Pol II,hnRNPH1,0.273531
S(Rich),RBM14,TAF15(IDR1),0.699057
S(Rich),RBM14,TDP43,0.252904
S(Rich),RBM14,hnRNPA1,0.960265
S(Rich),RBM14,hnRNPH1,0.568575
S(Rich),TAF15(IDR1),TDP43,-0.07874
S(Rich),TAF15(IDR1),hnRNPA1,0.704848
S(Rich),TAF15(IDR1),hnRNPH1,0.225498
S(Rich),TDP43,hnRNPA1,0.771342
S(Rich),TDP43,hnRNPH1,0.715769
S(Rich),hnRNPA1,hnRNPH1,0.5771
S(Poor),BRD4,BRD9,0.893633
S(Poor),BRD4,MED15,0.07195
S(Poor),BRD4,PRCC,0.190786
S(Poor),BRD4,SFPQ,0.236758
S(Poor),BRD4,SMARCA2,0.323795
S(Poor),BRD4,TAF15(IDR2),0.17911
S(Poor),BRD4,TIA1,0.810315
S(Poor),BRD4,hnRNPA2,0.291614
S(Poor),BRD4,hnRNPA3,0.871516
S(Poor),BRD4,hnRNPAB,0.190367
S(Poor),BRD4,hnRNPD,0.194833
S(Poor),BRD4,hnRNPDL,0.687921
S(Poor),BRD4,hnRNPK,0.239044
S(Poor),BRD9,MED15,0.040959
S(Poor),BRD9,SMARCA2,-0.003891
S(Poor),BRD9,TAF15(IDR2),-0.0173
S(Poor),BRD9,TIA1,-0.041994
S(Poor),BRD9,hnRNPA2,0.152584
S(Poor),BRD9,hnRNPA3,0.035004
S(Poor),BRD9,hnRNPAB,0.209114
S(Poor),BRD9,hnRNPD,0.172347
S(Poor),BRD9,hnRNPDL,0.06263
S(Poor),MED15,PRCC,-0.018203
S(Poor),MED15,SFPQ,0.197982
S(Poor),MED15,SMARCA2,0.181381
S(Poor),MED15,TAF15(IDR2),0.130322
S(Poor),MED15,TIA1,0.725192
S(Poor),MED15,hnRNPA2,-0.055302
S(Poor),MED15,hnRNPA3,0.075747
S(Poor),MED15,hnRNPAB,0.015945
S(Poor),MED15,hnRNPD,-0.026702
S(Poor),MED15,hnRNPDL,0.033965
S(Poor),MED15,hnRNPK,0.149243
S(Poor),PRCC,SFPQ,0.095861
S(Poor),PRCC,SMARCA2,0.095716
S(Poor),PRCC,TAF15(IDR2),0.25009
S(Poor),PRCC,TIA1,-0.00192
S(Poor),PRCC,hnRNPA2,0.179622
S(Poor),PRCC,hnRNPA3,0.069675
S(Poor),PRCC,hnRNPAB,0.300708
S(Poor),PRCC,hnRNPD,0.211136
S(Poor),PRCC,hnRNPDL,0.227119
S(Poor),PRCC,hnRNPK,0.220375
S(Poor),SFPQ,SMARCA2,0.062521
S(Poor),SFPQ,TAF15(IDR2),0.045129
S(Poor),SFPQ,TIA1,0.064758
S(Poor),SFPQ,hnRNPA2,0.082402
S(Poor),SFPQ,hnRNPA3,0.065161
S(Poor),SFPQ,hnRNPAB,0.059338
S(Poor),SFPQ,hnRNPD,-0.001979
S(Poor),SFPQ,hnRNPDL,0.120713
S(Poor),SFPQ,hnRNPK,0.347251
S(Poor),SMARCA2,TAF15(IDR2),0.083024
S(Poor),SMARCA2,TIA1,0.133738
S(Poor),SMARCA2,hnRNPA2,0.055791
S(Poor),SMARCA2,hnRNPA3,0.131216
S(Poor),SMARCA2,hnRNPAB,0.229901
S(Poor),SMARCA2,hnRNPD,0.060279
S(Poor),SMARCA2,hnRNPDL,0.027064
S(Poor),SMARCA2,hnRNPK,0.083729
S(Poor),TAF15(IDR2),TIA1,0.288686
S(Poor),TAF15(IDR2),hnRNPA2,0.57638
S(Poor),TAF15(IDR2),hnRNPA3,0.588761
S(Poor),TAF15(IDR2),hnRNPD,0.083242
S(Poor),TAF15(IDR2),hnRNPK,0.301215
S(Poor),TIA1,hnRNPA2,0.21542
S(Poor),TIA1,hnRNPA3,0.202585
S(Poor),TIA1,hnRNPAB,0.058926
S(Poor),TIA1,hnRNPK,0.101625
S(Poor),hnRNPA2,hnRNPA3,0.780257
S(Poor),hnRNPA2,hnRNPAB,0.657045
S(Poor),hnRNPA2,hnRNPD,0.675932
S(Poor),hnRNPA2,hnRNPDL,0.645674
S(Poor),hnRNPA2,hnRNPK,0.20436
S(Poor),hnRNPA3,hnRNPAB,0.209196
S(Poor),hnRNPA3,hnRNPD,0.223317
S(Poor),hnRNPA3,hnRNPDL,0.332775
S(Poor),hnRNPA3,hnRNPK,0.179084
S(Poor),hnRNPAB,hnRNPD,0.4092
S(Poor),hnRNPAB,hnRNPDL,0.315937
S(Poor),hnRNPAB,hnRNPK,0.177201
S(Poor),hnRNPD,hnRNPK,0.071495
S(Poor),hnRNPDL,hnRNPK,0.370044
