drug,cell_line_id,observed_ic50
ABT-751,LN229,1.41529
ABT-751,LOVO,-0.504326
ABT-751,LP1,-0.721277
ABT-751,LS123,8.10916
ABT-751,LS180,-4.55347
ABT-751,MC116,-1.00782
ABT-751,MCF7,1.82617
ABT-751,MDST8,0.795005
ABT-751,MFE319,-1.54386
ABT-751,MKN74,7.85179
ABT-751,MSTO211H,-1.85707
ABT-751,NCIH1048,-5.57784
ABT-751,NCIH1299,-1.57352
ABT-751,NCIH1355,4.08742
ABT-751,NCIH1437,0.614761
ABT-751,NCIH1568,-0.66027
ABT-751,NCIH1573,7.89638
ABT-751,NCIH1666,6.71208
ABT-751,NCIH1694,0.0810118
ABT-751,NCIH1792,-2.53807
ABT-751,NCIH1836,0.725294
ABT-751,NCIH1915,7.12586
ABT-751,NCIH1944,3.94149
ABT-751,NCIH1975,3.1046
ABT-751,NCIH2009,1.18439
ABT-751,NCIH2023,9.39365
ABT-751,NCIH2030,5.19052
ABT-751,NCIH2052,7.37124
ABT-751,NCIH2110,5.44767
ABT-751,NCIH2122,-0.66905
ABT-751,NCIH2172,6.68112
ABT-751,NCIH2286,-3.25491
ABT-751,NCIH23,-0.267627
ABT-751,NCIH28,2.79105
ABT-751,NCIH441,7.22594
ABT-751,NCIH460,4.09357
ABT-751,NCIH650,6.00206
ABT-751,NCIH661,1.30839
ABT-751,NCIH727,3.09606
ABT-751,NCIH841,-1.67546
ABT-751,NOMO1,-0.277158
ABT-751,OAW42,2.61019
ABT-751,OCIAML3,-1.11983
ABT-751,OV7,7.80791
ABT-751,OV90,1.98788
ABT-751,OVCAR8,-2.58414
ABT-751,OVK18,-1.20243
ABT-751,OVMANA,7.44754
ABT-751,PANC0327,2.91389
ABT-751,PATU8902,5.05821
ABT-751,RCC10RGB,9.63836
ABT-751,RKN,-1.81892
ABT-751,RKO,-0.0484508
ABT-751,RMGI,1.79845
ABT-751,RMUGS,0.230622
ABT-751,RPMI8226,-1.48131
ABT-751,RT4,-1.18722
ABT-751,SF295,0.0314372
ABT-751,SH10TC,-0.0703877
ABT-751,SHP77,-2.93753
ABT-751,SKOV3,2.98741
ABT-751,SNGM,-4.86803
ABT-751,SNU449,3.89382
ABT-751,SNU61,3.34172
ABT-751,SNU81,1.45541
ABT-751,SNU840,5.55664
ABT-751,SNUC4,0.377601
ABT-751,SNUC5,1.16781
ABT-751,SUDHL4,0.688109
ABT-751,SUDHL5,3.01343
ABT-751,SUIT2,3.8871
ABT-751,SW403,9.76497
ABT-751,SW620,9.40614
ABT-751,THP1,-0.258115
ABT-751,TYKNU,0.241957
ABT-751,U2OS,3.86415
ABT-751,UMUC3,2.32919
ABT-751,VMRCRCW,7.40831
AFATINIB,22RV1,2.80303
AFATINIB,2313287,1.54454
AFATINIB,253J,0.28527
AFATINIB,253JBV,1.44631
AFATINIB,42MGBA,2.59555
AFATINIB,639V,2.51988
AFATINIB,647V,1.85347
AFATINIB,697,0.731579
AFATINIB,769P,0.132499
AFATINIB,786O,2.50202
AFATINIB,8505C,3.03238
AFATINIB,8MGBA,6.59089
AFATINIB,A172,2.15652
AFATINIB,A2058,3.19936
AFATINIB,A253,2.45055
AFATINIB,A2780,2.14247
AFATINIB,A375,2.58848
AFATINIB,A388,0.798574
AFATINIB,A427,5.68455
AFATINIB,A549,1.89886
AFATINIB,ABC1,4.165
AFATINIB,ACCMESO1,3.25471
AFATINIB,AGS,3.39038
AFATINIB,AM38,3.41327
AFATINIB,AML193,1.7325
AFATINIB,AMO1,1.47299
AFATINIB,ASPC1,3.47705
AFATINIB,AU565,-2.95758
AFATINIB,BC3C,2.44775
AFATINIB,BCPAP,2.70293
AFATINIB,BECKER,2.85749
AFATINIB,BFTC905,2.27621
AFATINIB,BFTC909,2.27946
AFATINIB,BHT101,2.8897
AFATINIB,BICR16,0.931855
AFATINIB,BICR31,-1.25634
AFATINIB,BICR56,-3.69843
AFATINIB,BICR6,0.778294
AFATINIB,BICR78,4.21735
AFATINIB,BL70,1.13272
AFATINIB,BPH1,-3.50037
AFATINIB,BXPC3,1.68746
AFATINIB,C2BBE1,2.37452
AFATINIB,C33A,0.198632
AFATINIB,C4I,1.92015
AFATINIB,CA922,-1.54508
AFATINIB,CADOES1,2.6275
AFATINIB,CAKI1,3.90425
AFATINIB,CAKI2,2.95362
AFATINIB,CAL12T,0.573011
AFATINIB,CAL29,1.11646
AFATINIB,CAL33,-0.165276
AFATINIB,CAL51,2.96597
AFATINIB,CAL62,2.52003
AFATINIB,CAL72,2.42643
AFATINIB,CAL78,3.24704
AFATINIB,CALU6,2.9197
AFATINIB,CAMA1,5.45498
AFATINIB,CAOV3,1.83554
AFATINIB,CAPAN1,2.80613
AFATINIB,CAS1,3.11133
AFATINIB,CASKI,2.4106
AFATINIB,CCFSTTG1,5.22297
AFATINIB,CFPAC1,2.52636
AFATINIB,CHAGOK1,4.49296
AFATINIB,CHP134,2.31953
AFATINIB,CHP212,1.99137
AFATINIB,CL11,2.88364
AFATINIB,CMLT1,2.35324
AFATINIB,COLO320,2.28406
AFATINIB,COLO678,1.1636
AFATINIB,COLO679,3.38011
AFATINIB,COLO792,1.85069
AFATINIB,COLO800,3.60808
AFATINIB,COLO824,1.89132
AFATINIB,CORL105,-4.45013
AFATINIB,CORL279,1.71297
AFATINIB,CORL311,1.97562
AFATINIB,COV362,2.00811
AFATINIB,COV434,1.68733
AFATINIB,D283MED,2.4954
AFATINIB,DANG,2.0735
AFATINIB,DAOY,2.87368
AFATINIB,DB,0.95987
AFATINIB,DBTRG05MG,4.56664
AFATINIB,DETROIT562,1.0013
AFATINIB,DKMG,2.76992
AFATINIB,DMS53,2.34005
AFATINIB,DOTC24510,1.43883
AFATINIB,ECGI10,-2.73199
AFATINIB,EFE184,4.78274
AFATINIB,EFM19,2.60493
AFATINIB,EFO21,5.41612
AFATINIB,EFO27,3.2463
AFATINIB,EJM,2.50299
AFATINIB,EKVX,0.868835
AFATINIB,EM2,2.6922
AFATINIB,EN,3.16591
AFATINIB,EOL1,0.60208
AFATINIB,EPLC272H,0.0490045
AFATINIB,ES2,3.72323
AFATINIB,ESO26,1.69021
AFATINIB,ESO51,3.46947
AFATINIB,ESS1,3.38303
AFATINIB,F36P,-0.380075
AFATINIB,FADU,-0.414187
AFATINIB,FARAGE,0.763378
AFATINIB,FLO1,1.89461
AFATINIB,FTC133,3.83148
AFATINIB,FU97,3.25073
AFATINIB,G292CLONEA141B1,3.2947
AFATINIB,G401,2.20998
AFATINIB,G402,2.25893
AFATINIB,GB1,3.48773
AFATINIB,GCT,2.73526
AFATINIB,GI1,2.64856
AFATINIB,GIMEN,3.03112
AFATINIB,GP5D,1.51066
AFATINIB,GSS,0.236059
AFATINIB,GSU,2.12346
AFATINIB,H4,2.31881
AFATINIB,HCC1187,3.05714
AFATINIB,HCC1395,3.17115
AFATINIB,HCC1419,0.881864
AFATINIB,HCC1428,3.21955
AFATINIB,HCC15,3.02898
AFATINIB,HCC1937,3.74242
AFATINIB,HCC202,-0.105686
AFATINIB,HCC33,1.46144
AFATINIB,HCC366,2.37776
AFATINIB,HCC38,3.36154
AFATINIB,HCC44,2.30426
AFATINIB,HCC56,2.11662
AFATINIB,HCC70,5.69829
AFATINIB,HCC78,1.81179
AFATINIB,HCC95,2.83272
AFATINIB,HDMYZ,2.16229
AFATINIB,HEC1,3.60739
AFATINIB,HEC151,1.51641
AFATINIB,HEC1B,0.0235305
AFATINIB,HEC251,-0.0535068
AFATINIB,HEC265,3.41155
AFATINIB,HEC50B,4.28299
AFATINIB,HEC59,2.27688
AFATINIB,HEC6,2.73346
AFATINIB,HEL,1.83256
AFATINIB,HEL9217,2.14094
AFATINIB,HEPG2,2.41535
AFATINIB,HEYA8,5.465
AFATINIB,HGC27,2.07479
AFATINIB,HLF,2.41174
AFATINIB,HMC18,2.59706
AFATINIB,HMVII,3.18515
AFATINIB,HO1U1,-0.205706
AFATINIB,HOP62,3.28842
AFATINIB,HPAFII,4.39631
AFATINIB,HS294T,2.38525
AFATINIB,HS683,2.39841
AFATINIB,HS746T,2.59829
AFATINIB,HS852T,0.693905
AFATINIB,HSC2,-0.545403
AFATINIB,HSC3,0.477498
AFATINIB,HSC4,0.6987
AFATINIB,HT,-0.144717
AFATINIB,HT1080,3.82598
AFATINIB,HT1197,3.55269
AFATINIB,HT1376,2.9086
AFATINIB,HT144,2.21656
AFATINIB,HT3,4.22267
AFATINIB,HT55,0.0854115
AFATINIB,HUCCT1,1.68711
AFATINIB,HUH1,3.39077
AFATINIB,HUH7,4.90283
AFATINIB,HUO9,1.36997
AFATINIB,HUPT3,3.48706
AFATINIB,HUPT4,-0.409405
AFATINIB,IALM,4.18937
AFATINIB,IGR1,2.70896
AFATINIB,IGR39,3.95349
AFATINIB,IGROV1,-0.766801
AFATINIB,IHH4,2.78022
AFATINIB,IM95,0.675739
AFATINIB,IMR32,2.52094
AFATINIB,IPC298,5.466
AFATINIB,ISHIKAWAHERAKLIO02ER,2.90085
AFATINIB,ISTMES1,2.29623
AFATINIB,J82,3.56106
AFATINIB,JAR,4.68316
AFATINIB,JHH1,3.1079
AFATINIB,JHH2,2.39102
AFATINIB,JHH4,2.61662
AFATINIB,JHH5,-3.39023
AFATINIB,JHH6,5.35939
AFATINIB,JHH7,3.61323
AFATINIB,JHOC5,0.905913
AFATINIB,JHOM1,3.85997
AFATINIB,JHOS2,2.04559
AFATINIB,JHOS4,2.18101
AFATINIB,JHUEM1,2.26283
AFATINIB,JHUEM7,1.34424
AFATINIB,JIMT1,2.4585
AFATINIB,JJN3,2.32576
AFATINIB,JL1,3.23829
AFATINIB,JM1,2.12108
AFATINIB,JMSU1,1.15378
AFATINIB,JURKAT,1.4958
AFATINIB,JVM2,1.29539
AFATINIB,JVM3,1.11682
AFATINIB,K029AX,3.84381
AFATINIB,K562,2.98185
AFATINIB,KALS1,3.77979
AFATINIB,KARPAS299,1.65645
AFATINIB,KARPAS422,1.64994
AFATINIB,KASUMI1,0.814072
AFATINIB,KATOIII,4.10688
AFATINIB,KCL22,2.29123
AFATINIB,KE37,0.924098
AFATINIB,KE39,-0.976478
AFATINIB,KE97,1.22359
AFATINIB,KELLY,1.85598
AFATINIB,KM12,1.94715
AFATINIB,KMBC2,0.20836
AFATINIB,KMM1,8.17251
AFATINIB,KMRC20,2.41198
AFATINIB,KMRC3,2.26527
AFATINIB,KMS26,0.582071
AFATINIB,KMS27,2.4377
AFATINIB,KNS62,3.43377
AFATINIB,KNS81,2.45326
AFATINIB,KO52,2.13339
AFATINIB,KON,5.15495
AFATINIB,KOSC2,2.42802
AFATINIB,KP2,2.88541
AFATINIB,KP3,2.16416
AFATINIB,KPL1,3.14294
AFATINIB,KPNSI9S,2.214
AFATINIB,KPNYN,2.96932
AFATINIB,KU1919,3.11773
AFATINIB,KU812,1.51195
AFATINIB,KYSE180,3.17767
AFATINIB,KYSE270,3.97704
AFATINIB,KYSE410,-0.298839
AFATINIB,KYSE450,0.660318
AFATINIB,KYSE510,5.8837
AFATINIB,KYSE520,1.53578
AFATINIB,KYSE70,3.59823
AFATINIB,L1236,1.44372
AFATINIB,L33,-0.277454
AFATINIB,L363,2.58871
AFATINIB,L428,1.85206
AFATINIB,LCLC97TM1,1.88371
AFATINIB,LK2,2.845655
AFATINIB,LMSU,4.15195
AFATINIB,LN18,2.57232
AFATINIB,LN229,3.12296
AFATINIB,LNCAPCLONEFGC,2.03412
AFATINIB,LOUNH91,1.61212
AFATINIB,LOVO,0.787251
AFATINIB,LP1,2.41054
AFATINIB,LS1034,2.88705
AFATINIB,LS123,1.7289
AFATINIB,LS180,1.72086
AFATINIB,LS411N,1.75544
AFATINIB,LU135,2.71144
AFATINIB,LU165,2.67775
AFATINIB,M059K,2.63932
AFATINIB,M07E,2.02804
AFATINIB,MC116,4.62581
AFATINIB,MCF7,3.21904
AFATINIB,MDAMB157,2.86874
AFATINIB,MDAMB231,2.31194
AFATINIB,MDAMB361,1.0102
AFATINIB,MDAMB415,3.33618
AFATINIB,MDAMB435S,3.17484
AFATINIB,MDAMB436,4.5756
AFATINIB,MDAMB453,2.07139
AFATINIB,MDST8,2.70824
AFATINIB,MELHO,2.5029
AFATINIB,MELJUSO,3.35519
AFATINIB,MFE296,3.48171
AFATINIB,MFE319,2.54984
AFATINIB,MG63,2.33098
AFATINIB,MHHES1,2.3786
AFATINIB,MHHNB11,2.88049
AFATINIB,MIAPACA2,2.99703
AFATINIB,MKN45,5.13311
AFATINIB,MKN74,1.59864
AFATINIB,MM1S,1.8323
AFATINIB,MOLM13,1.22445
AFATINIB,MORCPR,3.57143
AFATINIB,MPP89,2.61315
AFATINIB,MS751,4.72464
AFATINIB,MSTO211H,4.75903
AFATINIB,MV411,0.0499528
AFATINIB,NALM6,1.2585
AFATINIB,NAMALWA,1.61868
AFATINIB,NB1,2.94682
AFATINIB,NB4,1.68729
AFATINIB,NCCIT,2.45971
AFATINIB,NCIH1048,3.15756
AFATINIB,NCIH1092,2.26044
AFATINIB,NCIH1155,2.36853
AFATINIB,NCIH1299,2.59617
AFATINIB,NCIH1355,3.13343
AFATINIB,NCIH1373,2.83352
AFATINIB,NCIH1437,6.34201
AFATINIB,NCIH1568,0.592493
AFATINIB,NCIH1573,0.938017
AFATINIB,NCIH1581,2.76972
AFATINIB,NCIH1648,-0.158605
AFATINIB,NCIH1650,5.34868
AFATINIB,NCIH1666,-3.19784
AFATINIB,NCIH1693,1.27677
AFATINIB,NCIH1694,1.86793
AFATINIB,NCIH1792,3.10012
AFATINIB,NCIH1793,3.43913
AFATINIB,NCIH1836,4.55884
AFATINIB,NCIH1915,2.27163
AFATINIB,NCIH1944,2.26937
AFATINIB,NCIH1975,-1.65218
AFATINIB,NCIH2009,2.26903
AFATINIB,NCIH2023,2.55635
AFATINIB,NCIH2030,3.86075
AFATINIB,NCIH2052,3.15526
AFATINIB,NCIH2087,2.50826
AFATINIB,NCIH209,0.95447
AFATINIB,NCIH211,1.69374
AFATINIB,NCIH2110,2.04555
AFATINIB,NCIH2122,1.68425
AFATINIB,NCIH2170,-4.10211
AFATINIB,NCIH2171,1.48788
AFATINIB,NCIH2172,5.2718
AFATINIB,NCIH226,4.05385
AFATINIB,NCIH2286,8.3482
AFATINIB,NCIH23,2.69867
AFATINIB,NCIH2452,2.1755
AFATINIB,NCIH28,4.30635
AFATINIB,NCIH292,-1.96376
AFATINIB,NCIH3122,2.85139
AFATINIB,NCIH322,-3.45985
AFATINIB,NCIH358,-0.254907
AFATINIB,NCIH441,3.25699
AFATINIB,NCIH446,1.90695
AFATINIB,NCIH460,5.15957
AFATINIB,NCIH520,2.84153
AFATINIB,NCIH526,2.27271
AFATINIB,NCIH650,3.25156
AFATINIB,NCIH661,1.87109
AFATINIB,NCIH716,3.39596
AFATINIB,NCIH727,2.82017
AFATINIB,NCIH841,2.20287
AFATINIB,NCIN87,-7.1304
AFATINIB,NH12,2.30998
AFATINIB,NH6,2.21281
AFATINIB,NMCG1,5.13903
AFATINIB,NOMO1,1.80683
AFATINIB,OAW28,3.15843
AFATINIB,OAW42,3.55357
AFATINIB,OCIAML2,1.82712
AFATINIB,OCIAML3,1.2219
AFATINIB,OE21,-2.98013
AFATINIB,ONCODG1,-0.202156
AFATINIB,ONS76,2.9672
AFATINIB,OPM2,3.09991
AFATINIB,OSC20,4.72653
AFATINIB,OSRC2,3.55367
AFATINIB,OUMS23,2.68382
AFATINIB,OV7,2.93944
AFATINIB,OV90,3.6196
AFATINIB,OVCAR8,3.03005
AFATINIB,OVISE,3.76815
AFATINIB,OVK18,4.51313
AFATINIB,OVTOKO,3.2672
AFATINIB,P30OHK,1.73733
AFATINIB,P31FUJ,1.52919
AFATINIB,PA1,2.00901
AFATINIB,PANC0327,2.43046
AFATINIB,PANC0403,4.43622
AFATINIB,PANC0813,2.55407
AFATINIB,PANC1005,3.00749
AFATINIB,PATU8902,3.97368
AFATINIB,PATU8988S,2.52266
AFATINIB,PATU8988T,2.6265
AFATINIB,PC14,-8.13332
AFATINIB,PC3,3.87755
AFATINIB,PECAPJ15,0.657827
AFATINIB,PECAPJ34CLONEC12,-4.32
AFATINIB,PECAPJ41CLONED2,-1.15432
AFATINIB,PECAPJ49,-0.553789
AFATINIB,PEER,0.169575
AFATINIB,PEO1,6.81796
AFATINIB,PFSK1,2.39231
AFATINIB,PK45H,2.6795
AFATINIB,PLCPRF5,2.7829
AFATINIB,RAJI,5.75024
AFATINIB,RCC10RGB,2.68221
AFATINIB,RCHACV,4.58278
AFATINIB,RD,2.64007
AFATINIB,REH,5.55297
AFATINIB,RERFGC1B,3.7767
AFATINIB,RERFLCAD1,3.61839
AFATINIB,RERFLCAD2,2.91476
AFATINIB,RERFLCSQ1,-0.405314
AFATINIB,RH30,2.34701
AFATINIB,RH41,1.39932
AFATINIB,RKN,4.06073
AFATINIB,RKO,2.46183
AFATINIB,RL,2.46065
AFATINIB,RL952,1.17854
AFATINIB,RMGI,0.142299
AFATINIB,RPMI7951,2.53753
AFATINIB,RPMI8226,2.28514
AFATINIB,RT112,3.04564
AFATINIB,RT4,2.20493
AFATINIB,SAOS2,2.55053
AFATINIB,SAS,0.602918
AFATINIB,SCABER,-3.77589
AFATINIB,SCC3,1.76382
AFATINIB,SEM,-0.478414
AFATINIB,SET2,1.01686
AFATINIB,SF126,3.8893
AFATINIB,SF268,2.55333
AFATINIB,SF295,3.76671
AFATINIB,SF539,2.32855
AFATINIB,SH10TC,4.21206
AFATINIB,SHP77,1.78076
AFATINIB,SIHA,4.18052
AFATINIB,SIMA,2.86574
AFATINIB,SISO,3.78703
AFATINIB,SKBR3,-7.11651
AFATINIB,SKGIIIA,4.07977
AFATINIB,SKGT2,-6.78809
AFATINIB,SKGT4,2.71283
AFATINIB,SKHEP1,3.87919
AFATINIB,SKMEL2,3.52644
AFATINIB,SKMEL24,2.85767
AFATINIB,SKMEL30,5.26725
AFATINIB,SKMES1,0.856665
AFATINIB,SKMM2,4.2513
AFATINIB,SKN,3.16685
AFATINIB,SKNAS,2.00564
AFATINIB,SKNBE2,1.25088
AFATINIB,SKNDZ,1.9134
AFATINIB,SKNFI,1.94507
AFATINIB,SKOV3,3.42719
AFATINIB,SKUT1,3.009
AFATINIB,SNGM,2.28106
AFATINIB,SNU1,2.14106
AFATINIB,SNU1033,0.609022
AFATINIB,SNU1041,2.14786
AFATINIB,SNU1066,2.95093
AFATINIB,SNU1076,-2.79826
AFATINIB,SNU1077,3.29948
AFATINIB,SNU1079,-4.84852
AFATINIB,SNU182,-0.570535
AFATINIB,SNU201,2.57711
AFATINIB,SNU213,0.598418
AFATINIB,SNU216,-3.31209
AFATINIB,SNU245,0.685076
AFATINIB,SNU308,0.161036
AFATINIB,SNU387,3.27063
AFATINIB,SNU423,2.74103
AFATINIB,SNU449,2.93937
AFATINIB,SNU46,2.02817
AFATINIB,SNU475,4.24954
AFATINIB,SNU478,-3.27874
AFATINIB,SNU5,2.38552
AFATINIB,SNU601,2.42679
AFATINIB,SNU61,1.5885
AFATINIB,SNU626,1.6495
AFATINIB,SNU668,1.12176
AFATINIB,SNU685,3.51405
AFATINIB,SNU719,1.26317
AFATINIB,SNU738,3.68446
AFATINIB,SNU761,2.24725
AFATINIB,SNU8,1.7461
AFATINIB,SNU81,3.64583
AFATINIB,SNU840,-1.91845
AFATINIB,SNUC4,-0.929396
AFATINIB,SNUC5,2.20613
AFATINIB,ST486,1.18599
AFATINIB,SUDHL1,1.27521
AFATINIB,SUDHL4,5.22205
AFATINIB,SUDHL5,0.783286
AFATINIB,SUDHL8,2.57888
AFATINIB,SUIT2,4.14812
AFATINIB,SUPM2,1.71515
AFATINIB,SUPT1,1.35281
AFATINIB,SW1088,3.342
AFATINIB,SW1271,3.46247
AFATINIB,SW13,-1.70279
AFATINIB,SW1463,-0.251718
AFATINIB,SW156,3.50934
AFATINIB,SW1573,5.158
AFATINIB,SW1990,2.90998
AFATINIB,SW579,2.01947
AFATINIB,SW620,2.57138
AFATINIB,SW626,4.1775
AFATINIB,SW837,2.51648
AFATINIB,SW954,2.55335
AFATINIB,SW982,2.64855
AFATINIB,T24,4.18816
AFATINIB,T47D,2.89953
AFATINIB,TC71,2.68476
AFATINIB,TCCPAN2,5.10129
AFATINIB,TE4,-5.92695
AFATINIB,TE6,-0.900278
AFATINIB,TE8,3.9527
AFATINIB,TE9,2.5629
AFATINIB,TF1,1.59182
AFATINIB,TGW,3.0899
AFATINIB,THP1,1.06692
AFATINIB,TM31,3.62634
AFATINIB,TOV112D,3.51911
AFATINIB,TOV21G,2.99947
AFATINIB,TT2609C02,3.36046
AFATINIB,TTC709,2.55311
AFATINIB,TUHR4TKB,2.4205
AFATINIB,TYKNU,3.08816
AFATINIB,U118MG,3.25266
AFATINIB,U251MG,2.9021
AFATINIB,U2OS,2.62344
AFATINIB,UACC257,3.41268
AFATINIB,UACC62,2.91641
AFATINIB,UACC893,-3.86658
AFATINIB,UBLC1,-6.77606
AFATINIB,UMUC1,3.39067
AFATINIB,UMUC3,4.36884
AFATINIB,UWB1289,3.22638
AFATINIB,VAESBJ,3.16325
AFATINIB,VCAP,3.36982
AFATINIB,VMCUB1,-1.08028
AFATINIB,VMRCRCW,2.50549
AFATINIB,WM115,3.36928
AFATINIB,WM793,2.53782
AFATINIB,WM88,3.57099
AFATINIB,WM983B,3.67488
AFATINIB,WSUNHL,-0.0404994
AFATINIB,YAPC,3.42659
AFATINIB,YD15,-2.81338
AFATINIB,YD38,-3.85876
AFATINIB,YH13,2.82189
AFATINIB,YKG1,3.96671
AFATINIB,ZR751,2.79599
AFURESERTIB,22RV1,2.11144
AFURESERTIB,2313287,1.40029
AFURESERTIB,42MGBA,1.2977
AFURESERTIB,639V,4.97438
AFURESERTIB,647V,3.88188
AFURESERTIB,697,2.09095
AFURESERTIB,769P,3.4679
AFURESERTIB,786O,0.247015
