cell_line_id,split
HCC1419,train
HCC1428,train
HCC15,train
HCC1806,test
HCC1937,train
HCC1954,test
HCC202,train
HCC33,train
HCC366,train
HCC38,train
HCC44,train
HCC56,train
HCC70,train
HCC78,train
HCC827,test
HCC95,train
HCT116,test
HCT15,test
HDMYZ,train
HEC1,train
HEC151,train
HEC1B,train
HEC251,train
HEC265,train
HEC50B,train
HEC59,train
HEC6,train
HEL,train
HEL9217,train
HEPG2,train
HEYA8,train
HGC27,train
HLF,train
HMC18,train
HMVII,train
HO1U1,train
HOP62,train
HPAFII,train
HS294T,train
HS578T,test
HS683,train
HS695T,train
HS746T,train
HS766T,test
HS852T,train
HS936T,train
HS944T,train
HSC2,train
HSC3,train
HSC4,train
HT,train
HT1080,train
HT115,test
HT1197,train
HT1376,train
HT144,train
HT29,test
HT3,train
HT55,train
HUCCT1,train
HUG1N,test
HUH1,train
HUH6,train
HUH7,train
HUNS1,train
HUO9,train
HUPT3,train
HUPT4,train
IALM,train
IGR1,train
IGR39,train
IGROV1,train
IHH4,train
IM95,train
IMR32,train
IPC298,train
ISHIKAWAHERAKLIO02ER,train
ISTMES1,train
ISTMES2,train
J82,train
JAR,train
JEG3,test
JHH1,train
JHH2,train
JHH4,train
JHH5,train
JHH6,train
JHH7,train
JHOC5,train
JHOM1,train
JHOS2,train
JHOS4,train
JHUEM1,train
JHUEM7,train
JIMT1,train
JJN3,train
JL1,train
JM1,train
JMSU1,train
JURKAT,train
JURLMK1,test
JVM2,train
JVM3,train
K029AX,train
K562,train
KALS1,train
KARPAS299,train
KARPAS422,train
KASUMI1,train
KATOIII,train
KCIMOH1,train
KCL22,train
KE37,train
KE39,train
KE97,train
KELLY,train
KIJK,train
KLE,test
KM12,train
KMBC2,train
KMM1,train
KMRC1,test
KMRC2,test
KMRC20,train
KMRC3,train
KMS11,test
KMS26,train
KMS27,train
KMS34,test
KNS42,test
KNS60,train
KNS62,train
KNS81,train
KO52,train
KON,train
KOSC2,train
KP2,train
KP3,train
KP4,test
KPL1,train
KPNRTBM1,test
KPNSI9S,train
KPNYN,train
KU1919,train
KU812,train
KURAMOCHI,test
KYM1,test
KYO1,train
KYSE140,test
KYSE150,test
KYSE180,train
KYSE270,train
KYSE30,test
KYSE410,train
KYSE450,train
KYSE510,train
KYSE520,train
KYSE70,train
L1236,train
L33,train
L363,train
L428,train
LCLC103H,test
LCLC97TM1,train
LI7,train
LK2,train
LMSU,train
LN18,train
LN229,train
LNCAPCLONEFGC,train
LOUNH91,train
LOVO,train
LP1,train
LS1034,train
LS123,train
LS180,train
LS411N,train
LS513,test
LU134A,test
LU135,train
LU165,train
LU65,test
LU99,test
LUDLU1,test
LXF289,test
M059K,train
M07E,train
MALME3M,test
MC116,train
MCAS,test
MCF7,train
MDAMB157,train
MDAMB231,train
MDAMB361,train
MDAMB415,train
MDAMB435S,train
MDAMB436,train
MDAMB453,train
MDAMB468,test
MDST8,train
MEC1,test
MELHO,train
MELJUSO,train
MFE280,test
MFE296,train
MFE319,train
MFM223,train
MG63,train
MHHES1,train
MHHNB11,train
MIAPACA2,train
MJ,train
MKN45,train
MKN74,train
MM1S,train
MOLM13,train
MONOMAC1,train
MORCPR,train
MPP89,train
MS751,train
MSTO211H,train
MV411,train
NALM6,train
NAMALWA,train
NB1,train
NB4,train
NCCIT,train
NCIH1048,train
NCIH1092,train
NCIH1155,train
NCIH1299,train
NCIH1355,train
NCIH1373,train
NCIH1437,train
NCIH1568,train
NCIH1573,train
NCIH1581,train
NCIH1648,train
NCIH1650,train
NCIH1666,train
NCIH1693,train
NCIH1694,train
NCIH1703,test
NCIH1792,train
NCIH1793,train
NCIH1836,train
NCIH1869,test
NCIH1915,train
NCIH1944,train
NCIH1975,train
NCIH2009,train
NCIH2023,train
NCIH2030,train
NCIH2052,train
NCIH2087,train
NCIH209,train
NCIH211,train
NCIH2110,train
NCIH2122,train
NCIH2126,test
NCIH2170,train
NCIH2171,train
NCIH2172,train
NCIH226,train
NCIH2286,train
NCIH2291,test
NCIH23,train
NCIH2452,train
NCIH28,train
NCIH292,train
NCIH3122,train
NCIH322,train
NCIH358,train
NCIH441,train
NCIH446,train
NCIH460,train
NCIH520,train
NCIH522,test
NCIH526,train
NCIH647,test
NCIH650,train
NCIH661,train
NCIH716,train
NCIH727,train
NCIH747,test
NCIH82,test
NCIH838,test
NCIH841,train
NCIN87,train
NCO2,train
NH12,train
NH6,train
NMCG1,train
NOMO1,train
NUGC3,test
OAW28,train
OAW42,train
OC314,test
OC316,train
OCIAML2,train
OCIAML3,train
OCILY19,test
OCUM1,test
OE21,train
OE33,test
ONCODG1,train
ONS76,train
OPM2,train
OSC19,test
OSC20,train
OSRC2,train
OUMS23,train
OV7,train
OV90,train
OVCAR5,test
OVCAR8,train
OVISE,train
OVK18,train
OVMANA,train
OVTOKO,train
P30OHK,train
P31FUJ,train
PA1,train
PANC0203,test
PANC0327,train
PANC0403,train
PANC0504,test
PANC0813,train
PANC1,train
PANC1005,train
PATU8902,train
PATU8988S,train
PATU8988T,train
PC14,train
PC3,train
PECAPJ15,train
PECAPJ34CLONEC12,train
PECAPJ41CLONED2,train
PECAPJ49,train
PEER,train
PEO1,train
PF382,test
PFSK1,train
PK1,train
PK45H,train
PLCPRF5,train
PSN1,test
RAJI,train
RCC10RGB,train
RCHACV,train
RD,train
RDES,test
REH,train
RERFGC1B,train
RERFLCAD1,train
RERFLCAD2,train
RERFLCSQ1,train
RH30,train
RH41,train
RI1,train
RKN,train
RKO,train
RL,train
RL952,train
RMGI,train
RMUGS,train
RPMI7951,train
RPMI8226,train
RS411,test
RT112,train
RT4,train
RVH421,test
SAOS2,train
SAS,train
SCABER,train
SCC25,test
SCC3,train
SCC4,test
SCC9,test
SEM,train
SET2,train
SF126,train
SF268,train
SF295,train
SF539,train
SH10TC,train
SH4,test
SHP77,train
SIHA,train
SIMA,train
SISO,train
SJSA1,test
SKBR3,train
SKES1,test
SKGIIIA,train
SKGT2,train
SKGT4,train
SKHEP1,train
SKLMS1,test
SKM1,test
SKMEL2,train
SKMEL24,train
SKMEL30,train
SKMES1,train
SKMM2,train
SKN,train
SKNAS,train
SKNBE2,train
SKNDZ,train
SKNFI,train
SKNMC,test
SKNSH,test
SKOV3,train
SKPNDW,test
SKUT1,train
SNB75,test
SNGM,train
SNU1,train
SNU1033,train
SNU1041,train
SNU1066,train
SNU1076,train
SNU1077,train
SNU1079,train
SNU1105,test
SNU1196,test
SNU16,test
SNU182,train
SNU201,train
SNU213,train
SNU216,train
SNU245,train
SNU308,train
SNU387,train
SNU398,test
SNU410,test
SNU423,train
SNU449,train
SNU46,train
SNU475,train
SNU478,train
SNU5,train
SNU503,test
SNU601,train
SNU61,train
SNU620,train
SNU626,train
SNU668,train
SNU685,train
SNU719,train
SNU738,train
SNU761,train
SNU8,train
SNU81,train
SNU840,train
SNU869,test
SNU886,train
SNUC1,test
SNUC4,train
SNUC5,train
ST486,train
SU8686,test
SUDHL1,train
SUDHL10,test
SUDHL4,train
SUDHL5,train
SUDHL8,train
SUIT2,train
SUPM2,train
SUPT1,train
SW1088,train
SW1116,test
SW1271,train
SW13,train
SW1463,train
SW156,train
SW1573,train
SW1990,train
SW403,train
SW48,test
SW579,train
SW620,train
SW626,train
SW756,test
SW837,train
SW954,train
SW982,train
T24,train
T47D,train
T84,test
T98G,test
TC71,train
TCCPAN2,train
TCCSUP,test
TE1,test
TE10,test
TE11,test
TE4,train
TE5,test
TE6,train
TE8,train
TE9,train
TEN,train
TF1,train
TGBC1TKB,test
TGW,train
THP1,train
TM31,train
TOV112D,train
TOV21G,train
TT2609C02,train
TTC709,train
TUHR10TKB,test
TUHR14TKB,test
TUHR4TKB,train
TYKNU,train
U118MG,train
U251MG,train
U2OS,train
U937,test
UACC257,train
UACC62,train
UACC893,train
UBLC1,train
UMUC1,train
UMUC3,train
UWB1289,train
VAESBJ,train
VCAP,train
VMCUB1,train
VMRCRCW,train
WM115,train
WM1799,test
WM2664,test
WM793,train
WM88,train
WM983B,train
WSUNHL,train
YAPC,train
YD15,train
YD38,train
YD8,test
YH13,train
YKG1,train
ZR751,train
