ID,Age_weeks,Date,Time_assayed,Time_assayed_fraction,Time_assayed_hours,Weight,GS1,GS2,GS3,GS4,GS5,Max_GS,Species,Sex,Diet,Eclosion_weight,FW_length,Longevity
HL13,5,2022-05-13,12:45:00,0.5313,12.75,0.194,1.068,3.394,1.262,2.7,2.099,3.394,Hecale,M,PF,0.286,40,81
HL5,5,2022-05-13,12:45:00,0.5313,12.75,0.178,0.577,0.729,1.361,1.136,1.422,1.422,Hecale,M,PF,0.211,40,83
HL12,5,2022-05-13,12:45:00,0.5313,12.75,0.125,1.566,1.628,1.671,1.231,1.605,1.671,Hecale,M,PF,0.134,37,76
HL11,5,2022-05-13,13:44:00,0.5722,13.73,0.264,1.829,3.026,1.966,2.55,2.106,3.026,Hecale,F,PF,0.31,43,55
HL1,9,2022-05-13,13:44:00,0.5722,13.73,0.151,1.545,1.887,1.536,2.407,1.836,2.407,Hecale,F,PF,0.142,37,119
HL10,5,2022-05-13,13:44:00,0.5722,13.73,0.193,1.193,2.904,2.111,1.737,3.914,3.914,Hecale,F,PF,0.203,39,41
HL9,5,2022-05-13,13:44:00,0.5722,13.73,0.175,0.711,1.21,0.381,1.876,0.539,1.876,Hecale,F,PF,0.189,41,52
HL8,5,2022-05-13,13:44:00,0.5722,13.73,0.186,1.719,2.851,2.6,2.288,2.247,2.851,Hecale,F,PF,0.179,40,77
HL6,5,2022-05-13,13:44:00,0.5722,13.73,0.214,1.305,2.515,2.195,1.108,1.022,2.515,Hecale,F,PF,0.228,43,50
HL54,1,2022-05-13,13:44:00,0.5722,13.73,0.174,2.158,1.485,1.039,1.071,2.15,2.158,Hecale,F,PD,0.217,41,29
HL7,5,2022-05-13,13:44:00,0.5722,13.73,0.199,2.529,2.793,2.714,2.613,1.771,2.793,Hecale,F,PF,0.182,40,119
HL14,5,2022-05-16,12:33:00,0.5229,12.55,0.184,2.174,2.835,1.725,2.119,1.719,2.835,Hecale,F,PF,0.213,40,63
HL15,5,2022-05-16,12:33:00,0.5229,12.55,0.24,2.327,1.545,1.281,1.191,1.179,2.327,Hecale,M,PF,0.27,47,86
HL16,5,2022-05-16,12:33:00,0.5229,12.55,0.224,1.376,2.199,1.716,2.428,2.124,2.428,Hecale,F,PF,0.118,40,59
HL36,3,2022-05-16,12:33:00,0.5229,12.55,0.231,1.244,1.191,0.989,1.224,0.831,1.244,Hecale,F,PD,0.252,44,32
HL55,1,2022-05-16,12:33:00,0.5229,12.55,0.147,0.62,1.115,0.546,1.268,0.593,1.268,Hecale,M,PD,0.168,40,59
HL2,9,2022-05-18,12:30:00,0.5208,12.5,0.135,2.095,1.907,1.216,1.152,1.188,2.095,Hecale,F,PF,0.154,37,69
HL17,5,2022-05-18,12:30:00,0.5208,12.5,0.134,1.12,1.066,0.941,1.698,1.212,1.698,Hecale,M,PF,0.171,39,77
HL18,5,2022-05-18,12:30:00,0.5208,12.5,0.172,2.099,1.259,0.779,0.608,1.114,2.099,Hecale,M,PF,0.192,40,77
HL19,5,2022-05-18,12:30:00,0.5208,12.5,0.16,1.103,1.205,1.016,1.004,1.535,1.535,Hecale,M,PF,0.191,40,54
HL38,3,2022-05-18,12:30:00,0.5208,12.5,0.27,2.338,2.445,2.351,2.658,1.881,2.658,Hecale,F,PD,0.264,45,76
HL40,3,2022-05-18,12:30:00,0.5208,12.5,0.171,2.196,3.575,2.236,1.9,1.667,3.575,Hecale,M,PD,0.204,44,38
HL45,3,2022-05-18,12:30:00,0.5208,12.5,0.299,0.916,1.677,1.296,1.318,1.198,1.677,Hecale,F,PD,0.248,45,106
HL21,5,2022-05-20,12:01:00,0.5007,12.02,0.27,1.711,1.936,2.413,1.097,1.485,2.413,Hecale,M,PF,0.247,46,96
HL25,5,2022-05-20,12:01:00,0.5007,12.02,0.131,0.409,0.766,1.118,0.999,0.418,1.118,Hecale,M,PD,0.162,39,47
HL27,5,2022-05-20,12:01:00,0.5007,12.02,0.125,0.638,1.0,1.309,1.079,0.936,1.309,Hecale,F,PD,0.145,37,52
HL24,5,2022-05-20,12:01:00,0.5007,12.02,0.18,1.294,1.095,1.404,1.246,1.59,1.59,Hecale,F,PF,0.166,40,112
HL44,3,2022-05-20,12:01:00,0.5007,12.02,0.147,2.064,0.857,1.084,1.327,1.516,2.064,Hecale,M,PD,0.183,40,21
HL47,3,2022-05-20,12:01:00,0.5007,12.02,0.127,4.632,3.987,1.493,2.18,2.959,4.632,Hecale,F,PD,0.289,40,74
HL48,3,2022-05-20,12:01:00,0.5007,12.02,0.125,0.944,0.704,1.233,1.126,0.785,1.233,Hecale,F,PD,0.135,33,40
HL50,3,2022-05-20,12:01:00,0.5007,12.02,0.216,1.989,1.477,1.232,1.408,1.504,1.989,Hecale,M,PD,0.303,45,66
HL32,5,2022-05-23,13:45:00,0.5729,13.75,0.158,1.95,1.08,0.85,1.665,1.303,1.95,Hecale,F,PD,0.181,41,57
HL52,3,2022-05-23,13:45:00,0.5729,13.75,0.178,2.709,0.765,1.226,1.095,1.174,2.709,Hecale,M,PD,0.208,44,38
HL31,5,2022-05-23,13:45:00,0.5729,13.75,0.174,1.384,0.947,0.857,0.583,0.5,1.384,Hecale,F,PD,0.181,40,42
HL4,7,2022-05-23,13:45:00,0.5729,13.75,0.212,1.062,1.199,0.804,1.094,0.801,1.199,Hecale,F,PF,0.284,39,87
DL3,1,2022-05-23,13:45:00,0.5729,13.75,0.206,0.88,1.273,1.33,1.103,1.178,1.33,Dryas,F,PF,0.186,41,7
DL1,1,2022-05-23,13:45:00,0.5729,13.75,0.181,0.681,0.354,0.444,0.871,0.766,0.871,Dryas,M,PF,0.22,41,12
HL33,5,2022-05-25,12:45:00,0.5313,12.75,0.227,1.732,2.352,2.107,0.462,1.614,2.352,Hecale,M,PF,0.232,43,78
HL35,5,2022-05-25,12:45:00,0.5313,12.75,0.161,0.997,0.947,1.021,0.868,1.153,1.153,Hecale,F,PD,0.164,40,76
DL5,1,2022-05-25,12:45:00,0.5313,12.75,0.159,0.783,1.389,0.918,2.198,0.62,2.198,Dryas,F,PD,0.173,50,22
DL4,1,2022-05-25,12:45:00,0.5313,12.75,0.236,0.403,0.439,1.213,0.638,0.418,1.213,Dryas,F,PD,0.252,44,22
HL13,7,2022-05-27,13:30:00,0.5625,13.5,0.202,0.991,2.266,0.948,2.675,1.905,2.675,Hecale,M,PF,0.286,40,81
HL12,7,2022-05-27,13:30:00,0.5625,13.5,0.132,1.105,1.953,1.507,1.229,2.04,2.04,Hecale,M,PF,0.134,37,76
HL5,7,2022-05-27,13:30:00,0.5625,13.5,0.19,2.071,1.923,1.755,2.305,2.143,2.305,Hecale,M,PF,0.211,40,83
HL9,7,2022-05-27,13:30:00,0.5625,13.5,0.16,1.262,0.677,0.96,0.588,1.053,1.262,Hecale,F,PF,0.189,41,52
HL8,7,2022-05-27,13:30:00,0.5625,13.5,0.165,2.378,1.838,0.848,0.814,1.504,2.378,Hecale,F,PF,0.179,40,77
HL11,7,2022-05-27,13:30:00,0.5625,13.5,0.215,1.062,1.327,1.187,1.347,1.952,1.952,Hecale,F,PF,0.31,43,55
HL7,7,2022-05-27,13:30:00,0.5625,13.5,0.201,1.313,2.692,0.769,1.373,1.887,2.692,Hecale,F,PF,0.182,40,119
HL54,3,2022-05-27,13:30:00,0.5625,13.5,0.2,2.371,2.207,2.062,2.788,2.093,2.788,Hecale,F,PD,0.217,41,29
HL55,3,2022-05-30,12:24:00,0.5167,12.4,0.144,1.651,1.197,0.937,1.515,1.164,1.651,Hecale,M,PD,0.168,40,59
HL15,7,2022-05-30,12:24:00,0.5167,12.4,0.258,1.364,2.2,2.302,2.042,2.937,2.937,Hecale,M,PF,0.27,47,86
HL14,7,2022-05-30,12:55:00,0.5382,12.92,0.19,0.624,1.224,0.923,0.565,0.818,1.224,Hecale,F,PF,0.213,40,63
HL16,7,2022-05-30,12:55:00,0.5382,12.92,0.202,0.906,1.827,1.178,1.397,0.883,1.827,Hecale,F,PF,0.118,40,59
HL1,11,2022-05-30,12:55:00,0.5382,12.92,0.156,2.067,1.172,1.119,1.128,0.692,2.067,Hecale,F,PF,0.142,37,119
DL7,1,2022-06-01,13:10:00,0.5486,13.17,0.144,1.171,0.777,0.629,0.341,0.375,1.171,Dryas,M,PF,0.164,41,27
HL59,1,2022-06-01,13:10:00,0.5486,13.17,0.221,0.657,0.645,0.855,0.337,0.265,0.855,Hecale,M,PD,0.279,44,41
HL38,5,2022-06-01,13:10:00,0.5486,13.17,0.276,2.084,0.767,0.971,2.07,1.251,2.084,Hecale,F,PD,0.264,45,76
HL40,5,2022-06-01,13:10:00,0.5486,13.17,0.157,1.394,1.797,0.755,3.092,1.936,3.092,Hecale,M,PD,0.204,44,38
HL45,5,2022-06-01,13:10:00,0.5486,13.17,0.283,0.747,1.124,0.732,2.206,1.236,2.206,Hecale,F,PD,0.248,45,106
HL17,7,2022-06-01,13:10:00,0.5486,13.17,0.146,1.503,1.053,1.221,1.301,1.578,1.578,Hecale,M,PF,0.171,39,77
HL18,7,2022-06-01,13:10:00,0.5486,13.17,0.166,1.495,0.988,0.823,1.867,2.466,2.466,Hecale,M,PF,0.192,40,77
HL19,7,2022-06-01,13:10:00,0.5486,13.17,0.163,1.135,0.926,1.023,0.567,0.925,1.135,Hecale,M,PF,0.191,40,54
HL48,5,2022-06-03,13:02:00,0.5431,13.03,0.13,1.922,0.925,0.895,1.522,1.326,1.922,Hecale,F,PD,0.135,33,40
DL9,1,2022-06-03,13:02:00,0.5431,13.03,0.209,1.054,1.3,1.135,0.956,0.681,1.3,Dryas,F,PF,0.214,42,8
HL27,7,2022-06-03,13:02:00,0.5431,13.03,0.115,0.953,1.379,1.089,1.565,0.812,1.565,Hecale,F,PD,0.145,37,52
HL47,5,2022-06-03,13:02:00,0.5431,13.03,0.23,3.369,2.849,1.737,2.544,2.479,3.369,Hecale,F,PD,0.289,40,74
HL24,7,2022-06-03,13:02:00,0.5431,13.03,0.174,1.679,1.608,1.649,1.994,2.039,2.039,Hecale,F,PF,0.166,40,112
DL10,1,2022-06-03,13:02:00,0.5431,13.03,0.214,1.524,1.73,1.065,1.43,1.108,1.73,Dryas,M,PF,0.239,42,24
HL50,5,2022-06-03,13:02:00,0.5431,13.03,0.207,1.936,1.961,1.714,1.519,1.176,1.961,Hecale,M,PD,0.303,45,66
HL21,7,2022-06-03,13:02:00,0.5431,13.03,0.218,2.525,2.875,2.994,2.547,2.257,2.994,Hecale,M,PF,0.247,46,96
DL11,1,2022-06-03,13:02:00,0.5431,13.03,0.148,0.991,1.415,1.825,1.16,0.947,1.825,Dryas,M,PF,0.2,43,26
HL32,7,2022-06-06,13:24:00,0.5583,13.4,0.142,1.631,1.442,1.389,1.619,1.274,1.631,Hecale,F,PD,0.181,41,57
HL52,5,2022-06-06,13:24:00,0.5583,13.4,0.158,2.365,1.916,1.284,2.08,1.1,2.365,Hecale,M,PD,0.208,44,38
HL60,1,2022-06-06,13:24:00,0.5583,13.4,0.207,0.856,1.615,1.168,1.297,1.827,1.827,Hecale,F,PF,0.238,45,71
HL61,1,2022-06-06,13:24:00,0.5583,13.4,0.207,1.927,3.194,3.123,2.213,1.077,3.194,Hecale,F,PD,0.406,43,36
HL4,9,2022-06-06,13:24:00,0.5583,13.4,0.224,1.445,1.091,1.611,2.97,0.898,2.97,Hecale,F,PF,0.284,39,87
HL35,7,2022-06-08,12:46:00,0.5319,12.77,0.156,2.487,1.568,2.988,1.639,1.927,2.988,Hecale,F,PD,0.164,40,76
HL33,7,2022-06-08,12:46:00,0.5319,12.77,0.211,1.844,3.223,1.268,1.358,2.055,3.223,Hecale,M,PF,0.232,43,78
DL4,3,2022-06-08,12:46:00,0.5319,12.77,0.234,0.566,1.891,1.339,1.533,1.387,1.891,Dryas,F,PD,0.252,44,22
HL1,13,2022-06-10,13:53:00,0.5785,13.88,0.152,0.906,1.063,1.157,1.622,1.051,1.622,Hecale,F,PF,0.142,37,119
HL8,9,2022-06-10,13:53:00,0.5785,13.88,0.194,2.654,1.691,2.252,1.348,1.649,2.654,Hecale,F,PF,0.179,40,77
HL7,9,2022-06-10,13:53:00,0.5785,13.88,0.176,1.021,2.484,1.972,4.312,2.067,4.312,Hecale,F,PF,0.182,40,119
HL12,9,2022-06-10,13:53:00,0.5785,13.88,0.12,1.499,1.491,1.272,1.615,0.71,1.615,Hecale,M,PF,0.134,37,76
HL5,9,2022-06-10,13:53:00,0.5785,13.88,0.161,0.628,1.011,0.787,1.258,1.017,1.258,Hecale,M,PF,0.211,40,83
HL13,9,2022-06-10,13:53:00,0.5785,13.88,0.186,0.687,1.091,0.593,1.447,0.84,1.447,Hecale,M,PF,0.286,40,81
HL55,5,2022-06-13,12:53:00,0.5368,12.88,0.122,1.2,1.62,0.259,0.405,0.838,1.62,Hecale,M,PD,0.168,40,59
HL62,1,2022-06-13,12:53:00,0.5368,12.88,0.181,1.122,0.909,1.32,1.132,0.359,1.32,Hecale,M,PD,0.225,43,65
HL63,1,2022-06-13,12:53:00,0.5368,12.88,0.216,1.758,0.494,0.393,0.393,1.25,1.758,Hecale,F,PD,0.236,45,63
HL15,9,2022-06-13,12:53:00,0.5368,12.88,0.226,1.413,1.488,1.76,1.62,1.827,1.827,Hecale,M,PF,0.27,47,86
DL13,1,2022-06-15,12:17:00,0.5118,12.28,0.194,1.76,1.402,1.787,0.484,0.605,1.787,Dryas,F,PD,0.248,47,20
DL14,1,2022-06-15,12:17:00,0.5118,12.28,0.156,0.794,0.615,0.578,0.631,1.126,1.126,Dryas,M,PD,0.213,45,22
HL17,9,2022-06-15,12:17:00,0.5118,12.28,0.138,2.01,1.367,0.93,1.356,1.556,2.01,Hecale,M,PF,0.171,39,77
DL7,3,2022-06-15,12:17:00,0.5118,12.28,0.121,2.871,2.029,1.806,1.904,1.702,2.871,Dryas,M,PF,0.164,41,27
DL16,1,2022-06-15,12:17:00,0.5118,12.28,0.25,0.921,0.837,0.929,1.72,1.28,1.72,Dryas,F,PD,0.197,42,30
HL59,3,2022-06-15,12:17:00,0.5118,12.28,0.196,1.29,0.513,1.444,1.586,1.898,1.898,Hecale,M,PD,0.279,44,41
DL15,1,2022-06-15,12:17:00,0.5118,12.28,0.156,0.456,0.371,0.675,0.571,1.057,1.057,Dryas,F,PD,0.167,40,29
HL45,7,2022-06-15,12:17:00,0.5118,12.28,0.236,2.106,2.083,1.819,2.74,1.68,2.74,Hecale,F,PD,0.248,45,106
DL17,1,2022-06-15,12:17:00,0.5118,12.28,0.19,0.167,0.284,0.765,0.77,0.73,0.77,Dryas,F,PD,0.187,41,7
HL38,7,2022-06-15,12:17:00,0.5118,12.28,0.216,3.113,2.511,2.691,1.671,3.284,3.284,Hecale,F,PD,0.264,45,76
DL12,1,2022-06-15,12:17:00,0.5118,12.28,0.204,1.037,1.038,0.856,1.177,1.602,1.602,Dryas,F,PF,0.219,44,31
HL18,9,2022-06-15,12:17:00,0.5118,12.28,0.152,0.696,1.105,1.212,0.476,0.709,1.212,Hecale,M,PF,0.192,40,77
HL21,9,2022-06-17,13:30:00,0.5625,13.5,0.224,1.23,0.005,2.86,1.92,1.43,2.86,Hecale,M,PF,0.247,46,96
HL24,9,2022-06-17,13:30:00,0.5625,13.5,0.196,1.44,1.36,2.09,1.38,0.89,2.09,Hecale,F,PF,0.166,40,112
HL47,7,2022-06-17,13:30:00,0.5625,13.5,0.23,2.91,2.09,1.9,2.94,2.48,2.94,Hecale,F,PD,0.289,40,74
HL50,7,2022-06-17,13:30:00,0.5625,13.5,0.216,0.89,1.36,1.85,0.26,1.18,1.85,Hecale,M,PD,0.303,45,66
DL10,3,2022-06-17,13:30:00,0.5625,13.5,0.149,0.96,1.98,1.78,1.38,3.11,3.11,Dryas,M,PF,0.239,42,24
DL11,3,2022-06-17,13:30:00,0.5625,13.5,0.136,0.86,0.69,1.03,0.84,1.6,1.6,Dryas,M,PF,0.2,43,26
DL18,1,2022-06-17,13:30:00,0.5625,13.5,0.174,0.69,2.8,0.48,1.3,1.5,2.8,Dryas,M,PD,0.186,43,50
DL19,1,2022-06-17,13:30:00,0.5625,13.5,0.166,1.4,1.28,1.29,1.23,0.962,1.4,Dryas,M,PD,0.216,44,32
DL20,1,2022-06-17,13:30:00,0.5625,13.5,0.184,0.01,0.148,0.98,1.21,0.99,1.21,Dryas,F,PF,0.157,40,23
HL60,3,2022-06-20,13:00:00,0.5417,13.0,0.224,1.558,1.721,1.558,0.763,1.194,1.721,Hecale,F,PF,0.238,45,71
HL4,11,2022-06-20,13:00:00,0.5417,13.0,0.192,2.917,2.004,1.83,2.607,2.5,2.917,Hecale,F,PF,0.284,39,87
HL61,3,2022-06-20,13:00:00,0.5417,13.0,0.213,1.963,0.829,0.825,1.275,0.821,1.963,Hecale,F,PD,0.406,43,36
