ID,Age_weeks,Date,FW_apex,UV,Lux,Time_assayed_1,Time_assayed_fraction_1,Alightments_1,Time_active_1,Distance_1,Time_assayed_2,Time_assayed_fraction_2,Alightments_2,Time_active_2,Distance_2,Raining,Noisy,Lux_scaled,UV_scaled,Time_assayed_fraction_mean,Alightments_mean,Time_active_mean,Distance_mean,Time_assayed_max,Time_assayed_fraction_max,Alightments_max,Time_active_max,Distance_max,Species,Sex,Diet,Eclosion_weight,FW_length,Longevity,Time_active_max_prop,Distance_max_prop
HL25,1,2022-04-22,TRUE,8.5,2680,11:23:00,0.4743,1,7.61,358,11:42:00,0.4875,1,1.93,94.0,FALSE,TRUE,-0.8934848801292228,2.0625111506960323,0.4809,1.0,4.7700000000000005,226.0,11:23:00,0.4743,1,7.61,358.0,Hecale,M,PD,0.162,39,47,0.16911111111111113,0.2753846153846154
HL26,1,2022-04-22,TRUE,8.5,2680,11:25:00,0.4757,1,3.89,304,11:45:00,0.4896,1,3.42,326.0,FALSE,TRUE,-0.8934848801292228,2.0625111506960323,0.48265,1.0,3.6550000000000002,315.0,11:25:00,0.4757,1,3.89,304.0,Hecale,M,PD,0.2,42,11,0.08644444444444445,0.23384615384615384
HL29,1,2022-04-22,TRUE,8.5,2680,11:33:00,0.4813,1,14.69,752,11:48:00,0.4917,1,1.06,41.0,FALSE,TRUE,-0.8934848801292228,2.0625111506960323,0.48650000000000004,1.0,7.875,396.5,11:33:00,0.4813,1,14.69,752.0,Hecale,M,PD,0.179,38,10,0.3264444444444444,0.5784615384615385
HL21,1,2022-04-22,TRUE,8.5,2680,11:36:00,0.4833,1,8.05,828,11:51:00,0.4938,1,1.1,27.0,FALSE,TRUE,-0.8934848801292228,2.0625111506960323,0.48855000000000004,1.0,4.575,427.5,11:36:00,0.4833,1,8.05,828.0,Hecale,M,PF,0.247,46,96,0.1788888888888889,0.6369230769230769
HL32,1,2022-04-25,TRUE,9.7,2000,10:54:00,0.4542,1,10.6,178,11:11:00,0.466,1,11.6,188.0,FALSE,FALSE,-0.9677486407347194,3.0629705089290673,0.4601,1.0,11.1,183.0,11:11:00,0.466,1,11.6,188.0,Hecale,F,PD,0.181,41,57,0.2577777777777778,0.14461538461538462
HL30,1,2022-04-25,TRUE,9.7,2000,10:56:00,0.4556,3,32.92,59,11:17:00,0.4701,1,29.1,814.0,FALSE,FALSE,-0.9677486407347194,3.0629705089290673,0.46285,2.0,31.01,436.5,10:56:00,0.4556,3,32.92,59.0,Hecale,M,PF,0.153,40,29,0.7315555555555556,0.045384615384615384
HL31,1,2022-04-25,TRUE,9.7,2000,10:59:00,0.4576,1,14.56,337,11:20:00,0.4722,1,3.06,48.0,FALSE,FALSE,-0.9677486407347194,3.0629705089290673,0.4649,1.0,8.81,192.5,10:59:00,0.4576,1,14.56,337.0,Hecale,F,PD,0.181,40,42,0.32355555555555554,0.2592307692307692
HL34,1,2022-04-25,TRUE,9.7,2000,11:05:00,0.4618,1,16.79,740,11:22:00,0.4736,1,42.35,47.0,FALSE,FALSE,-0.9677486407347194,3.0629705089290673,0.4677,1.0,29.57,393.5,11:22:00,0.4736,1,42.35,47.0,Hecale,M,PD,0.162,41,8,0.9411111111111111,0.036153846153846154
HL4,3,2022-04-25,FALSE,9.7,2000,11:08:00,0.4639,1,32.71,190,11:25:00,0.4757,1,15.66,735.0,FALSE,FALSE,-0.9677486407347194,3.0629705089290673,0.4698,1.0,24.185000000000002,462.5,11:08:00,0.4639,1,32.71,190.0,Hecale,F,PF,0.284,39,87,0.7268888888888889,0.14615384615384616
HL35,1,2022-04-27,TRUE,7.8,6180,10:52:00,0.4528,1,2.38,125,10:58:00,0.4569,1,10.96,888.0,FALSE,FALSE,-0.5112449358362254,1.4789098583934277,0.45485,1.0,6.67,506.5,10:58:00,0.4569,1,10.96,888.0,Hecale,F,PD,0.164,40,76,0.24355555555555558,0.683076923076923
HL1,7,2022-04-29,TRUE,5.8,1350,10:49:00,0.4507,1,1.21,48,11:15:00,0.4688,1,27.91,1072.0,TRUE,FALSE,-1.0387360589605619,-0.1885224053282984,0.45975,1.0,14.56,560.0,11:15:00,0.4688,1,27.91,1072.0,Hecale,F,PF,0.142,37,119,0.6202222222222222,0.8246153846153846
HL8,3,2022-04-29,TRUE,5.8,1350,10:52:00,0.4528,1,24.12,427,11:18:00,0.4708,1,20.69,737.0,TRUE,FALSE,-1.0387360589605619,-0.1885224053282984,0.4618,1.0,22.405,582.0,10:52:00,0.4528,1,24.12,427.0,Hecale,F,PF,0.179,40,77,0.536,0.32846153846153847
HL10,3,2022-04-29,TRUE,5.8,1350,10:55:00,0.4549,1,22.5,354,11:20:00,0.4722,1,1.49,30.0,TRUE,FALSE,-1.0387360589605619,-0.1885224053282984,0.46355,1.0,11.995,192.0,10:55:00,0.4549,1,22.5,354.0,Hecale,F,PF,0.203,39,41,0.5,0.2723076923076923
HL11,3,2022-04-29,TRUE,5.8,1350,10:58:00,0.4569,1,12.05,275,11:24:00,0.475,1,7.87,267.0,TRUE,FALSE,-1.0387360589605619,-0.1885224053282984,0.46595,1.0,9.96,271.0,10:58:00,0.4569,1,12.05,275.0,Hecale,F,PF,0.31,43,55,0.2677777777777778,0.21153846153846154
HL9,3,2022-04-29,TRUE,5.8,1350,11:00:00,0.4583,1,10.75,226,11:29:00,0.4785,0,45.0,980.0,TRUE,FALSE,-1.0387360589605619,-0.1885224053282984,0.4684,0.5,27.875,603.0,11:29:00,0.4785,0,45.0,980.0,Hecale,F,PF,0.189,41,52,1.0,0.7538461538461538
HL5,3,2022-04-29,TRUE,5.8,1350,11:03:00,0.4604,1,22.07,527,11:31:00,0.4799,0,45.0,1138.0,TRUE,FALSE,-1.0387360589605619,-0.1885224053282984,0.47014999999999996,0.5,33.535,832.5,11:31:00,0.4799,0,45.0,1138.0,Hecale,M,PF,0.211,40,83,1.0,0.8753846153846154
HL7,3,2022-04-29,TRUE,5.8,1350,11:07:00,0.4632,1,2.5,73,11:33:00,0.4813,1,2.04,34.0,TRUE,FALSE,-1.0387360589605619,-0.1885224053282984,0.47225,1.0,2.27,53.5,11:07:00,0.4632,1,2.5,73.0,Hecale,F,PF,0.182,40,119,0.05555555555555555,0.05615384615384615
HL13,3,2022-04-29,TRUE,5.8,1350,11:09:00,0.4646,1,6.46,400,11:38:00,0.4847,1,17.18,1174.0,TRUE,FALSE,-1.0387360589605619,-0.1885224053282984,0.47465,1.0,11.82,787.0,11:38:00,0.4847,1,17.18,1174.0,Hecale,M,PF,0.286,40,81,0.38177777777777777,0.9030769230769231
HL6,3,2022-04-29,TRUE,5.8,1350,11:11:00,0.466,1,1.69,69,11:25:00,0.4757,1,1.47,94.0,TRUE,FALSE,-1.0387360589605619,-0.1885224053282984,0.47085,1.0,1.58,81.5,11:11:00,0.466,1,1.69,69.0,Hecale,F,PF,0.228,43,50,0.03755555555555556,0.05307692307692308
HL12,3,2022-04-29,TRUE,5.8,1350,11:13:00,0.4674,1,18.68,1176,11:36:00,0.4833,1,1.96,102.0,TRUE,FALSE,-1.0387360589605619,-0.1885224053282984,0.47535,1.0,10.32,639.0,11:13:00,0.4674,1,18.68,1176.0,Hecale,M,PF,0.134,37,76,0.4151111111111111,0.9046153846153846
HL36,1,2022-05-02,TRUE,6.0,1262,11:48:00,0.4917,1,1.59,113,12:01:00,0.5007,2,3.29,53.0,TRUE,FALSE,-1.0483466632742142,-0.021779178956125616,0.49620000000000003,1.5,2.44,83.0,12:01:00,0.5007,2,3.29,53.0,Hecale,F,PD,0.252,44,32,0.07311111111111111,0.040769230769230766
HL14,3,2022-05-02,TRUE,6.0,1262,11:51:00,0.4938,1,36.24,240,12:06:00,0.5042,1,40.27,636.0,TRUE,FALSE,-1.0483466632742142,-0.021779178956125616,0.499,1.0,38.255,438.0,12:06:00,0.5042,1,40.27,636.0,Hecale,F,PF,0.213,40,63,0.894888888888889,0.48923076923076925
HL15,3,2022-05-02,TRUE,6.0,1262,11:53:00,0.4951,1,13.15,552,12:08:00,0.5056,1,24.47,964.0,TRUE,FALSE,-1.0483466632742142,-0.021779178956125616,0.5003500000000001,1.0,18.81,758.0,12:08:00,0.5056,1,24.47,964.0,Hecale,M,PF,0.27,47,86,0.5437777777777778,0.7415384615384616
HL16,3,2022-05-02,TRUE,6.0,1262,11:55:00,0.4965,1,2.8,63,12:10:00,0.5069,1,13.8,960.0,TRUE,FALSE,-1.0483466632742142,-0.021779178956125616,0.5017,1.0,8.3,511.5,12:10:00,0.5069,1,13.8,960.0,Hecale,F,PF,0.118,40,59,0.3066666666666667,0.7384615384615385
HL45,1,2022-05-04,TRUE,6.6,5120,10:36:00,0.4417,1,14.5,815,10:52:00,0.4528,1,16.3,1121.0,FALSE,FALSE,-0.6270090332506761,0.4784505001603919,0.44725,1.0,15.4,968.0,10:52:00,0.4528,1,16.3,1121.0,Hecale,F,PD,0.248,45,106,0.3622222222222222,0.8623076923076923
HL2,7,2022-05-04,FALSE,6.6,5120,10:41:00,0.4451,1,16.18,1015,10:56:00,0.4556,1,25.0,1300.0,FALSE,FALSE,-0.6270090332506761,0.4784505001603919,0.45035000000000003,1.0,20.59,1157.5,10:56:00,0.4556,1,25.0,1300.0,Hecale,F,PF,0.154,37,69,0.5555555555555556,1.0
HL38,1,2022-05-04,TRUE,6.6,5120,10:45:00,0.4479,1,1.12,44,10:54:00,0.4542,1,2.86,107.0,FALSE,FALSE,-0.6270090332506761,0.4784505001603919,0.45105,1.0,1.99,75.5,10:54:00,0.4542,1,2.86,107.0,Hecale,F,PD,0.264,45,76,0.06355555555555556,0.0823076923076923
HL17,3,2022-05-04,TRUE,7.0,27400,12:10:00,0.5069,1,7.4,427,12:28:00,0.5194,1,11.84,766.0,FALSE,FALSE,1.8062212407058897,0.8119369529047374,0.51315,1.0,9.620000000000001,596.5,12:28:00,0.5194,1,11.84,766.0,Hecale,M,PF,0.171,39,77,0.26311111111111113,0.5892307692307692
HL40,1,2022-05-04,TRUE,7.0,27400,12:12:00,0.5083,1,13.59,790,12:37:00,0.5257,1,1.37,75.0,FALSE,FALSE,1.8062212407058897,0.8119369529047374,0.5169999999999999,1.0,7.48,432.5,12:12:00,0.5083,1,13.59,790.0,Hecale,M,PD,0.204,44,38,0.302,0.6076923076923076
HL18,3,2022-05-04,TRUE,7.0,27400,12:14:00,0.5097,1,8.32,640,12:40:00,0.5278,1,5.85,668.0,FALSE,FALSE,1.8062212407058897,0.8119369529047374,0.51875,1.0,7.085,654.0,12:14:00,0.5097,1,8.32,640.0,Hecale,M,PF,0.192,40,77,0.1848888888888889,0.49230769230769234
HL19,3,2022-05-04,TRUE,7.0,27400,12:16:00,0.5111,1,1.81,173,12:44:00,0.5306,1,6.9,790.0,FALSE,FALSE,1.8062212407058897,0.8119369529047374,0.52085,1.0,4.355,481.5,12:44:00,0.5306,1,6.9,790.0,Hecale,M,PF,0.191,40,54,0.15333333333333335,0.6076923076923076
HL42,1,2022-05-04,TRUE,7.0,27400,12:20:00,0.5139,1,1.75,176,12:46:00,0.5319,1,6.61,994.0,FALSE,FALSE,1.8062212407058897,0.8119369529047374,0.5229,1.0,4.18,585.0,12:46:00,0.5319,1,6.61,994.0,Hecale,M,PD,0.218,41,19,0.1468888888888889,0.7646153846153846
HL48,1,2022-05-06,TRUE,5.9,9440,10:57:00,0.4563,1,18.14,909,11:14:00,0.4681,1,17.05,1190.0,FALSE,FALSE,-0.15521573058046229,-0.10515079214221162,0.4622,1.0,17.595,1049.5,10:57:00,0.4563,1,18.14,909.0,Hecale,F,PD,0.135,33,40,0.40311111111111114,0.6992307692307692
HL24,3,2022-05-06,TRUE,5.9,9440,11:01:00,0.459,1,12.13,1171,11:18:00,0.4708,1,27.1,1114.0,FALSE,FALSE,-0.15521573058046229,-0.10515079214221162,0.4649,1.0,19.615000000000002,1142.5,11:18:00,0.4708,1,27.1,1114.0,Hecale,F,PF,0.166,40,112,0.6022222222222222,0.8569230769230769
HL21,3,2022-05-06,TRUE,5.9,9440,11:04:00,0.4611,1,1.06,50,11:22:00,0.4736,1,9.54,896.0,FALSE,FALSE,-0.15521573058046229,-0.10515079214221162,0.46735000000000004,1.0,5.3,473.0,11:22:00,0.4736,1,9.54,896.0,Hecale,M,PF,0.247,46,96,0.212,0.6892307692307692
HL27,3,2022-05-06,TRUE,5.9,9440,11:06:00,0.4625,1,15.6,889,11:25:00,0.4757,1,28.51,350.0,FALSE,FALSE,-0.15521573058046229,-0.10515079214221162,0.4691,1.0,22.055,619.5,11:25:00,0.4757,1,28.51,350.0,Hecale,F,PD,0.145,37,52,0.6335555555555555,0.2692307692307692
HL47,1,2022-05-06,TRUE,5.9,9440,11:10:00,0.4653,1,1.31,0,11:28:00,0.4778,1,4.23,0.0,FALSE,FALSE,-0.15521573058046229,-0.10515079214221162,0.47155,1.0,2.7700000000000005,0.0,11:28:00,0.4778,1,4.23,0.0,Hecale,F,PD,0.289,40,74,0.09400000000000001,0.0
HL43,1,2022-05-06,FALSE,5.9,9440,11:12:00,0.4667,1,0.96,89,11:30:00,0.4792,1,1.48,108.0,FALSE,FALSE,-0.15521573058046229,-0.10515079214221162,0.47295,1.0,1.22,98.5,11:30:00,0.4792,1,1.48,108.0,Hecale,F,PD,0.18,42,20,0.03288888888888889,0.08307692307692308
HL49,1,2022-05-06,TRUE,6.0,14280,11:54:00,0.4958,1,3.24,172,12:08:00,0.5056,2,23.43,1123.0,FALSE,FALSE,0.37336750667042545,-0.021779178956125616,0.5007,1.5,13.335,647.5,12:08:00,0.5056,2,23.43,1123.0,Hecale,M,PD,0.238,40,16,0.5206666666666666,0.8638461538461538
HL50,1,2022-05-06,TRUE,6.0,14280,11:56:00,0.4972,1,21.96,863,12:12:00,0.5083,1,5.14,607.0,FALSE,FALSE,0.37336750667042545,-0.021779178956125616,0.50275,1.0,13.55,735.0,11:56:00,0.4972,1,21.96,863.0,Hecale,M,PD,0.303,45,66,0.48800000000000004,0.6638461538461539
HL44,1,2022-05-06,TRUE,6.0,14280,12:03:00,0.5021,1,7.66,798,12:14:00,0.5097,1,4.64,712.0,FALSE,FALSE,0.37336750667042545,-0.021779178956125616,0.5059,1.0,6.15,755.0,12:03:00,0.5021,1,7.66,798.0,Hecale,M,PD,0.183,40,21,0.17022222222222222,0.6138461538461538
HL25,3,2022-05-06,TRUE,6.0,14280,12:06:00,0.5042,1,2.41,177,12:19:00,0.5132,1,1.83,75.0,FALSE,FALSE,0.37336750667042545,-0.021779178956125616,0.5086999999999999,1.0,2.12,126.0,12:06:00,0.5042,1,2.41,177.0,Hecale,M,PD,0.162,39,47,0.05355555555555556,0.13615384615384615
HL4,5,2022-05-09,FALSE,5.6,3350,10:36:00,0.4417,0,45.0,760,10:52:00,0.4528,1,17.44,758.0,FALSE,FALSE,-0.8203132336502776,-0.35526563170047115,0.44725,0.5,31.22,759.0,10:36:00,0.4417,0,45.0,760.0,Hecale,F,PF,0.284,39,87,1.0,0.5846153846153846
HL32,3,2022-05-09,TRUE,5.6,3350,10:40:00,0.4444,1,22.04,1300,10:55:00,0.4549,1,30.9,238.0,FALSE,FALSE,-0.8203132336502776,-0.35526563170047115,0.44965,1.0,26.47,769.0,10:55:00,0.4549,1,30.9,238.0,Hecale,F,PD,0.181,41,57,0.6866666666666666,0.18307692307692308
HL30,3,2022-05-09,TRUE,5.6,3350,10:42:00,0.4458,0,45.0,757,10:58:00,0.4569,1,11.63,637.0,FALSE,FALSE,-0.8203132336502776,-0.35526563170047115,0.45135,0.5,28.315,697.0,10:42:00,0.4458,0,45.0,757.0,Hecale,M,PF,0.153,40,29,1.0,0.5823076923076923
HL52,1,2022-05-09,TRUE,5.6,3350,10:43:00,0.4465,0,45.0,1090,11:01:00,0.459,0,45.0,614.0,FALSE,FALSE,-0.8203132336502776,-0.35526563170047115,0.45275,0.0,45.0,852.0,10:43:00,0.4465,0,45.0,1090.0,Hecale,M,PD,0.208,44,38,1.0,0.8384615384615385
HL31,3,2022-05-09,TRUE,5.6,3350,10:47:00,0.4493,1,20.33,1016,11:04:00,0.4611,1,33.96,423.0,FALSE,FALSE,-0.8203132336502776,-0.35526563170047115,0.4552,1.0,27.145,719.5,11:04:00,0.4611,1,33.96,423.0,Hecale,F,PD,0.181,40,42,0.7546666666666667,0.3253846153846154
HL33,3,2022-05-11,TRUE,6.025847,32000,11:13:00,0.4674,1,9.03,784,11:25:00,0.4757,1,9.16,892.0,FALSE,FALSE,2.3085937389195434,-0.000230118095918113,0.47155,1.0,9.094999999999999,838.0,11:25:00,0.4757,1,9.16,892.0,Hecale,M,PF,0.232,43,78,0.20355555555555555,0.6861538461538461
HL35,3,2022-05-11,TRUE,6.025847,32000,11:21:00,0.4729,1,18.03,749,11:30:00,0.4792,1,7.99,653.0,FALSE,FALSE,2.3085937389195434,-0.000230118095918113,0.47605,1.0,13.010000000000002,701.0,11:21:00,0.4729,1,18.03,749.0,Hecale,F,PD,0.164,40,76,0.40066666666666667,0.5761538461538461
HL1,9,2022-05-13,FALSE,8.0,33800,11:13:00,0.4674,1,27.96,1140,11:42:00,0.4875,1,14.61,917.0,FALSE,FALSE,2.505174281698799,1.6456530847656006,0.47745,1.0,21.285,1028.5,11:13:00,0.4674,1,27.96,1140.0,Hecale,F,PF,0.142,37,119,0.6213333333333334,0.8769230769230769
HL8,5,2022-05-13,TRUE,8.0,33800,11:16:00,0.4694,1,17.17,376,11:45:00,0.4896,1,24.01,904.0,FALSE,FALSE,2.505174281698799,1.6456530847656006,0.4795,1.0,20.590000000000003,640.0,11:45:00,0.4896,1,24.01,904.0,Hecale,F,PF,0.179,40,77,0.5335555555555556,0.6953846153846154
HL9,5,2022-05-13,FALSE,8.0,33800,11:20:00,0.4722,2,5.31,165,11:49:00,0.4924,2,7.76,345.0,FALSE,FALSE,2.505174281698799,1.6456530847656006,0.4823,2.0,6.535,255.0,11:49:00,0.4924,2,7.76,345.0,Hecale,F,PF,0.189,41,52,0.17244444444444443,0.2653846153846154
HL11,5,2022-05-13,TRUE,8.0,33800,11:22:00,0.4736,1,18.31,780,11:55:00,0.4965,1,8.21,660.0,FALSE,FALSE,2.505174281698799,1.6456530847656006,0.48505,1.0,13.26,720.0,11:22:00,0.4736,1,18.31,780.0,Hecale,F,PF,0.31,43,55,0.40688888888888886,0.6
HL7,5,2022-05-13,TRUE,8.0,33800,11:30:00,0.4792,1,19.01,570,11:52:00,0.4944,2,18.04,682.0,FALSE,FALSE,2.505174281698799,1.6456530847656006,0.4868,1.5,18.525,626.0,11:30:00,0.4792,1,19.01,570.0,Hecale,F,PF,0.182,40,119,0.42244444444444446,0.43846153846153846
HL6,5,2022-05-13,TRUE,8.0,33800,11:32:00,0.4806,1,13.05,795,11:59:00,0.4993,1,4.99,279.0,FALSE,FALSE,2.505174281698799,1.6456530847656006,0.48995,1.0,9.02,537.0,11:32:00,0.4806,1,13.05,795.0,Hecale,F,PF,0.228,43,50,0.29000000000000004,0.6115384615384616
HL10,5,2022-05-13,TRUE,8.0,33800,11:34:00,0.4819,1,2.91,238,12:01:00,0.5007,1,2.59,153.0,FALSE,FALSE,2.505174281698799,1.6456530847656006,0.4913,1.0,2.75,195.5,11:34:00,0.4819,1,2.91,238.0,Hecale,F,PF,0.203,39,41,0.06466666666666666,0.18307692307692308
HL54,1,2022-05-13,TRUE,8.0,33800,11:39:00,0.4854,1,17.94,921,12:03:00,0.5021,1,12.52,805.0,FALSE,FALSE,2.505174281698799,1.6456530847656006,0.49375,1.0,15.23,863.0,11:39:00,0.4854,1,17.94,921.0,Hecale,F,PD,0.217,41,29,0.39866666666666667,0.7084615384615385
