ID,Age_weeks,Date,Time_weighed,Time_weighed_fraction,Time_weighed_hours,Weight,Species,Sex,Diet,Eclosion_weight,FW_length,Longevity
HL18,1.0,2022-04-20,12:34:00,0.5236,12.57,0.163,Hecale,M,PF,0.192,40,77
HL19,1.0,2022-04-20,12:34:00,0.5236,12.57,0.155,Hecale,M,PF,0.191,40,54
HL27,1.0,2022-04-22,12:44:00,0.5306,12.73,0.17,Hecale,F,PD,0.145,37,52
HL23,1.0,2022-04-22,12:04:00,0.5028,12.07,0.176,Hecale,M,PD,0.209,44,11
HL25,1.0,2022-04-22,12:04:00,0.5028,12.07,0.154,Hecale,M,PD,0.162,39,47
HL26,1.0,2022-04-22,12:04:00,0.5028,12.07,0.166,Hecale,M,PD,0.2,42,11
HL29,1.0,2022-04-22,12:04:00,0.5028,12.07,0.157,Hecale,M,PD,0.179,38,10
HL21,1.0,2022-04-22,12:04:00,0.5028,12.07,0.244,Hecale,M,PF,0.247,46,96
HL4,3.0,2022-04-25,13:00:00,0.5417,13.0,0.206,Hecale,F,PF,0.284,39,87
HL30,1.0,2022-04-25,13:00:00,0.5417,13.0,0.14,Hecale,M,PF,0.153,40,29
HL31,1.0,2022-04-25,13:00:00,0.5417,13.0,0.206,Hecale,F,PD,0.181,40,42
HL34,1.0,2022-04-25,13:00:00,0.5417,13.0,0.154,Hecale,M,PD,0.162,41,8
HL32,1.0,2022-04-25,13:00:00,0.5417,13.0,0.217,Hecale,F,PD,0.181,41,57
HL35,1.0,2022-04-27,12:30:00,0.5208,12.5,0.182,Hecale,F,PD,0.164,40,76
HL12,3.0,2022-04-29,12:36:00,0.525,12.6,0.122,Hecale,M,PF,0.134,37,76
HL5,3.0,2022-04-29,12:36:00,0.525,12.6,0.18,Hecale,M,PF,0.211,40,83
HL13,3.0,2022-04-29,12:36:00,0.525,12.6,0.19,Hecale,M,PF,0.286,40,81
HL8,3.0,2022-04-29,13:02:00,0.5431,13.03,0.188,Hecale,F,PF,0.179,40,77
HL6,3.0,2022-04-29,13:02:00,0.5431,13.03,0.253,Hecale,F,PF,0.228,43,50
HL1,7.0,2022-04-29,13:02:00,0.5431,13.03,0.146,Hecale,F,PF,0.142,37,119
HL10,3.0,2022-04-29,13:02:00,0.5431,13.03,0.184,Hecale,F,PF,0.203,39,41
HL11,3.0,2022-04-29,13:02:00,0.5431,13.03,0.278,Hecale,F,PF,0.31,43,55
HL9,3.0,2022-04-29,13:02:00,0.5431,13.03,0.183,Hecale,F,PF,0.189,41,52
HL7,3.0,2022-04-29,13:02:00,0.5431,13.03,0.198,Hecale,F,PF,0.182,40,119
HL36,1.0,2022-05-02,13:02:00,0.5431,13.03,0.272,Hecale,F,PD,0.252,44,32
HL14,3.0,2022-05-02,13:02:00,0.5431,13.03,0.234,Hecale,F,PF,0.213,40,63
HL15,3.0,2022-05-02,13:02:00,0.5431,13.03,0.305,Hecale,M,PF,0.27,47,86
HL42,1.0,2022-05-04,13:30:00,0.5625,13.5,0.175,Hecale,M,PD,0.218,41,19
HL19,3.0,2022-05-04,13:30:00,0.5625,13.5,0.161,Hecale,M,PF,0.191,40,54
HL18,3.0,2022-05-04,13:30:00,0.5625,13.5,0.149,Hecale,M,PF,0.192,40,77
HL40,1.0,2022-05-04,13:30:00,0.5625,13.5,0.181,Hecale,M,PD,0.204,44,38
HL17,3.0,2022-05-04,13:30:00,0.5625,13.5,0.126,Hecale,M,PF,0.171,39,77
HL45,1.0,2022-05-04,13:30:00,0.5625,13.5,0.251,Hecale,F,PD,0.248,45,106
HL38,1.0,2022-05-04,13:30:00,0.5625,13.5,0.281,Hecale,F,PD,0.264,45,76
HL2,7.0,2022-05-04,13:30:00,0.5625,13.5,0.136,Hecale,F,PF,0.154,37,69
HL48,1.0,2022-05-06,13:15:00,0.5521,13.25,0.139,Hecale,F,PD,0.135,33,40
HL21,3.0,2022-05-06,13:15:00,0.5521,13.25,0.241,Hecale,M,PF,0.247,46,96
HL47,1.0,2022-05-06,13:15:00,0.5521,13.25,0.248,Hecale,F,PD,0.289,40,74
HL43,1.0,2022-05-06,13:15:00,0.5521,13.25,0.226,Hecale,F,PD,0.18,42,20
HL24,3.0,2022-05-06,13:15:00,0.5521,13.25,0.156,Hecale,F,PF,0.166,40,112
HL27,3.0,2022-05-06,13:15:00,0.5521,13.25,0.126,Hecale,F,PD,0.145,37,52
HL50,1.0,2022-05-06,13:15:00,0.5521,13.25,0.248,Hecale,M,PD,0.303,45,66
HL49,1.0,2022-05-06,13:15:00,0.5521,13.25,0.153,Hecale,M,PD,0.238,40,16
HL44,1.0,2022-05-06,13:15:00,0.5521,13.25,0.147,Hecale,M,PD,0.183,40,21
HL25,3.0,2022-05-06,13:15:00,0.5521,13.25,0.129,Hecale,M,PD,0.162,39,47
HL52,1.0,2022-05-09,12:32:00,0.5222,12.53,0.181,Hecale,M,PD,0.208,44,38
HL30,3.0,2022-05-09,12:32:00,0.5222,12.53,0.13,Hecale,M,PF,0.153,40,29
HL31,3.0,2022-05-09,12:32:00,0.5222,12.53,0.189,Hecale,F,PD,0.181,40,42
HL32,3.0,2022-05-09,12:32:00,0.5222,12.53,0.179,Hecale,F,PD,0.181,41,57
HL4,5.0,2022-05-09,12:32:00,0.5222,12.53,0.211,Hecale,F,PF,0.284,39,87
HL35,3.0,2022-05-11,13:06:00,0.5458,13.1,0.184,Hecale,F,PD,0.164,40,76
HL33,3.0,2022-05-11,13:06:00,0.5458,13.1,0.212,Hecale,M,PF,0.232,43,78
HL13,5.0,2022-05-13,12:45:00,0.5313,12.75,0.194,Hecale,M,PF,0.286,40,81
HL5,5.0,2022-05-13,12:45:00,0.5313,12.75,0.178,Hecale,M,PF,0.211,40,83
HL12,5.0,2022-05-13,12:45:00,0.5313,12.75,0.125,Hecale,M,PF,0.134,37,76
HL11,5.0,2022-05-13,13:44:00,0.5722,13.73,0.264,Hecale,F,PF,0.31,43,55
HL1,9.0,2022-05-13,13:44:00,0.5722,13.73,0.151,Hecale,F,PF,0.142,37,119
HL10,5.0,2022-05-13,13:44:00,0.5722,13.73,0.193,Hecale,F,PF,0.203,39,41
HL9,5.0,2022-05-13,13:44:00,0.5722,13.73,0.175,Hecale,F,PF,0.189,41,52
HL8,5.0,2022-05-13,13:44:00,0.5722,13.73,0.186,Hecale,F,PF,0.179,40,77
HL6,5.0,2022-05-13,13:44:00,0.5722,13.73,0.214,Hecale,F,PF,0.228,43,50
HL54,1.0,2022-05-13,13:44:00,0.5722,13.73,0.174,Hecale,F,PD,0.217,41,29
HL7,5.0,2022-05-13,13:44:00,0.5722,13.73,0.199,Hecale,F,PF,0.182,40,119
HL14,5.0,2022-05-16,12:33:00,0.5229,12.55,0.184,Hecale,F,PF,0.213,40,63
HL15,5.0,2022-05-16,12:33:00,0.5229,12.55,0.24,Hecale,M,PF,0.27,47,86
HL36,3.0,2022-05-16,12:33:00,0.5229,12.55,0.231,Hecale,F,PD,0.252,44,32
HL55,1.0,2022-05-16,12:33:00,0.5229,12.55,0.147,Hecale,M,PD,0.168,40,59
HL2,9.0,2022-05-18,12:30:00,0.5208,12.5,0.135,Hecale,F,PF,0.154,37,69
HL17,5.0,2022-05-18,12:30:00,0.5208,12.5,0.134,Hecale,M,PF,0.171,39,77
HL18,5.0,2022-05-18,12:30:00,0.5208,12.5,0.172,Hecale,M,PF,0.192,40,77
HL19,5.0,2022-05-18,12:30:00,0.5208,12.5,0.16,Hecale,M,PF,0.191,40,54
HL38,3.0,2022-05-18,12:30:00,0.5208,12.5,0.27,Hecale,F,PD,0.264,45,76
HL40,3.0,2022-05-18,12:30:00,0.5208,12.5,0.171,Hecale,M,PD,0.204,44,38
HL45,3.0,2022-05-18,12:30:00,0.5208,12.5,0.299,Hecale,F,PD,0.248,45,106
HL21,5.0,2022-05-20,12:01:00,0.5007,12.02,0.27,Hecale,M,PF,0.247,46,96
HL25,5.0,2022-05-20,12:01:00,0.5007,12.02,0.131,Hecale,M,PD,0.162,39,47
HL27,5.0,2022-05-20,12:01:00,0.5007,12.02,0.125,Hecale,F,PD,0.145,37,52
HL24,5.0,2022-05-20,12:01:00,0.5007,12.02,0.18,Hecale,F,PF,0.166,40,112
HL44,3.0,2022-05-20,12:01:00,0.5007,12.02,0.147,Hecale,M,PD,0.183,40,21
HL48,3.0,2022-05-20,12:01:00,0.5007,12.02,0.125,Hecale,F,PD,0.135,33,40
HL50,3.0,2022-05-20,12:01:00,0.5007,12.02,0.216,Hecale,M,PD,0.303,45,66
HL32,5.0,2022-05-23,13:45:00,0.5729,13.75,0.158,Hecale,F,PD,0.181,41,57
HL52,3.0,2022-05-23,13:45:00,0.5729,13.75,0.178,Hecale,M,PD,0.208,44,38
HL31,5.0,2022-05-23,13:45:00,0.5729,13.75,0.174,Hecale,F,PD,0.181,40,42
HL4,7.0,2022-05-23,13:45:00,0.5729,13.75,0.212,Hecale,F,PF,0.284,39,87
DL3,1.0,2022-05-23,13:45:00,0.5729,13.75,0.206,Dryas,F,PF,0.186,41,7
DL1,1.0,2022-05-23,13:45:00,0.5729,13.75,0.181,Dryas,M,PF,0.22,41,12
HL33,5.0,2022-05-25,12:45:00,0.5313,12.75,0.227,Hecale,M,PF,0.232,43,78
HL35,5.0,2022-05-25,12:45:00,0.5313,12.75,0.161,Hecale,F,PD,0.164,40,76
DL5,1.0,2022-05-25,12:45:00,0.5313,12.75,0.159,Dryas,F,PD,0.173,50,22
DL4,1.0,2022-05-25,12:45:00,0.5313,12.75,0.236,Dryas,F,PD,0.252,44,22
HL13,7.0,2022-05-27,13:30:00,0.5625,13.5,0.202,Hecale,M,PF,0.286,40,81
HL12,7.0,2022-05-27,13:30:00,0.5625,13.5,0.132,Hecale,M,PF,0.134,37,76
HL5,7.0,2022-05-27,13:30:00,0.5625,13.5,0.19,Hecale,M,PF,0.211,40,83
HL9,7.0,2022-05-27,13:30:00,0.5625,13.5,0.16,Hecale,F,PF,0.189,41,52
HL8,7.0,2022-05-27,13:30:00,0.5625,13.5,0.165,Hecale,F,PF,0.179,40,77
HL11,7.0,2022-05-27,13:30:00,0.5625,13.5,0.215,Hecale,F,PF,0.31,43,55
HL7,7.0,2022-05-27,13:30:00,0.5625,13.5,0.201,Hecale,F,PF,0.182,40,119
HL54,3.0,2022-05-27,13:30:00,0.5625,13.5,0.2,Hecale,F,PD,0.217,41,29
HL55,3.0,2022-05-30,12:24:00,0.5167,12.4,0.144,Hecale,M,PD,0.168,40,59
HL15,7.0,2022-05-30,12:24:00,0.5167,12.4,0.258,Hecale,M,PF,0.27,47,86
HL14,7.0,2022-05-30,12:55:00,0.5382,12.92,0.19,Hecale,F,PF,0.213,40,63
HL1,11.0,2022-05-30,12:55:00,0.5382,12.92,0.156,Hecale,F,PF,0.142,37,119
DL7,1.0,2022-06-01,13:10:00,0.5486,13.17,0.144,Dryas,M,PF,0.164,41,27
HL59,1.0,2022-06-01,13:10:00,0.5486,13.17,0.221,Hecale,M,PD,0.279,44,41
HL38,5.0,2022-06-01,13:10:00,0.5486,13.17,0.276,Hecale,F,PD,0.264,45,76
HL40,5.0,2022-06-01,13:10:00,0.5486,13.17,0.157,Hecale,M,PD,0.204,44,38
HL45,5.0,2022-06-01,13:10:00,0.5486,13.17,0.283,Hecale,F,PD,0.248,45,106
HL17,7.0,2022-06-01,13:10:00,0.5486,13.17,0.146,Hecale,M,PF,0.171,39,77
HL18,7.0,2022-06-01,13:10:00,0.5486,13.17,0.166,Hecale,M,PF,0.192,40,77
HL19,7.0,2022-06-01,13:10:00,0.5486,13.17,0.163,Hecale,M,PF,0.191,40,54
HL48,5.0,2022-06-03,13:02:00,0.5431,13.03,0.13,Hecale,F,PD,0.135,33,40
DL9,1.0,2022-06-03,13:02:00,0.5431,13.03,0.209,Dryas,F,PF,0.214,42,8
HL27,7.0,2022-06-03,13:02:00,0.5431,13.03,0.115,Hecale,F,PD,0.145,37,52
HL47,5.0,2022-06-03,13:02:00,0.5431,13.03,0.23,Hecale,F,PD,0.289,40,74
HL24,7.0,2022-06-03,13:02:00,0.5431,13.03,0.174,Hecale,F,PF,0.166,40,112
DL10,1.0,2022-06-03,13:02:00,0.5431,13.03,0.214,Dryas,M,PF,0.239,42,24
HL50,5.0,2022-06-03,13:02:00,0.5431,13.03,0.207,Hecale,M,PD,0.303,45,66
HL21,7.0,2022-06-03,13:02:00,0.5431,13.03,0.218,Hecale,M,PF,0.247,46,96
DL11,1.0,2022-06-03,13:02:00,0.5431,13.03,0.148,Dryas,M,PF,0.2,43,26
HL32,7.0,2022-06-06,13:24:00,0.5583,13.4,0.142,Hecale,F,PD,0.181,41,57
HL52,5.0,2022-06-06,13:24:00,0.5583,13.4,0.158,Hecale,M,PD,0.208,44,38
HL60,1.0,2022-06-06,13:24:00,0.5583,13.4,0.207,Hecale,F,PF,0.238,45,71
HL4,9.0,2022-06-06,13:24:00,0.5583,13.4,0.224,Hecale,F,PF,0.284,39,87
HL35,7.0,2022-06-08,12:46:00,0.5319,12.77,0.156,Hecale,F,PD,0.164,40,76
HL33,7.0,2022-06-08,12:46:00,0.5319,12.77,0.211,Hecale,M,PF,0.232,43,78
DL4,3.0,2022-06-08,12:46:00,0.5319,12.77,0.234,Dryas,F,PD,0.252,44,22
HL1,13.0,2022-06-10,13:53:00,0.5785,13.88,0.152,Hecale,F,PF,0.142,37,119
HL8,9.0,2022-06-10,13:53:00,0.5785,13.88,0.194,Hecale,F,PF,0.179,40,77
HL7,9.0,2022-06-10,13:53:00,0.5785,13.88,0.176,Hecale,F,PF,0.182,40,119
HL12,9.0,2022-06-10,13:53:00,0.5785,13.88,0.12,Hecale,M,PF,0.134,37,76
HL5,9.0,2022-06-10,13:53:00,0.5785,13.88,0.161,Hecale,M,PF,0.211,40,83
HL13,9.0,2022-06-10,13:53:00,0.5785,13.88,0.186,Hecale,M,PF,0.286,40,81
HL55,5.0,2022-06-13,12:53:00,0.5368,12.88,0.122,Hecale,M,PD,0.168,40,59
HL62,1.0,2022-06-13,12:53:00,0.5368,12.88,0.181,Hecale,M,PD,0.225,43,65
HL63,1.0,2022-06-13,12:53:00,0.5368,12.88,0.216,Hecale,F,PD,0.236,45,63
HL15,9.0,2022-06-13,12:53:00,0.5368,12.88,0.226,Hecale,M,PF,0.27,47,86
DL13,1.0,2022-06-15,12:17:00,0.5118,12.28,0.194,Dryas,F,PD,0.248,47,20
DL14,1.0,2022-06-15,12:17:00,0.5118,12.28,0.156,Dryas,M,PD,0.213,45,22
HL17,9.0,2022-06-15,12:17:00,0.5118,12.28,0.138,Hecale,M,PF,0.171,39,77
DL7,3.0,2022-06-15,12:17:00,0.5118,12.28,0.121,Dryas,M,PF,0.164,41,27
DL16,1.0,2022-06-15,12:17:00,0.5118,12.28,0.25,Dryas,F,PD,0.197,42,30
HL59,3.0,2022-06-15,12:17:00,0.5118,12.28,0.196,Hecale,M,PD,0.279,44,41
DL15,1.0,2022-06-15,12:17:00,0.5118,12.28,0.156,Dryas,F,PD,0.167,40,29
HL45,7.0,2022-06-15,12:17:00,0.5118,12.28,0.236,Hecale,F,PD,0.248,45,106
DL17,1.0,2022-06-15,12:17:00,0.5118,12.28,0.19,Dryas,F,PD,0.187,41,7
HL38,7.0,2022-06-15,12:17:00,0.5118,12.28,0.216,Hecale,F,PD,0.264,45,76
DL12,1.0,2022-06-15,12:17:00,0.5118,12.28,0.204,Dryas,F,PF,0.219,44,31
HL18,9.0,2022-06-15,12:17:00,0.5118,12.28,0.152,Hecale,M,PF,0.192,40,77
HL21,9.0,2022-06-17,13:30:00,0.5625,13.5,0.224,Hecale,M,PF,0.247,46,96
HL24,9.0,2022-06-17,13:30:00,0.5625,13.5,0.196,Hecale,F,PF,0.166,40,112
HL47,7.0,2022-06-17,13:30:00,0.5625,13.5,0.23,Hecale,F,PD,0.289,40,74
HL50,7.0,2022-06-17,13:30:00,0.5625,13.5,0.216,Hecale,M,PD,0.303,45,66
DL10,3.0,2022-06-17,13:30:00,0.5625,13.5,0.149,Dryas,M,PF,0.239,42,24
DL11,3.0,2022-06-17,13:30:00,0.5625,13.5,0.136,Dryas,M,PF,0.2,43,26
DL18,1.0,2022-06-17,13:30:00,0.5625,13.5,0.174,Dryas,M,PD,0.186,43,50
DL19,1.0,2022-06-17,13:30:00,0.5625,13.5,0.166,Dryas,M,PD,0.216,44,32
DL20,1.0,2022-06-17,13:30:00,0.5625,13.5,0.184,Dryas,F,PF,0.157,40,23
HL60,3.0,2022-06-20,13:00:00,0.5417,13.0,0.224,Hecale,F,PF,0.238,45,71
HL4,11.0,2022-06-20,13:00:00,0.5417,13.0,0.192,Hecale,F,PF,0.284,39,87
HL33,9.0,2022-06-22,13:15:00,0.5521,13.25,0.202,Hecale,M,PF,0.232,43,78
DL22,1.0,2022-06-22,13:15:00,0.5521,13.25,0.136,Dryas,M,PF,0.177,40,41
HL35,9.0,2022-06-22,13:15:00,0.5521,13.25,0.142,Hecale,F,PD,0.164,40,76
DL24,1.0,2022-06-24,11:51:00,0.4938,11.85,0.176,Dryas,M,PF,0.2,43,48
DL23,1.0,2022-06-24,11:51:00,0.4938,11.85,0.176,Dryas,M,PD,0.185,40,32
HL13,11.0,2022-06-24,11:51:00,0.4938,11.85,0.2,Hecale,M,PF,0.286,40,81
HL5,11.0,2022-06-24,11:51:00,0.4938,11.85,0.176,Hecale,M,PF,0.211,40,83
HL12,11.0,2022-06-24,11:51:00,0.4938,11.85,0.12,Hecale,M,PF,0.134,37,76
HL8,11.0,2022-06-24,13:10:00,0.5486,13.17,0.191,Hecale,F,PF,0.179,40,77
HL7,11.0,2022-06-24,13:10:00,0.5486,13.17,0.211,Hecale,F,PF,0.182,40,119
HL1,15.0,2022-06-24,13:10:00,0.5486,13.17,0.145,Hecale,F,PF,0.142,37,119
HL55,7.0,2022-06-27,11:15:00,0.4688,11.25,0.137,Hecale,M,PD,0.168,40,59
HL15,11.0,2022-06-27,11:15:00,0.4688,11.25,0.272,Hecale,M,PF,0.27,47,86
HL62,3.0,2022-06-27,11:15:00,0.4688,11.25,0.197,Hecale,M,PD,0.225,43,65
HL63,3.0,2022-06-27,13:15:00,0.5521,13.25,0.188,Hecale,F,PD,0.236,45,63
DL25,1.0,2022-06-27,13:15:00,0.5521,13.25,0.245,Dryas,F,PF,0.244,43,18
DL14,3.0,2022-06-29,12:00:00,0.5,12.0,0.126,Dryas,M,PD,0.213,45,22
HL59,5.0,2022-06-29,12:00:00,0.5,12.0,0.189,Hecale,M,PD,0.279,44,41
DL15,3.0,2022-06-29,12:00:00,0.5,12.0,0.158,Dryas,F,PD,0.167,40,29
HL45,9.0,2022-06-29,12:30:00,0.5208,12.5,0.205,Hecale,F,PD,0.248,45,106
DL12,3.0,2022-06-29,12:30:00,0.5208,12.5,0.175,Dryas,F,PF,0.219,44,31
HL38,9.0,2022-06-29,12:30:00,0.5208,12.5,0.197,Hecale,F,PD,0.264,45,76
DL16,3.0,2022-06-29,12:30:00,0.5208,12.5,0.209,Dryas,F,PD,0.197,42,30
HL21,11.0,2022-07-01,12:40:00,0.5278,12.67,0.221,Hecale,M,PF,0.247,46,96
DL18,3.0,2022-07-01,12:40:00,0.5278,12.67,0.141,Dryas,M,PD,0.186,43,50
HL24,11.0,2022-07-01,12:40:00,0.5278,12.67,0.205,Hecale,F,PF,0.166,40,112
DL19,3.0,2022-07-01,12:40:00,0.5278,12.67,0.143,Dryas,M,PD,0.216,44,32
HL47,9.0,2022-07-01,12:40:00,0.5278,12.67,0.222,Hecale,F,PD,0.289,40,74
DL20,3.0,2022-07-01,12:40:00,0.5278,12.67,0.164,Dryas,F,PF,0.157,40,23
HL60,5.0,2022-07-04,13:20:00,0.5556,13.33,0.218,Hecale,F,PF,0.238,45,71
DL26,1.0,2022-07-04,13:20:00,0.5556,13.33,0.257,Dryas,M,PF,0.265,46,21
HL67,1.0,2022-07-06,12:30:00,0.5208,12.5,0.248,Hecale,M,PF,0.265,43,40
DL30,1.0,2022-07-06,12:30:00,0.5208,12.5,0.167,Dryas,M,PD,0.193,42,22
DL29,1.0,2022-07-06,12:30:00,0.5208,12.5,0.165,Dryas,M,PD,0.188,42,29
DL27,1.0,2022-07-06,12:30:00,0.5208,12.5,0.157,Dryas,M,PF,0.189,42,24
DL22,3.0,2022-07-06,12:30:00,0.5208,12.5,0.131,Dryas,M,PF,0.177,40,41
HL69,1.0,2022-07-06,12:30:00,0.5208,12.5,0.254,Hecale,F,PD,0.278,43,48
HL66,1.0,2022-07-06,12:30:00,0.5208,12.5,0.184,Hecale,F,PF,0.175,39,44
HL68,1.0,2022-07-06,12:30:00,0.5208,12.5,0.266,Hecale,F,PD,0.299,46,28
HL72,1.0,2022-07-08,12:20:00,0.5139,12.33,0.154,Hecale,M,PD,0.182,39,49
HL70,1.0,2022-07-08,12:20:00,0.5139,12.33,0.192,Hecale,M,PF,0.217,42,19
HL71,1.0,2022-07-08,12:20:00,0.5139,12.33,0.214,Hecale,M,PD,0.244,43,74
DL24,3.0,2022-07-08,12:20:00,0.5139,12.33,0.149,Dryas,M,PF,0.2,43,48
DL32,1.0,2022-07-08,12:20:00,0.5139,12.33,0.178,Dryas,M,PF,0.154,42,29
DL33,1.0,2022-07-08,12:20:00,0.5139,12.33,0.207,Dryas,M,PF,0.26,43,27
DL23,3.0,2022-07-08,12:20:00,0.5139,12.33,0.104,Dryas,M,PD,0.185,40,32
HL7,13.0,2022-07-08,12:20:00,0.5139,12.33,0.166,Hecale,F,PF,0.182,40,119
DL35,1.0,2022-07-08,12:20:00,0.5139,12.33,0.183,Dryas,F,PD,0.247,42,35
HL1,17.0,2022-07-08,12:20:00,0.5139,12.33,0.111,Hecale,F,PF,0.142,37,119
DL34,1.0,2022-07-08,12:20:00,0.5139,12.33,0.248,Dryas,F,PD,0.181,40,29
HL77,1.0,2022-07-11,13:30:00,0.5625,13.5,0.226,Hecale,M,PF,0.235,44,66
HL74,1.0,2022-07-11,13:30:00,0.5625,13.5,0.214,Hecale,F,PF,0.249,44,35
HL62,5.0,2022-07-11,13:30:00,0.5625,13.5,0.174,Hecale,M,PD,0.225,43,65
HL75,1.0,2022-07-11,13:30:00,0.5625,13.5,0.166,Hecale,F,PD,0.176,41,40
HL63,5.0,2022-07-11,13:30:00,0.5625,13.5,0.167,Hecale,F,PD,0.236,45,63
HL45,11.0,2022-07-13,14:15:00,0.5938,14.25,0.183,Hecale,F,PD,0.248,45,106
HL21,13.0,2022-07-15,13:30:00,0.5625,13.5,0.2,Hecale,M,PF,0.247,46,96
HL24,13.0,2022-07-15,13:30:00,0.5625,13.5,0.186,Hecale,F,PF,0.166,40,112
DL38,1.0,2022-07-15,13:30:00,0.5625,13.5,0.092,Dryas,M,PD,0.133,38,9
DL37,1.0,2022-07-15,13:30:00,0.5625,13.5,0.175,Dryas,M,PD,0.205,41,22
DL18,5.0,2022-07-15,13:30:00,0.5625,13.5,0.118,Dryas,M,PD,0.186,43,50
DL40,1.0,2022-07-18,13:30:00,0.5625,13.5,0.174,Dryas,F,PD,0.164,40,22
DL42,1.0,2022-07-18,13:30:00,0.5625,13.5,0.147,Dryas,M,PF,0.16,40,35
HL60,7.0,2022-07-18,13:30:00,0.5625,13.5,0.199,Hecale,F,PF,0.238,45,71
DL41,1.0,2022-07-18,13:30:00,0.5625,13.5,0.12,Dryas,M,PF,0.184,37,28
DL43,1.0,2022-07-18,13:30:00,0.5625,13.5,0.228,Dryas,F,PF,0.206,42,29
HL68,3.0,2022-07-20,12:00:00,0.5,12.0,0.225,Hecale,F,PD,0.299,46,28
DL44,1.0,2022-07-20,12:00:00,0.5,12.0,0.095,Dryas,F,PD,0.085,31,29
HL67,3.0,2022-07-20,12:00:00,0.5,12.0,0.208,Hecale,M,PF,0.265,43,40
DL27,3.0,2022-07-20,12:00:00,0.5,12.0,0.133,Dryas,M,PF,0.189,42,24
DL22,5.0,2022-07-20,12:00:00,0.5,12.0,0.125,Dryas,M,PF,0.177,40,41
DL30,3.0,2022-07-20,12:00:00,0.5,12.0,0.141,Dryas,M,PD,0.193,42,22
DL29,3.0,2022-07-20,12:00:00,0.5,12.0,0.137,Dryas,M,PD,0.188,42,29
HL69,3.0,2022-07-20,12:00:00,0.5,12.0,0.23,Hecale,F,PD,0.278,43,48
HL7,15.0,2022-07-22,14:18:00,0.5958,14.3,0.171,Hecale,F,PF,0.182,40,119
DL35,3.0,2022-07-22,14:18:00,0.5958,14.3,0.228,Dryas,F,PD,0.247,42,35
HL79,1.0,2022-07-22,14:18:00,0.5958,14.3,0.246,Hecale,F,PF,0.224,44,115
DL34,3.0,2022-07-22,14:18:00,0.5958,14.3,0.16,Dryas,F,PD,0.181,40,29
HL81,1.0,2022-07-22,14:18:00,0.5958,14.3,0.209,Hecale,F,PD,0.208,42,75
DL24,5.0,2022-07-22,14:18:00,0.5958,14.3,0.13,Dryas,M,PF,0.2,43,48
DL32,3.0,2022-07-22,14:18:00,0.5958,14.3,0.121,Dryas,M,PF,0.154,42,29
HL80,1.0,2022-07-22,14:18:00,0.5958,14.3,0.172,Hecale,M,PD,0.197,43,40
DL33,3.0,2022-07-22,14:18:00,0.5958,14.3,0.164,Dryas,M,PF,0.26,43,27
HL72,3.0,2022-07-22,14:18:00,0.5958,14.3,0.137,Hecale,M,PD,0.182,39,49
HL71,3.0,2022-07-22,14:18:00,0.5958,14.3,0.208,Hecale,M,PD,0.244,43,74
HL77,3.0,2022-07-25,13:30:00,0.5625,13.5,0.215,Hecale,M,PF,0.235,44,66
HL62,7.0,2022-07-25,13:30:00,0.5625,13.5,0.155,Hecale,M,PD,0.225,43,65
HL74,3.0,2022-07-25,13:30:00,0.5625,13.5,0.241,Hecale,F,PF,0.249,44,35
HL75,3.0,2022-07-25,13:30:00,0.5625,13.5,0.157,Hecale,F,PD,0.176,41,40
