ID,Species_specific,Species,Sex,Eclosed,Released,Max_age,Last.sighted,Death,Notes
Do10,Doris,H_doris,M,2022-03-18,2022-03-18,,#N/A,,Ecuador
Do11,Doris,H_doris,F,2022-03-18,2022-03-18,3,2022-03-21,,Ecuador
Do12,Doris,H_doris,F,2022-03-18,2022-03-18,8,2022-03-26,,Ecuador
Do13,Doris,H_doris,F,2022-03-18,2022-03-18,,#N/A,,Ecuador
Do14,Doris,H_doris,F,2022-03-18,2022-03-18,11,2022-03-29,,Ecuador
Do15,Doris,H_doris,F,2022-03-18,2022-03-18,5,2022-03-23,,Ecuador
Do16,Doris,H_doris,M,2022-03-18,2022-03-18,8,2022-03-26,,Ecuador
Do17,Doris,H_doris,M,2022-03-18,2022-03-18,7,2022-03-25,,Ecuador
Do18,Doris,H_doris,F,2022-03-18,2022-03-18,26,2022-04-13,,Ecuador
Do19,Doris,H_doris,F,2022-03-18,2022-03-18,26,2022-04-13,,Ecuador
Do2,Doris,H_doris,F,2022-03-18,2022-03-18,27,2022-04-14,,Ecuador
Do20,Doris,H_doris,F,2022-03-18,2022-03-18,12,2022-03-30,,Ecuador
Do21,Doris,H_doris,F,2022-03-18,2022-03-18,25,2022-04-12,,Ecuador
Do22,Doris,H_doris,F,2022-03-18,2022-03-18,14,2022-04-01,,Ecuador
Do23,Doris,H_doris,M,2022-03-18,2022-03-18,7,2022-03-25,,Ecuador
Do24,Doris,H_doris,M,2022-03-18,2022-03-18,27,2022-04-14,,Ecuador
Do25,Doris,H_doris,F,2022-03-18,2022-03-18,21,2022-04-08,,Ecuador
Do26,Doris,H_doris,M,2022-03-18,2022-03-18,7,2022-03-25,,Ecuador
Do27,Doris,H_doris,M,2022-03-18,2022-03-18,,#N/A,,Ecuador
Do28,Doris,H_doris,M,2022-03-18,2022-03-18,,#N/A,,Ecuador
Do29,Doris,H_doris,M,2022-03-18,2022-03-18,7,2022-03-25,,Ecuador
Do3,Doris,H_doris,F,2022-03-18,2022-03-18,21,2022-04-08,,Ecuador
Do30,Doris,H_doris,M,2022-03-18,2022-03-18,,#N/A,,Ecuador
Do4,Doris,H_doris,M,2022-03-18,2022-03-18,25,2022-04-12,,Ecuador
Do5,Doris,H_doris,F,2022-03-18,2022-03-18,26,2022-04-13,,Ecuador
Do6,Doris,H_doris,F,2022-03-18,2022-03-18,24,2022-04-11,,Ecuador
Do7,Doris,H_doris,F,2022-03-18,2022-03-18,26,2022-04-13,,Ecuador
Do8,Doris,H_doris,F,2022-03-18,2022-03-18,,#N/A,,Ecuador
Do9,Doris,H_doris,M,2022-03-18,2022-03-18,35,2022-04-22,,Ecuador
Di29,Dione juno,D_juno,F,2022-03-19,2022-03-19,,#N/A,,
Di30,Dione juno,D_juno,F,2022-03-19,2022-03-19,,#N/A,,
Di31,Dione juno,D_juno,F,2022-03-19,2022-03-19,2,2022-03-21,,
Di32,Dione juno,D_juno,F,2022-03-19,2022-03-19,2,2022-03-21,,
Di33,Dione juno,D_juno,M,2022-03-19,2022-03-19,7,2022-03-26,,
Di34,Dione juno,D_juno,F,2022-03-19,2022-03-19,,#N/A,,
Di35,Dione juno,D_juno,M,2022-03-19,2022-03-19,11,2022-03-30,,
Di36,Dione juno,D_juno,M,2022-03-20,2022-03-20,,#N/A,,
Di37,Dione juno,D_juno,F,2022-03-20,2022-03-20,,#N/A,,
Di38,Dione juno,D_juno,M,2022-03-20,2022-03-20,,#N/A,,
Di39,Dione juno,D_juno,M,2022-03-20,2022-03-20,,#N/A,,
Di40,Dione juno,D_juno,M,2022-03-20,2022-03-20,,#N/A,,
Di41,Dione juno,D_juno,M,2022-03-20,2022-03-20,,#N/A,,
Do31,Doris,H_doris,M,2022-03-20,2022-03-20,22,2022-04-11,,Panama
Di42,Dione juno,D_juno,M,2022-03-21,2022-03-21,,#N/A,,
Di43,Dione juno,D_juno,M,2022-03-21,2022-03-21,,#N/A,,
Di44,Dione juno,D_juno,M,2022-03-21,2022-03-21,,#N/A,,
D46,Dryas,D_iulia,M,2022-03-07,2022-03-23,,#N/A,,cognitive
D47,Dryas,D_iulia,M,2022-03-09,2022-03-23,16,2022-03-25,,cognitive
Eu18,Eueides isabella,E_isabella,M,2022-03-24,2022-03-24,2,2022-03-26,,
Cyd1,Cydno chioneus,H_cydno,M,2022-03-24,2022-03-24,55,2022-05-18,,
Cyd2,Cydno chioneus,H_cydno,F,2022-03-24,,5,2022-03-29,,
Cyd3,Cydno chioneus,H_cydno,M,2022-03-24,2022-03-24,8,2022-04-01,,
Cyr1,Erato cyrbia,H_erato,M,2022-03-24,2022-03-24,18,2022-04-11,,
Di45,Dione juno,D_juno,M,2022-03-24,2022-03-24,,#N/A,,crumpled wing
D49,Dryas,D_iulia,M,2022-03-13,2022-03-24,,#N/A,,cognitive
D50,Dryas,D_iulia,M,2022-03-13,2022-03-24,23,2022-04-05,,cognitive
D48,Dryas,D_iulia,F,2022-03-09,2022-03-25,,#N/A,,cognitive
Ec1,Melpomene ecuadorensis,H_melpomene,M,2022-03-26,2022-03-26,101,2022-07-05,,
Ec2,Melpomene ecuadorensis,H_melpomene,F,2022-03-26,2022-03-26,23,2022-04-18,,
R4,Melpomene rosina,H_melpomene,F,2022-03-26,2022-03-26,,#N/A,,
Sap1,Sapho sapho,H_sapho,F,2022-03-25,2022-03-25,39,2022-05-03,,
Pac1,Pachinus,H_pachinus,M,2022-03-27,2022-03-27,10,2022-04-06,,
Eu19,Eueides isabella,E_isabella,F,2022-03-29,2022-03-29,1,2022-03-30,,
Cyd4,Cydno chioneus,H_cydno,M,2022-03-31,2022-03-31,35,2022-05-05,,
Pac2,Pachinus,H_pachinus,M,2022-03-31,2022-03-31,49,2022-05-19,,
Ec3,Melpomene ecuadorensis,H_melpomene,M,2022-03-31,2022-03-31,53,2022-05-23,,
D53,Dryas,D_iulia,M,2022-03-15,2022-03-31,,#N/A,,
Sap2,Sapho sapho,H_sapho,M,2022-04-01,2022-04-01,,#N/A,,
At1,Atthis,H_atthis,M,2022-04-01,2022-04-01,46,2022-05-17,,
Lat1,Erato lattivita,H_erato,M,2022-04-02,2022-04-02,,#N/A,,
Zu1,Hecale zuleika,H_hecale,M,2022-04-02,2022-04-02,59,2022-05-31,,
Zu2,Hecale zuleika,H_hecale,M,2022-04-04,2022-04-04,78,2022-06-21,,
Zu3,Hecale zuleika,H_hecale,M,2022-04-04,2022-04-04,22,2022-04-26,,
Sar1,Sara,H_sara,F,2022-04-04,2022-04-04,74,2022-06-17,,
Sar2,Sara,H_sara,F,2022-04-04,2022-04-04,86,2022-06-29,,
Sar3,Sara,H_sara,M,2022-04-04,2022-04-04,31,2022-05-05,,
Sap3,Sapho sapho,H_sapho,M,2022-04-06,2022-04-06,27,2022-05-03,,
Sap4,Sapho sapho,H_sapho,F,2022-04-06,2022-04-06,29,2022-05-05,,
Sap5,Sapho sapho,H_sapho,M,2022-04-06,2022-04-06,55,2022-05-31,,
Hew1,Hewitsoni,H_hewitsoni,M,2022-04-06,2022-04-06,41,2022-05-17,,
R5,Melpomene rosina,H_melpomene,M,2022-04-06,2022-04-06,92,2022-07-07,,
Sap6,Sapho sapho,H_sapho,M,2022-04-07,2022-04-07,95,2022-07-11,,
Hew2,Hewitsoni,H_hewitsoni,M,2022-04-07,2022-04-07,,#N/A,,
R6,Melpomene rosina,H_melpomene,M,2022-04-07,2022-03-07,47,2022-05-24,,
R7,Melpomene rosina,H_melpomene,M,2022-04-08,2022-04-08,25,2022-05-03,,
R8,Melpomene rosina,H_melpomene,M,2022-04-08,2022-04-08,61,2022-06-08,,
R9,Melpomene rosina,H_melpomene,M,2022-04-08,2022-04-08,,#N/A,,
Sap7,Sapho sapho,H_sapho,M,2022-04-08,2022-04-08,25,2022-05-03,,
Sap8,Sapho sapho,H_sapho,F,2022-04-08,2022-04-08,67,2022-06-14,,
Sap9,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,73,2022-06-21,,
Sap10,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,67,2022-06-15,,
Sap11,Sapho sapho,H_sapho,F,2022-04-09,2022-04-09,60,2022-06-08,,
Sap12,Sapho sapho,H_sapho,F,2022-04-09,2022-04-09,61,2022-06-09,,
Sap13,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,129,2022-08-16,,
Sap14,Sapho sapho,H_sapho,F,2022-04-09,2022-04-09,143,2022-08-30,,
Sap15,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,129,2022-08-16,,
Sap16,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,52,2022-05-31,,
Sap17,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,67,2022-06-15,,
Sap18,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,52,2022-05-31,,
Sap19,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,26,2022-05-05,,
Sap20,Sapho sapho,H_sapho,F,2022-04-09,2022-04-09,12,2022-04-21,,
Sap21,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,67,2022-06-15,,
Sap22,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,68,2022-06-16,,
Sap23,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,67,2022-06-15,,
Sap24,Sapho sapho,H_sapho,F,2022-04-09,2022-04-09,3,2022-04-12,,
Sap25,Sapho sapho,H_sapho,F,2022-04-09,2022-04-09,12,2022-04-21,,
Sap26,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,60,2022-06-08,,
Sap27,Sapho sapho,H_sapho,M,2022-04-09,2022-04-09,96,2022-07-14,,
R10,Melpomene rosina,H_melpomene,M,2022-04-09,2022-04-09,,#N/A,,
R11,Melpomene rosina,H_melpomene,M,2022-04-09,2022-04-09,52,2022-05-31,,
R12,Melpomene rosina,H_melpomene,M,2022-04-09,2022-04-09,73,2022-06-21,,
E20,Erato demophoon,H_erato,M,2022-04-10,2022-04-10,86,2022-07-05,,
E21,Erato demophoon,H_erato,M,2022-04-10,2022-04-10,59,2022-06-08,,
Sar21,Sara,H_sara,M,2022-04-11,2022-04-11,11,2022-04-22,,
Sar22,Sara,H_sara,F,2022-04-11,2022-04-11,36,2022-05-17,,
Sar23,Sara,H_sara,M,2022-04-11,2022-04-11,14,2022-04-25,,
Sar24,Sara,H_sara,F,2022-04-11,2022-04-11,,#N/A,,
Sar25,Sara,H_sara,M,2022-04-11,2022-04-11,24,2022-05-05,,
Sar26,Sara,H_sara,F,2022-04-11,2022-04-11,18,2022-04-29,,
Sar27,Sara,H_sara,M,2022-04-11,2022-04-11,22,2022-05-03,,
Sar28,Sara,H_sara,M,2022-04-11,2022-04-11,22,2022-05-03,,
Sar29,Sara,H_sara,M,2022-04-11,2022-04-11,1,2022-04-12,,
Sar30,Sara,H_sara,F,2022-04-11,2022-04-11,3,2022-04-14,,
Sar31,Sara,H_sara,F,2022-04-11,2022-04-11,,#N/A,,
Sar32,Sara,H_sara,F,2022-04-11,2022-04-11,25,2022-05-06,,
Sar33,Sara,H_sara,M,2022-04-11,2022-04-11,1,2022-04-12,,
Sar34,Sara,H_sara,M,2022-04-11,2022-04-11,,#N/A,,
Sar35,Sara,H_sara,M,2022-04-11,2022-04-11,,#N/A,,
Sar36,Sara,H_sara,F,2022-04-11,2022-04-11,38,2022-05-19,,
Sar37,Sara,H_sara,F,2022-04-11,2022-04-11,18,2022-04-29,,
Sar38,Sara,H_sara,F,2022-04-11,2022-04-11,24,2022-05-05,,
Sar39,Sara,H_sara,F,2022-04-11,2022-04-11,,#N/A,,
Sar40,Sara,H_sara,M,2022-04-11,2022-04-11,15,2022-04-26,,
Sar41,Sara,H_sara,M,2022-04-11,2022-04-11,9,2022-04-20,,
Sar42,Sara,H_sara,M,2022-04-11,2022-04-11,25,2022-05-06,,
Sar43,Sara,H_sara,M,2022-04-11,2022-04-11,7,2022-04-18,,
Sar44,Sara,H_sara,M,2022-04-11,2022-04-11,25,2022-05-06,,
Sar45,Sara,H_sara,F,2022-04-11,2022-04-11,,#N/A,,
R13,Melpomene rosina,H_melpomene,M,2022-04-11,2022-04-11,79,2022-06-29,,"labelled 2x rosina males 13, re label one if found"
R14,Melpomene rosina,H_melpomene,M,2022-04-11,2022-04-11,81,2022-07-01,,
R15,Melpomene rosina,H_melpomene,M,2022-04-11,2022-04-11,94,2022-07-14,,
Eu20,Eueides isabella,E_isabella,M,2022-04-11,2022-04-11,,#N/A,,
Hew3,Hewitsoni,H_hewitsoni,M,2022-04-11,2022-04-11,9,2022-04-20,,
Pac3,Pachinus,H_pachinus,M,2022-04-12,2022-04-12,58,2022-06-09,,
Ch1,Charitonia,H_charitonia,M,2022-04-12,2022-04-12,22,2022-05-04,,
R19,Melpomene rosina,H_melpomene,M,2022-04-12,2022-04-12,34,2022-05-16,,
R17,Melpomene rosina,H_melpomene,M,2022-04-13,2022-04-13,37,2022-05-20,,
R20,Melpomene rosina,H_melpomene,M,2022-04-13,2022-04-13,56,2022-06-08,,
R21,Melpomene rosina,H_melpomene,M,2022-04-13,2022-04-13,15,2022-04-28,,
R22,Melpomene rosina,H_melpomene,M,2022-04-13,2022-04-13,37,2022-05-20,,
Sar4,Sara,H_sara,M,2022-04-13,2022-04-13,1,2022-04-14,,
Sar5,Sara,H_sara,M,2022-04-13,2022-04-13,43,2022-05-26,,
Sar6,Sara,H_sara,M,2022-04-13,2022-04-13,13,2022-04-26,,
Sar7,Sara,H_sara,M,2022-04-13,2022-04-13,,#N/A,,
Sar8,Sara,H_sara,M,2022-04-13,2022-04-13,1,2022-04-14,,
Sar9,Sara,H_sara,F,2022-04-13,2022-04-13,,#N/A,,
Eu21,Eueides isabella,E_isabella,F,2022-04-14,2022-04-14,4,2022-04-18,,
Eu22,Eueides isabella,E_isabella,M,2022-04-14,2022-04-14,,#N/A,,
At2,Atthis,H_atthis,M,2022-04-14,2022-04-14,,#N/A,,
Eu23,Eueides isabella,E_isabella,F,2022-04-15,2022-04-16,,#N/A,,
Eu24,Eueides isabella,E_isabella,F,2022-04-15,2022-04-16,6,2022-04-21,,
At3,Atthis,H_atthis,F,2022-04-15,2022-04-16,33,2022-05-18,,
R23,Melpomene rosina,H_melpomene,F,2022-04-15,2022-04-16,70,2022-06-24,,
R24,Melpomene rosina,H_melpomene,F,2022-04-15,2022-04-16,76,2022-06-30,,
R25,Melpomene rosina,H_melpomene,M,2022-04-16,2022-04-16,54,2022-06-09,,
R26,Melpomene rosina,H_melpomene,M,2022-04-16,2022-04-16,62,2022-06-17,,
R27,Melpomene rosina,H_melpomene,F,2022-04-17,2022-04-17,80,2022-07-06,,
R28,Melpomene rosina,H_melpomene,F,2022-04-17,2022-04-17,102,2022-07-28,,
R29,Melpomene rosina,H_melpomene,F,2022-04-17,2022-04-17,31,2022-05-18,,weird wings
R30,Melpomene rosina,H_melpomene,F,2022-04-17,2022-04-17,44,2022-05-31,,
R31,Melpomene rosina,H_melpomene,F,2022-04-17,2022-04-17,12,2022-04-29,,
R32,Melpomene rosina,H_melpomene,F,2022-04-17,2022-04-17,44,2022-05-31,,
R33,Melpomene rosina,H_melpomene,F,2022-04-17,2022-04-17,88,2022-07-14,,
R34,Melpomene rosina,H_melpomene,F,2022-04-17,2022-04-17,18,2022-05-05,,
R35,Melpomene rosina,H_melpomene,F,2022-04-17,2022-04-17,79,2022-07-05,,
At4,Atthis,H_atthis,M,2022-04-17,2022-04-17,44,2022-05-31,,
At5,Atthis,H_atthis,F,2022-04-17,2022-04-17,,#N/A,,
At6,Atthis,H_atthis,M,2022-04-17,2022-04-17,12,2022-04-29,,
At7,Atthis,H_atthis,F,2022-04-17,2022-04-17,,#N/A,,
At8,Atthis,H_atthis,M,2022-04-17,2022-04-17,31,2022-05-18,,
Pac4,Pachinus,H_pachinus,M,2022-04-17,2022-04-17,39,2022-05-26,,
Ec4,Melpomene ecuadorensis,H_melpomene,F,2022-04-17,2022-04-17,12,2022-04-29,,
Ec5,Melpomene ecuadorensis,H_melpomene,F,2022-04-17,2022-04-17,40,2022-05-27,,
Sar10,Sara,H_sara,M,2022-04-17,2022-04-18,,#N/A,,Ecuador
Sar11,Sara,H_sara,M,2022-04-17,2022-04-18,39,2022-05-26,,Ecuador
Sar12,Sara,H_sara,M,2022-04-17,2022-04-18,44,2022-05-31,,Ecuador
Sar13,Sara,H_sara,F,2022-04-17,2022-04-18,37,2022-05-24,,Ecuador
Sar14,Sara,H_sara,F,2022-04-17,2022-04-18,1,2022-04-18,,Ecuador
Sar15,Sara,H_sara,F,2022-04-17,2022-04-18,1,2022-04-18,,Ecuador
Sar16,Sara,H_sara,F,2022-04-17,2022-04-18,,#N/A,,Ecuador
Sar17,Sara,H_sara,M,2022-04-17,2022-04-18,60,2022-06-16,,Ecuador
Sar18,Sara,H_sara,M,2022-04-17,2022-04-18,60,2022-06-16,,Ecuador
Sar19,Sara,H_sara,F,2022-04-17,2022-04-18,75,2022-07-01,,Ecuador
Sar20,Sara,H_sara,M,2022-04-17,2022-04-18,,#N/A,,Ecuador
Sar46,Sara,H_sara,F,2022-04-17,2022-04-18,,#N/A,,Ecuador
Sar47,Sara,H_sara,M,2022-04-17,2022-04-18,39,2022-05-26,,Ecuador
Sar48,Sara,H_sara,F,2022-04-17,2022-04-18,1,2022-04-18,,Ecuador
Sar49,Sara,H_sara,M,2022-04-17,2022-04-18,29,2022-05-16,,Ecuador
Sar50,Sara,H_sara,M,2022-04-17,2022-04-18,97,2022-07-23,,Ecuador
Sar51,Sara,H_sara,F,2022-04-17,2022-04-18,10,2022-04-27,,Ecuador
Sar52,Sara,H_sara,M,2022-04-17,2022-04-18,68,2022-06-24,,Ecuador
Sar53,Sara,H_sara,M,2022-04-17,2022-04-18,68,2022-06-24,,Ecuador
Sar54,Sara,H_sara,F,2022-04-17,2022-04-18,,#N/A,,Ecuador
Sar55,Sara,H_sara,F,2022-04-17,2022-04-18,,#N/A,,Ecuador
Sar56,Sara,H_sara,M,2022-04-17,2022-04-18,59,2022-06-15,,Ecuador
Sar57,Sara,H_sara,F,2022-04-17,2022-04-18,52,2022-06-08,,Ecuador
Sar58,Sara,H_sara,F,2022-04-17,2022-04-18,,#N/A,,Ecuador
Sar59,Sara,H_sara,F,2022-04-17,2022-04-18,1,2022-04-18,,Ecuador
Sar60,Sara,H_sara,M,2022-04-17,2022-04-18,80,2022-07-06,,Ecuador
Sar61,Sara,H_sara,M,2022-04-17,2022-04-18,5,2022-04-22,,Ecuador
Sar62,Sara,H_sara,F,2022-04-17,2022-04-18,5,2022-04-22,,Ecuador
Sar63,Sara,H_sara,M,2022-04-17,2022-04-18,39,2022-05-26,,Ecuador
Sar64,Sara free,H_sara,M,2022-04-17,2022-04-18,30,2022-05-17,,Ecuador
Sar65,Sara,H_sara,F,2022-04-17,2022-04-18,,#N/A,,Ecuador
Sar66,Sara,H_sara,M,2022-04-17,2022-04-18,107,2022-08-02,,Ecuador
Sar67,Sara,H_sara,F,2022-04-17,2022-04-18,,#N/A,,Ecuador
Sar68,Sara,H_sara,F,2022-04-17,2022-04-18,,#N/A,,Ecuador
Sar69,Sara,H_sara,F,2022-04-17,2022-04-18,,#N/A,,Ecuador
R38,Melpomene rosina,H_melpomene,F,2022-04-18,2022-04-18,67,2022-06-24,,
R39,Melpomene rosina,H_melpomene,F,2022-04-18,2022-04-18,58,2022-06-15,,
Ec8,Melpomene ecuadorensis,H_melpomene,F,2022-04-18,2022-04-18,,#N/A,,
Ec9,Melpomene ecuadorensis,H_melpomene,M,2022-04-18,2022-04-18,36,2022-05-24,,
Ple1,Melpomene plesseni,H_melpomene,M,2022-04-18,2022-04-18,15,2022-05-03,,impure (Ecuador pupa)
At9,Atthis,H_atthis,M,2022-04-18,2022-04-18,,#N/A,,
At10,Atthis,H_atthis,M,2022-04-18,2022-04-18,,#N/A,,
At11,Atthis,H_atthis,M,2022-04-18,2022-04-18,,#N/A,,
At12,Atthis,H_atthis,M,2022-04-18,2022-04-18,31,2022-05-19,,
E5,Erato demophoon,H_erato,F,2022-03-13,2022-04-18,,#N/A,,originally in PF longevity cage
E12,Erato demophoon,H_erato,F,2022-03-28,2022-04-18,52,2022-05-19,,originally in PF longevity cage
E22,Erato demophoon,H_erato,M,2022-04-11,2022-04-18,79,2022-06-29,,originally in PF longevity cage
E23,Erato demophoon,H_erato,M,2022-04-11,2022-04-18,85,2022-07-05,,originally in PF longevity cage
E24,Erato demophoon,H_erato,M,2022-04-11,2022-04-18,81,2022-07-01,,originally in PF longevity cage
E25,Erato demophoon,H_erato,M,2022-04-11,2022-04-18,58,2022-06-08,,originally in PF longevity cage
E13,Erato demophoon,H_erato,F,2022-03-29,2022-04-18,,#N/A,,originally in PF longevity cage
E6,Erato demophoon,H_erato,F,2022-03-17,2022-04-18,,#N/A,,originally in PF longevity cage
E7,Erato demophoon,H_erato,M,2022-03-18,2022-04-18,,#N/A,,originally in PF longevity cage
E14,Erato demophoon,H_erato,M,2022-04-01,2022-04-18,55,2022-05-26,,originally in PF longevity cage
E15,Erato demophoon,H_erato,M,2022-04-02,2022-04-18,67,2022-06-08,,originally in PF longevity cage
E16,Erato demophoon,H_erato,M,2022-04-02,2022-04-18,25,2022-04-27,,originally in PF longevity cage
E18,Erato demophoon,H_erato,M,2022-04-06,2022-04-18,,#N/A,,originally in PF longevity cage
E11,Erato demophoon,H_erato,M,2022-03-25,2022-04-18,60,2022-05-24,,originally in PF longevity cage
E17,Erato demophoon,H_erato,F,2022-04-07,2022-04-18,53,2022-05-30,,originally in PF longevity cage
Pac5,Pachinus,H_pachinus,M,2022-04-19,2022-04-19,,#N/A,,
Pac6,Pachinus,H_pachinus,M,2022-04-19,2022-04-19,,#N/A,,weird wing
Nu1,Numata,H_numata,M,2022-04-19,2022-04-19,,#N/A,,
Nu2,Numata,H_numata,M,2022-04-19,2022-04-19,29,2022-05-18,,
At13,Atthis,H_atthis,F,2022-04-19,2022-04-19,3,2022-04-22,,
At14,Atthis,H_atthis,F,2022-04-19,2022-04-19,14,2022-05-03,,
Zu4,Hecale zuleika,H_hecale,M,2022-04-19,2022-04-19,15,2022-05-04,,
MHy1,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,8,2022-04-27,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy2,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,17,2022-05-06,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy3,Melpomene hybrid,H_melpomene,M,2022-04-19,2022-04-19,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy4,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,28,2022-05-17,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy5,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy6,Melpomene hybrid,H_melpomene,M,2022-04-19,2022-04-19,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy7,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,50,2022-06-08,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy8,Melpomene hybrid,H_melpomene,M,2022-04-19,2022-04-19,17,2022-05-06,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy9,Melpomene hybrid,H_melpomene,M,2022-04-19,2022-04-19,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
